CategoryName,Average_Similarity,Matrix_Type
Accessories,0.356016245,Interitem
Bathroom Items and Toiletries,0.34812273,Interitem
Birds,0.403692724,Interitem
Body Parts,0.369901348,Interitem
Clothing,0.410851417,Interitem
Food,0.355720032,Interitem
Fruits & Vegetables,0.35760382,Interitem
Furnishings & Decor,0.311002164,Interitem
Kitchen Items,0.32967064,Interitem
Mammals,0.36718939,Interitem
Musical Instruments,0.429961458,Interitem
Mythical & Mystical,0.287124298,Interitem
Nature,0.309792994,Interitem
Non Mammal,0.359982264,Interitem
Places and Buildings,0.281080303,Interitem
School & Office Supplies,0.335901704,Interitem
Structure,0.296846258,Interitem
Tools & Hardware,0.31022639,Interitem
Toys Games & Hobbies,0.286587253,Interitem
Types of People,0.294367379,Interitem
Vehicles,0.330110399,Interitem
Accessories,0.282597325,Label
Bathroom Items and Toiletries,0.149037302,Label
Birds,0.467628979,Label
Body Parts,0.374414307,Label
Clothing,0.453422976,Label
Food,0.390218858,Label
Fruits & Vegetables,0.363493792,Label
Furnishings & Decor,0.240389009,Label
Kitchen Items,0.291615198,Label
Mammals,0.342656505,Label
Musical Instruments,0.48903409,Label
Mythical & Mystical,0.215767834,Label
Nature,0.239749449,Label
Non Mammal,0.291233119,Label
Places and Buildings,0.222586521,Label
School & Office Supplies,0.214900576,Label
Structure,0.280657107,Label
Tools & Hardware,0.246430589,Label
Toys Games & Hobbies,0.133613658,Label
Types of People,0.180914284,Label
Vehicles,0.346457221,Label
