,bathroom,brush,comb,faucet,lipstick,mascara,nail clipper,nail polish,plunger,razor,shaving cream,shower,sink,tile,toilet,toilet paper,toothbrush,toothpaste,towel,tweezers
bathroom,1.0,0.24724696129518986,0.25673819564110234,0.4673451906629089,0.2914513437738466,0.23772135112922155,0.19321138544172411,0.32626099156686095,0.3324081495381206,0.23987383526663875,0.3460114658357427,0.44910835526350257,0.5011263370918553,0.45260634602434546,0.5747934236345551,0.3929894099535759,0.3711580365564937,0.19546872211771849,0.3575271843512654,0.15159052784382387
brush,0.24724696129518986,1.0,0.6176436466381283,0.3559081254446077,0.3843203728504223,0.4221785536741418,0.40435559473166394,0.39434729910714106,0.42444934441240223,0.3830567796074108,0.4088097553823453,0.37975179964771,0.4049452632937136,0.276225015967847,0.28752113417057124,0.37145105705548964,0.7040706220256344,0.5569254008725995,0.25451318841535553,0.4143576228337337
comb,0.25673819564110234,0.6176436466381283,1.0,0.37478817824064925,0.32720857619872734,0.4276937107382335,0.5026843771782747,0.3255086704814072,0.43465332484671193,0.45812195239438114,0.47055756430427964,0.38526278314648277,0.4268922748571704,0.3722773133342101,0.3028967623697374,0.33646006443178056,0.5145122902147651,0.4160284369558691,0.35881305619113324,0.5510338186786506
faucet,0.4673451906629089,0.3559081254446077,0.37478817824064925,0.9999999999999999,0.24899221114921422,0.33741102394974964,0.35588356317755854,0.3365240544263213,0.4502357195470652,0.24715970095630713,0.39640119963598597,0.4476475810743701,0.5834183944124617,0.3621939588882046,0.43862947889851833,0.3805299651109614,0.5002616263123654,0.3044021440155382,0.3194830154604337,0.31241965227100954
lipstick,0.2914513437738466,0.3843203728504223,0.32720857619872734,0.24899221114921422,1.0,0.502870525872884,0.394733961664271,0.5407077041212295,0.24533213809619658,0.2712706293751197,0.43323548472628115,0.1330487776006296,0.2724485456416077,0.16832208351846223,0.18078887248030384,0.2627582646630867,0.4042092227334384,0.43678046376410795,0.21406363531993722,0.3413137816474554
mascara,0.23772135112922155,0.4221785536741418,0.4276937107382335,0.33741102394974964,0.502870525872884,1.0,0.46232485433513837,0.47178039085636936,0.2989482791453878,0.27728091304813574,0.3923336907221857,0.296229666531733,0.26239203915358345,0.19650069196174935,0.2715912623964687,0.3215842993890137,0.4118044575448847,0.34270055893205154,0.23830105266954282,0.4101794108232686
nail clipper,0.19321138544172411,0.40435559473166394,0.5026843771782747,0.35588356317755854,0.394733961664271,0.46232485433513837,0.9999999999999998,0.5971679970770917,0.3484496579631954,0.39361872590692704,0.42922042409557437,0.26865869111075247,0.3464161823029319,0.3382583357245208,0.22210348405547875,0.3277427156315067,0.39003407869398554,0.3311392309681003,0.27933880066249495,0.6140871002520035
nail polish,0.32626099156686095,0.39434729910714106,0.3255086704814072,0.3365240544263213,0.5407077041212295,0.47178039085636936,0.5971679970770917,1.0,0.30311356343616425,0.2493555562265608,0.45868765340035833,0.2706936387836021,0.35761580370613144,0.33196439457730254,0.24791261898955852,0.3095834405465694,0.4172781186411101,0.4703041103493273,0.2955620870481296,0.33905205303325125
plunger,0.3324081495381206,0.42444934441240223,0.43465332484671193,0.4502357195470652,0.24533213809619658,0.2989482791453878,0.3484496579631954,0.30311356343616425,1.0,0.21611517867157848,0.2981683280416716,0.33518617698367337,0.46779355987298366,0.33026231257452743,0.5210451871664088,0.46015238000919045,0.46916695237761397,0.32527212896575597,0.412482753508551,0.43398551974132893
razor,0.23987383526663875,0.3830567796074108,0.45812195239438114,0.24715970095630713,0.2712706293751197,0.27728091304813574,0.39361872590692704,0.2493555562265608,0.21611517867157848,0.9999999999999998,0.5297018338780992,0.26861757306832434,0.2650389899779667,0.1992072663588924,0.24157152994736086,0.3033555368190294,0.3853381026605064,0.3398060918082273,0.2468911471646149,0.4104251248049241
