,chick,dove,duck,flamingo,hummingbird,ostrich,owl,parrot,peacock,pelican,penguin,pigeons,rooster,seagull,swan,turkey,vulture,woodpecker
chick,0.9999999999999999,0.2848472810026619,0.41281313072077264,0.3796613397147002,0.3940379201696482,0.37440210161056653,0.3388203321016351,0.3697186246004467,0.38837648075467324,0.3299338513335881,0.44240048014415967,0.41295460352581803,0.5252787362713652,0.39314769156432816,0.37761830865403956,0.3800810692693246,0.3041587440079587,0.4117727830562997
dove,0.2848472810026619,1.0,0.24435539577969556,0.32932783546802535,0.4409558487390559,0.2694281174515025,0.31440370916635274,0.3588262900399366,0.3541846043086736,0.36806666359445517,0.31163149371219423,0.39283271675423825,0.29070858864377946,0.4144210155494855,0.40805482651880387,0.26029950183718276,0.3185491215653473,0.3622937315303929
duck,0.41281313072077264,0.24435539577969556,0.9999999999999998,0.2850405105648556,0.30806474766363645,0.349887076175706,0.31721530464238246,0.31959135129551586,0.3763504186075344,0.30143790651796143,0.3481098413819008,0.3967799180377668,0.39391915505279496,0.346279868928578,0.48561650724555916,0.30718269904819184,0.26493669775623063,0.43286871805999816
flamingo,0.3796613397147002,0.32932783546802535,0.2850405105648556,1.0,0.6204446599877356,0.4492091267800089,0.35229627412381004,0.45393735520458955,0.5344080936677743,0.47980170374220765,0.47591984005193866,0.42291476592612787,0.3265522718266902,0.4364792092231824,0.4171675324982518,0.25092424376593236,0.423437127022255,0.4148552823862436
hummingbird,0.3940379201696482,0.4409558487390559,0.30806474766363645,0.6204446599877356,1.0,0.4747912174191258,0.47779190814663974,0.5023674678278633,0.4920869490204778,0.5503844441628623,0.4454900915844179,0.4778535790918019,0.3121691060479329,0.49455790055427473,0.3989479882622171,0.2617345224431522,0.4370740993932941,0.5421279070383446
ostrich,0.37440210161056653,0.2694281174515025,0.349887076175706,0.4492091267800089,0.4747912174191258,1.0,0.42611158464689236,0.44582427727133656,0.531435402358361,0.42016801023193795,0.44301035164431957,0.40901019733053046,0.4016495836858721,0.44611728633774916,0.3508015115572287,0.4067269784883101,0.4527112785353753,0.4692788927139977
owl,0.3388203321016351,0.31440370916635274,0.31721530464238246,0.35229627412381004,0.47779190814663974,0.42611158464689236,1.0,0.4225689511569404,0.3972376614790287,0.3829773982121317,0.4500641338740885,0.46393032237278375,0.3858177991472316,0.440961061763683,0.3822406299472676,0.28479642685595485,0.37018293648740275,0.4976976631397545
parrot,0.3697186246004467,0.3588262900399366,0.31959135129551586,0.45393735520458955,0.5023674678278633,0.44582427727133656,0.4225689511569404,0.9999999999999998,0.471049269370737,0.38924132630444275,0.46362236804524604,0.4251103997222321,0.4053850724428033,0.49127403915993395,0.40219486278073235,0.3554086737397123,0.4028195605174846,0.47397860184267704
peacock,0.38837648075467324,0.3541846043086736,0.3763504186075344,0.5344080936677743,0.4920869490204778,0.531435402358361,0.3972376614790287,0.471049269370737,1.0,0.44915196267930835,0.43580770256816503,0.45622226717306824,0.4886146098766282,0.4732599176400789,0.5567510897977141,0.3276914537442299,0.4333835608455836,0.4534821103531115
pelican,0.3299338513335881,0.36806666359445517,0.30143790651796143,0.47980170374220765,0.5503844441628623,0.42016801023193795,0.3829773982121317,0.38924132630444275,0.44915196267930835,1.0,0.46419195260176793,0.48478010985872744,0.30567335076900026,0.5408376651737647,0.4039671604482723,0.3295159765916469,0.5195576423898155,0.4458110766777339
