,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
antler,1.0,0.3446931613369495,0.4602829942209814,0.3479339055851852,0.25964943726624945,0.4796337537047042,0.2860527746540107,0.37313260240268187,0.29642566948013016,0.3768724321546839,0.33135050351118056,0.36872618000172874,0.24345136688190472,0.3025252180600394,0.1660735220467877,0.22513515999019662,0.3218333840399288,0.31437655845889,0.2865880000753054,0.3013943045926172,0.4866767540723598,0.43841270848754843,0.262454235088907,0.30588889151590126,0.45059253974510494,0.29340853337388073,0.3560180255473744,0.20207146081434035,0.4107435121093943,0.140180029678045,0.17992532990841725,0.3336116036386082,0.2614537824349705,0.25547674850392643,0.2584972853405506,0.2261850296320086,0.29485551097374973,0.3796001603471597,0.4027123840348026,0.25237415875389324,0.324687605836918
arm,0.3446931613369495,1.0,0.3086964503744778,0.32159793958339444,0.39696503571527986,0.4743484342035267,0.3494685343557635,0.3748747518827791,0.49911693667878043,0.4825985792692107,0.42362137373964115,0.5950415738929135,0.4241498482675303,0.34276143227895983,0.33600450882090405,0.45373406820407813,0.5245864037239223,0.5484430776645955,0.3870700361004191,0.628284769955139,0.2285724046731169,0.3205791907071973,0.4031269859505162,0.3663921264465696,0.2486230610358796,0.3046748080462871,0.5419031576688798,0.36116365750919743,0.3429753515673881,0.36875212477343955,0.4595236338581282,0.38845841655703583,0.44266603075052213,0.35460378302235385,0.4574917724119184,0.3459639452817749,0.413556804640006,0.4022161714600019,0.4213997688813429,0.35895640873753343,0.5966919573699332
beak,0.4602829942209814,0.3086964503744778,1.0,0.33118401574951384,0.40585872486651364,0.4122585733211769,0.3897911386921782,0.32129173550895374,0.3562084540935918,0.45779581046237916,0.4063715982502938,0.35186373271304816,0.4465050527168555,0.5013722388187711,0.2403182526483001,0.494954320627389,0.4786981392116645,0.39036965461115103,0.359679842198968,0.3869040189784434,0.4745452982821823,0.4734737164853561,0.5054665676007399,0.3419505193815837,0.42251943878496445,0.3003788577540334,0.45948773382204844,0.4078257510529263,0.4638376551550458,0.2613562240031275,0.31212025608333627,0.4774826890927869,0.27546246227967863,0.3422841295141754,0.3929314249557738,0.38937066265270837,0.4054878057720114,0.40091414772613976,0.3623416701329647,0.5409253557072595,0.39083205969254353
beard,0.3479339055851852,0.32159793958339444,0.33118401574951384,1.0,0.34306110392627276,0.3122911561052073,0.218886757940968,0.2776040252389447,0.38073522298536766,0.5179198834011425,0.37498981295320366,0.28881961910071563,0.3493043067245496,0.3178099592722925,0.2425960370606497,0.26322189532840923,0.37443516159617185,0.36386834722817296,0.49118916022025405,0.31794451193709006,0.2594573536377003,0.25637313472167667,0.3336604730622079,0.3068278985869328,0.348152765282741,0.601900437201733,0.37627966715076633,0.3577776743903106,0.33003409233480385,0.31688687322202913,0.33366489227922025,0.3734307764498428,0.3104097236900808,0.31794158339322753,0.3325868338870973,0.334124195590763,0.31728620768242966,0.29506334099189235,0.3047498770271463,0.32287416555324877,0.318635481423188
black eye,0.25964943726624945,0.39696503571527986,0.40585872486651364,0.34306110392627276,1.0,0.43735516227980287,0.28787938840307126,0.5988343871354265,0.3737312985682133,0.3713880183522865,0.3581115524799443,0.43760093026455493,0.642473753891259,0.28060123894012134,0.27951937302574714,0.41167735585359244,0.5179365424066223,0.393927469185559,0.3769446953957496,0.3939422624395348,0.27652976871609525,0.3309812648408438,0.4386185020192106,0.2650520361651161,0.24011359039065117,0.29808207996569,0.3757627178359142,0.3774490654885543,0.40041155474690515,0.3545094984484991,0.29326093932415676,0.34041071605929585,0.321868898443031,0.42460174946309315,0.3805110186756553,0.32739396755143924,0.31045613640384384,0.4379770382410364,0.3812463011994446,0.40067938065645203,0.4378956904738368
bone,0.4796337537047042,0.4743484342035267,0.4122585733211769,0.3122911561052073,0.43735516227980287,1.0,0.3876626777246547,0.4613631615516266,0.3711735707162004,0.3957664297300454,0.3900385570415059,0.44976325444834586,0.4020728094336785,0.3464404100232015,0.23906739341390326,0.4404297142569913,0.44703164122233274,0.5012951565996162,0.3002421478248183,0.3699094085772461,0.3808981134448681,0.26979556833744156,0.3426715399426441,0.36946904829628757,0.29374350648625835,0.19459214562836402,0.4527517883844101,0.3382033569289301,0.5346773564159584,0.29789246117310064,0.3812668367737285,0.3602255486171376,0.2986351436804251,0.34085618907656035,0.4214873336120304,0.359611680716992,0.3975747066169186,0.47839626687625514,0.3884527684421947,0.34439492311419395,0.46481222006057465
brain,0.2860527746540107,0.3494685343557635,0.3897911386921782,0.218886757940968,0.28787938840307126,0.3876626777246547,1.0,0.27006859363613556,0.40858640283986314,0.3360430248241151,0.490815338434034,0.3093913672527435,0.4522287935667286,0.28772626074970187,0.28504902506877117,0.4388200672939695,0.3401864985595511,0.3927926237964151,0.4696553834825564,0.37360493606393697,0.24981575848805426,0.26677010803555645,0.4087563138758228,0.41474151109131063,0.297397614811829,0.23914307167485727,0.42147976175727564,0.3733612639183368,0.5575758201959697,0.24243130379501765,0.47308510971908535,0.2911727310829697,0.3183876849083289,0.3348930360590263,0.42199385166751613,0.35820266902422526,0.453245413461588,0.3561892845394048,0.2709595832548354,0.3588015312780283,0.4001916780303635
bruise,0.37313260240268187,0.3748747518827791,0.32129173550895374,0.2776040252389447,0.5988343871354265,0.4613631615516266,0.27006859363613556,0.9999999999999998,0.40807828420301384,0.32135876570256006,0.32742309628525723,0.44557652541959114,0.38096546707692824,0.37700062857252936,0.1496561564092359,0.36726172718434424,0.34459153502563544,0.42353276057445965,0.3277772715558479,0.2715017441080241,0.35615638670670935,0.30581419729104886,0.32262363059612076,0.24180344298233447,0.2187387612345788,0.24578585818318321,0.4167406301729122,0.32186474619014294,0.3159950134992775,0.31077952883135773,0.3510306900931963,0.28108095803078725,0.3729317675214905,0.4139394518066565,0.402815925150529,0.3491995898813185,0.3006456453348554,0.3740227567112313,0.37946116601781976,0.33177697498437175,0.43381585869900774
chest,0.29642566948013016,0.49911693667878043,0.3562084540935918,0.38073522298536766,0.3737312985682133,0.3711735707162004,0.40858640283986314,0.40807828420301384,1.0,0.446078712054208,0.4974198353939452,0.3287423571946704,0.4662630775986569,0.37740202907845344,0.3423861944517548,0.3801837038757623,0.46799806071297545,0.5028673836838069,0.47299100112871695,0.4712414148026731,0.29928575089047404,0.3699272127485793,0.4501230984308455,0.5700695194832427,0.27786374858222784,0.3756999594721605,0.5712287262649307,0.4622030509292451,0.4215832554781922,0.41258078778232377,0.5516175752811101,0.2906595866549888,0.38898927851751264,0.35736128047112736,0.42172859010712194,0.46302090241302785,0.45214848928368434,0.34483217183863557,0.5586865347162836,0.38635935580926195,0.5250581148319872
chin,0.3768724321546839,0.4825985792692107,0.45779581046237916,0.5179198834011425,0.3713880183522865,0.3957664297300454,0.3360430248241151,0.32135876570256006,0.446078712054208,0.9999999999999998,0.4264786889222293,0.45140444741613606,0.4207705873587537,0.39656830884671956,0.294108734187565,0.34920416202306015,0.4568591199861186,0.3752174214206253,0.3945725114364189,0.3047943179547219,0.25065806772333454,0.3240301817557423,0.4953553668441504,0.37605264591206145,0.2385185501810958,0.49910968729815264,0.5408791411395021,0.504196763286964,0.40078640095349716,0.38643615606613224,0.48016801714626145,0.3959247111894726,0.36939139995139003,0.3716017651704633,0.38659471481081464,0.30868757498393107,0.4872659311298839,0.46387271860021007,0.35320260134978754,0.34819372395055814,0.44715525403040113
