,bacon,bagel,biscuits,bread,breakfast,butter,cake,candy,champagne,cheese,chocolate,cookies,cotton candy,crackers,croissant,cupcake,dough,egg,egg rolls,honey,hotdog,ketchup,mustard,pancakes,peanuts,pickles,pie,pizza,popcorn,pretzel,rice,salad,sandwich,shrimp,soup,spaghetti,steak,sugar,sushi,syrup,teabag,waffles,wine
bacon,0.9999999999999998,0.414176316873365,0.4127401076375976,0.3668183273561786,0.4822708403678182,0.3599936585477579,0.39975933596615365,0.33013971882548643,0.23978459585721712,0.42481423456602063,0.48335319898464335,0.3955148229924047,0.30462184435275375,0.31316040530375966,0.36439667279147114,0.39171851422821913,0.35005085309138373,0.41685837731249453,0.32037014518053497,0.42052579265312473,0.3627558612046877,0.36097661650821156,0.2962989745911764,0.456394000911871,0.3652667152929491,0.29243614218087965,0.4036801264865524,0.4472389832391057,0.37690994899383923,0.35993483328000087,0.31107566695473854,0.3405050797872171,0.4053985832101332,0.3646133401601841,0.426681237077131,0.37264487799113133,0.47617551186701823,0.32939506715901445,0.3015939887081719,0.36446080650013646,0.2390280226980085,0.36322318580934576,0.18955217988199569
bagel,0.414176316873365,1.0,0.36245144869299195,0.4203290268709985,0.49874452019272586,0.4654156677089699,0.3271087112069949,0.297473843969846,0.2801459839389384,0.4321902599482468,0.258506602479853,0.2911459887892671,0.26857597906306463,0.3990728386850291,0.4020115540878324,0.4538879227235344,0.3836586817198664,0.39264866631435336,0.38554738821596113,0.27790938208092864,0.3725511824570582,0.22884122895235315,0.29409272986926216,0.3645127365317329,0.3319651662463865,0.4224410791326285,0.316817258267039,0.38331203407420245,0.3831578075020289,0.46593129755481755,0.2973706410022384,0.2960222692475496,0.4773322617406488,0.37099649552008374,0.3387689554077371,0.276057339999213,0.3027928046795638,0.21124305303603386,0.45003485902163876,0.2588369152499794,0.21453269087326132,0.3707508183580168,0.20852136154521173
biscuits,0.4127401076375976,0.36245144869299195,1.0,0.517226819639726,0.4569973011402708,0.44538812648490267,0.5310740971905457,0.4337772474507371,0.390719811964651,0.4507692282388295,0.4261513797719829,0.7756816000655676,0.2449372544214664,0.6303130259913408,0.2542708162106996,0.4044438522937085,0.4616818372747349,0.38477434011533074,0.45100912678937943,0.4007633291080458,0.2727730802426165,0.26476430970353226,0.2763811841324185,0.44105315682014345,0.41861429185257193,0.2608916234206615,0.44717216963720485,0.3837177160146569,0.3401117862049716,0.37771010856221654,0.3824480564474735,0.3534200162588673,0.3935121410699427,0.37637949259431736,0.41662952752542814,0.3394381106095363,0.41190183072231523,0.4060492180711548,0.3533020624460457,0.3961595868627631,0.41895313396770173,0.45526094562258257,0.3643780393045615
bread,0.3668183273561786,0.4203290268709985,0.517226819639726,1.0,0.4076512910649547,0.5279757635078163,0.47342590798157824,0.3775249549919253,0.21715710156571744,0.48447999922512985,0.37204111557706476,0.4166028339309429,0.2749914664881705,0.5079687642364936,0.38772442548103214,0.3226481276408808,0.6386990418668652,0.44135478242626136,0.4611988920168999,0.39971353486340755,0.35380072859752176,0.34890259927120804,0.4165361924207621,0.39833730214675356,0.36137422315972234,0.340109768345058,0.39497155124840466,0.4690422857603155,0.3682419947801734,0.4197372973495751,0.47162889565381183,0.4066548887151653,0.5482786518590036,0.3452069667039125,0.46807920586927554,0.43703469894893354,0.43097061215061816,0.3960840305755321,0.4000421051641925,0.31583853438423415,0.29000897165594997,0.3711189028553352,0.4331341144964995
breakfast,0.4822708403678182,0.49874452019272586,0.4569973011402708,0.4076512910649547,1.0,0.31683579968854136,0.4207810346953218,0.32367944137944527,0.29218366907965865,0.3342116939902444,0.33258932024816534,0.36340717362869457,0.22952906344272517,0.3345254240498521,0.3599499030871456,0.34798904965600785,0.3122067428142905,0.49352861475355214,0.38033073955556507,0.4279280219527364,0.21511222025397037,0.24085554010368515,0.19117828603163356,0.5960824433687598,0.3212875513682757,0.1679099780707365,0.4094937091569443,0.3633157646006804,0.26028579839675603,0.2749837401462021,0.28919563993198416,0.3532069004675781,0.4052643443609303,0.3078576143809505,0.3830651257488039,0.31682686112949976,0.41369333222170146,0.31718204888746393,0.2551273472080112,0.3978244663746888,0.2858730390208475,0.4986482277370192,0.2807021252951124
butter,0.3599936585477579,0.4654156677089699,0.44538812648490267,0.5279757635078163,0.31683579968854136,1.0,0.38625634830954403,0.38170040907307645,0.32445774860149146,0.4880699219242737,0.3446215162428181,0.373777010599589,0.2563516094221161,0.3489091310196778,0.38799932322765485,0.3690451388802465,0.39361881792386555,0.3834356346448635,0.3338889841221234,0.38019779276668886,0.24735156726249397,0.40815488379492004,0.3719519697508895,0.41387550967761233,0.3672833748713611,0.29458165044351814,0.3411173996930874,0.29071036514298954,0.47913819153159687,0.37633962538654453,0.4043848065829456,0.31641507613172537,0.3888044016101124,0.369457451887226,0.2675690640682895,0.36953762787482836,0.3845950454743635,0.34022556142613847,0.3219012222339406,0.5197443527951511,0.34792039233871386,0.43384339309356523,0.37271349877001114
cake,0.39975933596615365,0.3271087112069949,0.5310740971905457,0.47342590798157824,0.4207810346953218,0.38625634830954403,0.9999999999999999,0.467741487080125,0.3169941538711947,0.43694110673351716,0.5359627808657333,0.5403402882604722,0.3278285074981495,0.40565554302204276,0.3317655868487255,0.5544062946859308,0.4551443434882786,0.46068466724223545,0.403555656808257,0.40049968241523537,0.2622132883296042,0.3432368171078197,0.34086051334985745,0.45462724385365183,0.42624028898835364,0.27667393385703065,0.6146123844471767,0.495051828657469,0.3164616559722483,0.41561076155196486,0.3361964532304571,0.4222066909618083,0.3997915603404163,0.34025924833941235,0.3657040682427979,0.40881606151548766,0.4533598077672438,0.40313683461590855,0.3909276258866613,0.35250527262520037,0.3729854364359335,0.4085532823931921,0.42841449059163716
candy,0.33013971882548643,0.297473843969846,0.4337772474507371,0.3775249549919253,0.32367944137944527,0.38170040907307645,0.467741487080125,1.0,0.3353565259859357,0.4123884737450283,0.5433309202736133,0.5107067796662208,0.5619595735684744,0.4291434084758039,0.270222675219685,0.4635499172550879,0.38542311877229163,0.3739091852667342,0.3429360917449944,0.45683768638755606,0.32097883085286616,0.3678912407582178,0.3320245273715895,0.3267020057885839,0.47743267461809813,0.2566118643178046,0.3891750495976347,0.36135089000826537,0.4665766661677919,0.4620429910015681,0.3381348863617355,0.30461686046362013,0.3339823716770418,0.3352574883852255,0.30295690323063007,0.3199180666152168,0.28121768647985934,0.5612479860590774,0.3610744140179529,0.4299386938211387,0.3352444224626858,0.32669884579626607,0.3859581312437248
champagne,0.23978459585721712,0.2801459839389384,0.390719811964651,0.21715710156571744,0.29218366907965865,0.32445774860149146,0.3169941538711947,0.3353565259859357,1.0,0.26429025660476646,0.2992823504924429,0.2874414434114404,0.25106879467501475,0.28718286852314145,0.2482643458594005,0.2966307209611283,0.23110678718536315,0.2385335003959852,0.3024982616431353,0.28474816897392907,0.19254649992763162,0.20254629528450319,0.20619114490662127,0.26822120515192305,0.1557324440138621,0.22246116411023065,0.23996957368454774,0.2197684034378684,0.23327268137066015,0.23592056243731108,0.24423024093511758,0.27837533765873346,0.23075512339331639,0.28531093800159046,0.24649579212803718,0.2540329319686154,0.306757057301313,0.2977891674800932,0.28589704018676365,0.334237759533337,0.2745327531077073,0.29062618512044747,0.5200818237666844
cheese,0.42481423456602063,0.4321902599482468,0.4507692282388295,0.48447999922512985,0.3342116939902444,0.4880699219242737,0.43694110673351716,0.4123884737450283,0.26429025660476646,0.9999999999999998,0.4844105133905945,0.3421013648097071,0.2840303175010417,0.5274790347207912,0.3421495573339357,0.29865908713479505,0.36582321603257184,0.41111214022556297,0.3113906100685111,0.29354195047855125,0.29210550392571655,0.420504276397345,0.3918362232083836,0.3203000293207503,0.45933017518027586,0.3833580717605741,0.4462389926652701,0.5782015157074041,0.3854358663445704,0.4413873078079653,0.35751290222601173,0.4069434262120901,0.4577021628757669,0.2996145986993093,0.38614491713766297,0.41123297419310956,0.41710247710820625,0.31823367876815767,0.33811884519045776,0.3498550909550009,0.3295875094191547,0.35344603124373886,0.3953637828737746
