,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
ashtray,1.0,0.3129670965262068,0.27601895511307784,0.3796552859720119,0.17411183153366894,0.3568239981257838,0.1874884854858152,0.47881398468260583,0.23548015661279253,0.4075472445418231,0.29968148756189694,0.30242556643996377,0.33269797613380847,0.33995882779041864,0.21599322936680587,0.211692246394673,0.27752538740346955,0.3931169247974343,0.29815685118258184,0.3570066530725269,0.2715351681896574,0.14763679702420152,0.35634095715075453,0.2806888929866609,0.2797195929799783,0.31310226279420816,0.33087980636776537,0.3088082754290342,0.15713761062026577,0.21046314433742297,0.2961549615102348,0.3425211374696182,0.24848802045348284,0.49470785908632586,0.33187341857625663,0.390673393408282,0.3676746194242808
barrel,0.3129670965262068,1.0,0.3411632338619176,0.386693998638597,0.26810035126421483,0.3491673183736884,0.22831864051462236,0.32033083276267393,0.37661662688635755,0.3453172411438986,0.23524767217449527,0.27360787434389877,0.2556455046688355,0.4084345166732969,0.26197297564722866,0.18749647327174002,0.2295372157187695,0.2757035536935082,0.27921799665606084,0.34312934624013014,0.34073900946191915,0.30297705552954013,0.39852863010361606,0.2983045303736589,0.2656559784200565,0.26364235306930994,0.1989062850843054,0.28596130698435207,0.28395346180679415,0.31398515042556463,0.44494669731509773,0.3590423562220477,0.2726057665715622,0.322998655793869,0.24599095040682917,0.3796486235386014,0.4127924627093962
bed,0.27601895511307784,0.3411632338619176,1.0,0.4381010564414911,0.29535318036294766,0.3529141956753228,0.35973942065555664,0.34929671245105465,0.369091363018099,0.5594351000737654,0.406656098915563,0.4624799318116586,0.28761814017090614,0.4632275937948165,0.2646446472620724,0.4047493295388145,0.3176763032074642,0.2220263901067694,0.4075114808715956,0.2957486095622235,0.6947033786238931,0.31011828744674297,0.17424770903217435,0.532597030006276,0.4119147863003576,0.21495239626688056,0.23607136639426596,0.4330297401042231,0.3265430117250828,0.3105505163302129,0.3378190165544841,0.3885940398470167,0.4120170461389079,0.34299482342821463,0.31195759622951935,0.27200266753990765,0.25769379040703544
bench,0.3796552859720119,0.386693998638597,0.4381010564414911,1.0,0.3201892895011462,0.3177511343268753,0.45384716106790535,0.32257177038523055,0.36739144815528424,0.3980818260767969,0.2569123657415835,0.46482102568978156,0.2572250987338862,0.4026425094749071,0.2847491971921444,0.3001072908544038,0.4277369073652211,0.31237858083792513,0.37079529776185116,0.26289570962705244,0.4158162765210245,0.2783764943651337,0.3932819425515526,0.40381120207798094,0.3228625059426934,0.27962214958577625,0.33443615067826116,0.3743533024235377,0.3129300946558988,0.3821878302335875,0.3196688391465372,0.42048084774529704,0.47945673232624375,0.43130046952023426,0.39723320985449695,0.25608083937512127,0.21691511400349395
calendar,0.17411183153366894,0.26810035126421483,0.29535318036294766,0.3201892895011462,1.0,0.24973681563236705,0.2692907764496606,0.15633746106038315,0.5032217813380477,0.26286126268860976,0.22233024198079887,0.3803123544799226,0.24894514703428672,0.2793502032256088,0.18854793970866357,0.18257197371202616,0.1799572313967034,0.17505913558569142,0.23877448997513095,0.3136381837508705,0.276979310757798,0.19885845963169735,0.1971936705326065,0.26453475676060345,0.3103380700698235,0.2266997538476646,0.12620467900735655,0.18857515914374867,0.18140297212192058,0.23147767714051803,0.3280026442071384,0.39683284382608275,0.46953663944116253,0.39906857716122324,0.1151036998431576,0.17317921548738213,0.3232556408188536
candle,0.3568239981257838,0.3491673183736884,0.3529141956753228,0.3177511343268753,0.24973681563236705,1.0,0.34597655770169344,0.5463685117040464,0.37211404488321176,0.3452879228240828,0.3650158968581023,0.3329413558538985,0.38010453948777356,0.45889353166453195,0.339498279563194,0.2142159420870875,0.3155273752058251,0.21144056281028334,0.5287173978314479,0.19021243496420048,0.29937689062640493,0.2367528792789111,0.25608497319772305,0.40459967583351575,0.2517613610315097,0.28120862084086196,0.3170243020542558,0.3267770975234081,0.20402853389614206,0.3095380046930266,0.380722674318448,0.3506397273326778,0.35113032625148977,0.3348444400350967,0.22415967901374811,0.4582759964890284,0.44108214950188906
chair,0.1874884854858152,0.22831864051462236,0.35973942065555664,0.45384716106790535,0.2692907764496606,0.34597655770169344,1.0,0.31628496848296206,0.2936440576578343,0.350671006450479,0.34071077023134977,0.5784769530751691,0.1663473590258725,0.361576576290609,0.2511352563983418,0.36072414474490466,0.8052577182774963,0.22539497801606778,0.4111049269462035,0.20012676075721647,0.3989242663784749,0.3042545163463244,0.24433256711003304,0.41777271045941156,0.2213224254200521,0.23515739308380312,0.7207378095220974,0.4072751579178624,0.17989616907804096,0.6490636386320883,0.24662247744479215,0.5217402421677536,0.5606730619361885,0.3775201030860953,0.2634597675010746,0.33427828179906616,0.29805450694574864
chandelier,0.47881398468260583,0.32033083276267393,0.34929671245105465,0.32257177038523055,0.15633746106038315,0.5463685117040464,0.31628496848296206,1.0,0.34430367724024746,0.44857707585381623,0.4142054569691622,0.3491855531982744,0.47209337917408534,0.45176619443209753,0.2230871946452676,0.2982987408054063,0.3609690102665064,0.4020345128060121,0.5179815432840718,0.24841644952332542,0.342268868717875,0.22069544108141237,0.27093216031097767,0.35692486490039477,0.2495779226597249,0.24504209230367024,0.39284198661939707,0.41943786086657264,0.13330261248272013,0.31573317999166994,0.3030817756120612,0.35668444321206016,0.3589123116268713,0.3714213527001812,0.24597931774683235,0.4376043203845347,0.4451532402002434
clock,0.23548015661279253,0.37661662688635755,0.369091363018099,0.36739144815528424,0.5032217813380477,0.37211404488321176,0.2936440576578343,0.34430367724024746,1.0,0.29970190466140456,0.29161763831301557,0.3862953475724893,0.38944389901044685,0.424952291218915,0.26430849971187376,0.2036155666105619,0.2292218952767353,0.28891244929281323,0.3847300475797113,0.2637241217273931,0.28807341285857213,0.3074249615944532,0.3070276870771169,0.30645399527442485,0.4339805287020029,0.2513883810961748,0.2344361066662345,0.3359822514711466,0.24719448167149294,0.3473134266228832,0.2910858686024844,0.3407406643301607,0.385816252334251,0.3514447822028136,0.29576401178704326,0.27398970852000537,0.28239646410508434
crib,0.4075472445418231,0.3453172411438986,0.5594351000737654,0.3980818260767969,0.26286126268860976,0.3452879228240828,0.350671006450479,0.44857707585381623,0.29970190466140456,1.0,0.40440078106678934,0.3149291394153122,0.2814945275294134,0.4257259152801587,0.20295966012130562,0.4032941253863366,0.4218843902692979,0.27629532789950284,0.3862450117831462,0.3190448247739164,0.5115469724636214,0.206301887103309,0.34070898919659387,0.44323964606655064,0.3595336084148629,0.2863118759128416,0.4527955713040728,0.436675237282254,0.26887224386430186,0.3709808000194006,0.3186247510090069,0.41438567130517656,0.2924445431955205,0.3692481967548238,0.335109699452354,0.3104039402778733,0.4270902262700471
