,bag,basket,blender,bottle,bowl,cabinet,can,can opener,chopsticks,cooler,cork,cup,drawer,flask,fork,grill,jar,kitchen,knife,ladle,measuring cup,nutcracker,plate,refrigerator,rolling pin,spatula,spoon,straw,teapot,toaster,toothpick
bag,1.0,0.5183875523342646,0.3282524293581056,0.49432046731215595,0.43060317112478086,0.3872392320512914,0.20788565523971847,0.35574504262088147,0.361836300758021,0.3219049956428195,0.3318914785650595,0.4398764547751022,0.4096777337981965,0.42484420283392743,0.4546810516268782,0.32995987470267973,0.43218375459326586,0.28623335507881287,0.5061073842910698,0.4554645584804934,0.2604467260743547,0.3399339204109685,0.3912009522167996,0.31917624784821585,0.3474626997044935,0.3204211289997386,0.44588291033462113,0.43097509346475227,0.36815079060872713,0.27956794045150146,0.4154051268580312
basket,0.5183875523342646,1.0,0.2381467969837303,0.38606147360720167,0.3923065921740416,0.3580623160453643,0.2692621102119227,0.33115884139352514,0.3218597662608018,0.3188777516944332,0.18016415781276396,0.4423624071738197,0.41533212283402665,0.2882939948717389,0.3786451319250127,0.3292033833443626,0.3480107211741319,0.35009236147297185,0.3083077224768185,0.29268075678553584,0.2799290268753746,0.31360143694260634,0.34636871470522734,0.4029360979665846,0.2926989745887525,0.3303088172321298,0.3225752472295398,0.3463680069720527,0.32803317928697584,0.34385747240208564,0.3774078838214997
blender,0.3282524293581056,0.2381467969837303,1.0,0.34211777497988516,0.2789691570105437,0.33215133740016767,0.058807136528435056,0.24371210478835637,0.23272818106562,0.22403265491558366,0.17156181763495826,0.3784451600054597,0.4039746472253003,0.29016752615913644,0.39828591420303394,0.29218134930541706,0.29760933012049895,0.32350981342190044,0.4136654194772126,0.42611444210236515,0.264214316840796,0.3197766005298841,0.36214699793219474,0.32398659072633673,0.25532362163110855,0.40188555598838427,0.3877514436962779,0.3720136512591594,0.3283339385345725,0.32449570555948015,0.3527110371614708
bottle,0.49432046731215595,0.38606147360720167,0.34211777497988516,1.0,0.4066144080924179,0.31780611558579974,0.2642459700047901,0.47956430021206176,0.25686062379530294,0.376230001678846,0.4358321655143478,0.5165520101881953,0.3611218534864611,0.5748083406461907,0.2817254669792082,0.3467232919979,0.4521514667573995,0.33641518449565466,0.443024475183059,0.43599519007232623,0.3404007774273572,0.29373944759768067,0.3907352896050862,0.35526406848158953,0.3077590680278339,0.3081169119467013,0.4262081541110513,0.4290439208421455,0.39523896111058976,0.1969933181270369,0.42244972321147645
bowl,0.43060317112478086,0.3923065921740416,0.2789691570105437,0.4066144080924179,1.0,0.3492372830884882,0.17305052715693514,0.31653695872057375,0.4282706107883538,0.2748639969118718,0.2460623525149197,0.6195491899701557,0.33217081914446456,0.379639736001251,0.43333709912642737,0.41200118603940106,0.45942439028295334,0.3183664480504682,0.40470739953862767,0.5006663841061922,0.4099515446075569,0.27061201077104546,0.5346711567293899,0.31269679328704547,0.3707833831746743,0.3258635365930943,0.5430737388962329,0.4117124824667272,0.39100234609345996,0.3377449761263902,0.45895961963370513
cabinet,0.3872392320512914,0.3580623160453643,0.33215133740016767,0.31780611558579974,0.3492372830884882,1.0,0.1940138538164895,0.28720623099995035,0.304593495610435,0.3318142671925216,0.29626652587608726,0.2895580685856305,0.538506602651964,0.255211631672408,0.24086160320177585,0.3927718659131807,0.34112854545506444,0.48456068348852177,0.3655435973115624,0.38966793120452814,0.19026140734693797,0.34896544497421733,0.4229428297409483,0.42643248412658574,0.2359994213946628,0.27056590693475613,0.2914213359913118,0.29981409075271204,0.38154385707731153,0.30402691595529874,0.3498578850684122
can,0.20788565523971847,0.2692621102119227,0.058807136528435056,0.2642459700047901,0.17305052715693514,0.1940138538164895,1.0,0.42077163454075306,0.134268567180303,0.2324979642826469,0.177985654816311,0.14964161299335488,0.04714524732526182,0.09581613322603699,0.03652728249675896,0.15342939809002398,0.1529821505459733,0.1704986451201852,0.13418202118167455,0.11980435603980044,0.0705591806230147,0.12574841273729975,0.16045417630231662,0.11462094528032296,0.08646202754399501,0.0022104442497581367,0.05326969399344128,0.07860687997423221,0.14790843392424957,0.16929920467284476,0.13035431588463586
can opener,0.35574504262088147,0.33115884139352514,0.24371210478835637,0.47956430021206176,0.31653695872057375,0.28720623099995035,0.42077163454075306,1.0,0.44944291292656013,0.16667604548393444,0.28028974945237484,0.30914630109049623,0.3292157077717348,0.3147670566006646,0.3256928558597938,0.346358197560934,0.4024224936595685,0.3079705926166093,0.4803819865348232,0.4735509714998578,0.32672783393639904,0.3405615494772989,0.356904071188485,0.30791102475901444,0.3855447807069341,0.3852867010766552,0.3896938038701905,0.23028247826562764,0.2781021370259066,0.3536281035750397,0.4031541755988214
chopsticks,0.361836300758021,0.3218597662608018,0.23272818106562,0.25686062379530294,0.4282706107883538,0.304593495610435,0.134268567180303,0.44944291292656013,1.0,0.15524874693273893,0.22556198352383894,0.3393721816929547,0.3391730313541059,0.24502566149500504,0.5515001867538668,0.32065296667971954,0.3148272694769322,0.28666401486799487,0.48616952012825354,0.509530972374536,0.28750315032884677,0.34835326545873646,0.3761009422317316,0.20960681881535337,0.4188210428151796,0.45207468084612,0.5703747240918919,0.349264811294572,0.26816619938267283,0.3544608279468653,0.4998027548142763
cooler,0.3219049956428195,0.3188777516944332,0.22403265491558366,0.376230001678846,0.2748639969118718,0.3318142671925216,0.2324979642826469,0.16667604548393444,0.15524874693273893,1.0,0.25880230746935484,0.29834565900317145,0.2497875543453424,0.3519612172556371,0.18826033364103734,0.38587349586408803,0.2851360332721493,0.26521217510304884,0.232113241540148,0.25001109210986594,0.15235630477795137,0.25894647671597704,0.3067047965622236,0.4313172518642592,0.23047075355371538,0.1417664641749935,0.19391486267477265,0.3784692022683709,0.27274625964648824,0.24811194488525867,0.24947798446419522
