Mammals,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
-0.048531685,-0.05688216,-0.05091261,-0.01719933,0.042625926,-0.06458329,0.004653898,-0.04002919,-0.063341655,-0.00526984,0.008344451,0.0020737255,0.029360855,-0.04879465,-0.002269661,-0.06229922,-0.010345611,-0.038341828,-0.057373345,-0.032216653,-0.06905454,-0.027825184,-0.011413496,-0.06001442,0.060991142,-0.04938548,0.03803981,-0.020534895,-0.018585434,0.024613159,-0.04788877,-0.021815171,-0.044400018
0.04176943,0.013927644,-0.039691996,0.0069895154,0.00024785398,-0.0030743894,0.051715303,-0.0022113596,-0.018123109,0.024878932,0.00048082724,-0.055001743,-0.017014656,-0.0441832,0.001998207,0.014073451,0.02765372,-0.06606961,0.006239998,0.0032846497,0.014683389,0.050382745,-0.0011148088,0.0051573967,0.05372936,0.011459499,0.04844963,0.029639024,-0.0025408275,-0.0053069927,0.019584117,-0.0441372,-0.011821724
0.010386131,0.027131658,-0.038132578,-0.0611424,-0.00789499,0.021574425,-0.02032692,0.071089156,0.036805313,-0.027649159,0.06595247,-0.040824726,0.05863599,0.003994516,-0.042250037,0.037394807,-0.071524106,0.06509203,0.055237282,0.041984767,0.06666963,-0.0021073266,0.065771006,0.055286504,0.06458577,0.073168725,-0.0058428682,0.022962125,-0.0030972743,0.077727035,0.0500395,-0.007865164,0.07330615
0.04041587,0.05275058,0.024013698,-0.0034241132,0.01851928,0.03635333,0.04486171,0.0017846625,0.0377801,-0.045468822,-0.019712681,-0.024065727,0.04997497,0.04410045,-0.0077144024,0.012010282,-0.00029769485,0.004834572,0.0017961812,0.01067017,0.058810804,0.018070105,-0.013295095,0.027053755,0.009507216,0.0009946042,-0.00039399878,-0.0048368834,-0.03102812,0.0705675,0.025947552,-0.0034672383,0.027872866
-0.009592108,-0.034465607,-0.016679771,-0.07205642,-0.034709636,-0.04004356,-0.046850894,0.0546166,-0.030920632,-0.011369304,0.035700854,0.035450097,-0.023747692,0.020779582,0.025511652,0.008503305,-0.034647916,0.022630716,-0.016720574,0.02825197,0.002904054,0.021829695,0.049198285,0.028692015,0.055214744,0.029086066,0.04067196,0.04456745,0.014309544,0.053021528,0.017391512,-0.023530122,0.029613577
-0.0010973982,-0.009435164,0.04917246,-0.0011667106,-0.029967496,0.040660914,-0.038356353,-0.018287549,0.04602649,-0.029409384,0.03658927,0.011889932,0.051692907,0.03321088,0.048450734,0.057308264,0.011957368,-0.015131527,0.07008411,-0.03155107,-0.015504023,0.014214169,0.029405355,0.06492598,-0.003474598,0.054749813,0.07721799,-0.021591332,0.06986244,-0.032352455,-0.07550854,0.0071065854,0.03757318
-0.01671394,0.021346604,-0.014343223,0.053112555,0.060173012,-0.09190705,0.011601158,0.06406071,-0.09708614,-0.005957547,0.037061255,-0.027392894,0.015931536,-0.014134196,-0.05000214,0.004808619,-0.050293453,0.0068628727,-0.0075835534,0.04850325,-0.05687257,0.04248833,0.049764838,-0.0568624,0.026106782,0.025678532,0.039670672,-0.024399515,-0.0020673568,0.053369347,-0.0123459445,0.0018549209,-0.016929226
-0.037513196,0.013280965,-0.025820475,-0.04865643,0.03228446,-0.03337922,-0.026360476,0.004900553,-0.060794394,-0.057381965,-0.011204591,-0.02643511,-0.02186675,-0.0025592344,-0.04814519,-0.061403085,0.01687214,-0.029354235,-0.01461249,-0.023894815,-0.06360618,-0.046762027,-0.0321252,-0.020866187,0.03724203,-0.0023262475,-0.034275115,0.007485519,-0.02069584,-0.043492645,-0.050588172,-0.01443516,0.046825726
-0.07927105,-0.0033529005,0.02744533,0.030825067,-0.034942254,0.034248482,-0.019766768,-0.043744013,0.05723566,-0.006865749,-0.0031739166,-0.05712604,0.00011334139,-0.018387616,-0.074150324,0.039952878,0.037419565,0.06535027,-0.019800963,0.019014053,-0.005618238,-0.017632736,-0.04424834,0.042895243,0.03129619,0.017155157,-0.011340416,-0.006799936,0.0010658568,0.0120405285,0.04765274,0.0078194775,0.0017916976
0.055539202,0.032252166,0.049068697,0.06366125,0.041984044,0.061070327,0.042535417,0.044775363,0.041960202,0.055404868,0.042142212,0.033272684,0.053534847,0.043866534,0.028736753,0.06054875,0.040397156,0.031047437,0.051455025,0.03233265,0.07270686,0.00953557,0.061276514,0.061973717,0.049799096,0.015627721,0.04536644,0.050610997,0.062254306,0.030639796,-0.018094858,0.021350993,0.02648983
0.08676313,0.06951665,0.06873795,0.07249582,0.03884232,0.081041984,0.0664064,0.07639734,0.09623081,0.06287979,0.076498374,0.054709833,0.07799958,0.0177907,0.07586514,0.082674466,0.06240849,0.0825826,0.07216855,0.061804138,0.077761024,0.06856591,0.07568354,0.07889528,0.07852605,0.06782969,0.06544045,0.07402495,0.04900715,0.07953787,0.07298071,0.078703195,0.040232062
0.055738747,0.030942379,-0.032067064,0.015643591,0.051343434,0.09194154,0.0792622,0.057186935,0.09744345,-0.006692069,0.070420906,-0.034925632,0.074158646,-0.005529497,0.0759636,0.087413706,0.0350241,0.066503726,0.047316182,0.061595745,0.02628434,0.0676743,0.050565924,0.066676155,0.057720475,-0.032321382,0.039386977,-0.0057119085,0.013307291,0.050103962,0.017791087,0.04871735,0.018894322
