,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
bat,1.0,0.3939638501830667,0.3460692949072437,0.3486761188699211,0.46809968495689613,0.4381917042376726,0.40538155272773924,0.40951818753869196,0.3001838196864519,0.44005029180554867,0.3029986092470218,0.2910618100869711,0.36639361568201445,0.2741790428304196,0.4150245887899502,0.43461081821629444,0.36290822417170665,0.41880026986425345,0.3813496310842479,0.4752874948001613,0.3975406084550157,0.35498576087683376,0.3529369451889157,0.38726382242544877,0.3164249988507172,0.369784321560622,0.4079860829209663,0.42824919113203985,0.3514892913582318,0.34163762159802646,0.3534658643869635,0.318904052088508
bear,0.3939638501830667,1.0,0.41193415316368553,0.2871714308529587,0.44500667196695654,0.4130222236077672,0.4216488221969117,0.4663633514869143,0.3092563001980576,0.39649424311597803,0.33643773287404644,0.3275603285352158,0.3397759881337339,0.20641954779359228,0.42628080272337043,0.41277544059289073,0.49098998469124777,0.3907333511416031,0.4232185385882663,0.31425263090970346,0.3496479711169338,0.39900608851584785,0.4226187196716358,0.3502466343148858,0.3869821700455114,0.36776421348516863,0.3344377150799053,0.45064463181478365,0.34063549502884993,0.4115603365788262,0.45870731247214325,0.29578793566529815
bull,0.3460692949072437,0.41193415316368553,1.0,0.4119479589404831,0.34616277501765347,0.5748645237509578,0.3059051215639792,0.38796400330304304,0.27452412899420064,0.4220968590321488,0.2907940528204799,0.31194095442591685,0.3589615869855193,0.24178819538881124,0.45887925981043587,0.2579657309684015,0.35005020569077594,0.3303038968427159,0.3069430289198163,0.30272809369776554,0.4213157461572703,0.3118392835693552,0.2153837304661299,0.20004949905631675,0.23106235105705875,0.3092338734977018,0.2610329015882631,0.466745967481761,0.34186569523187316,0.3299560413877334,0.45059901794074975,0.18459874780625007
camel,0.3486761188699211,0.2871714308529587,0.4119479589404831,1.0,0.30063290948288346,0.3863483297247613,0.3757306999395281,0.30891139673233914,0.2502695931099206,0.45114039099097203,0.24184202268567823,0.29230147267146644,0.3990303982739547,0.29390006602763297,0.3629060071485517,0.44642155706949516,0.3509270694110256,0.3828554225197188,0.43022215862476076,0.2274058639366534,0.41103938944216534,0.3531692019623185,0.31422813015908346,0.22089139294962645,0.2981737909055815,0.3173186817387853,0.376018979854849,0.33481056639649576,0.3688965430688971,0.43423367156446113,0.37520486117264595,0.34606432000509724
cat,0.46809968495689613,0.44500667196695654,0.34616277501765347,0.30063290948288346,1.0,0.439656971349769,0.3540836061549316,0.6237586471384383,0.31890766423068473,0.39623447898975495,0.3624940598009062,0.3102734080663536,0.4149459146235782,0.35790615164177164,0.5410541907858653,0.3636358232294976,0.4466597557853762,0.48323951608064475,0.3384368978159099,0.5705878206799911,0.4740017220612236,0.3533575571395292,0.5138495365970392,0.3066089196484503,0.24814122023359775,0.3118242260429689,0.40345632814966914,0.47262307215910226,0.29756272369830283,0.39241042308538165,0.4450804726348463,0.3422761682718114
cow,0.4381917042376726,0.4130222236077672,0.5748645237509578,0.3863483297247613,0.439656971349769,0.9999999999999998,0.42504163897274605,0.45768509059625595,0.37187206517952354,0.5324827007739854,0.3234681070005434,0.36090775638165584,0.4462952962890048,0.28082906220500825,0.553718575506538,0.4618331089817207,0.3127119209775133,0.43590996413990757,0.4045317840414482,0.3686655063979609,0.5070622125895836,0.3399041368308553,0.394221234125432,0.25595610568079075,0.23034333616889602,0.36435386746877796,0.3732778150070054,0.4270376554079458,0.35901493387615324,0.4499073348300273,0.4094228882625448,0.329960562406868
deer,0.40538155272773924,0.4216488221969117,0.3059051215639792,0.3757306999395281,0.3540836061549316,0.42504163897274605,1.0,0.4307981107271528,0.25438834885900796,0.45675649681734165,0.3880703149845055,0.4722835825422481,0.469227829993375,0.3188697409472536,0.48023339696372,0.42286552960864676,0.4111306679354074,0.343694673705236,0.5255163730957042,0.39601761971093064,0.3802832254908315,0.45823169237293715,0.4644780312091886,0.3550541778229639,0.2608273849244024,0.37362808734813724,0.441340579083525,0.3761201561100297,0.26231944773308535,0.3114257443512568,0.40465553982286284,0.3292532241633147
dog,0.40951818753869196,0.4663633514869143,0.38796400330304304,0.30891139673233914,0.6237586471384383,0.45768509059625595,0.4307981107271528,0.9999999999999998,0.3260914515703637,0.3763252222704041,0.373786817094927,0.3077847932465443,0.42981163001207556,0.3924030605776778,0.5956302529922726,0.355255768597992,0.3998824233523717,0.47577019843286483,0.351064055440393,0.49640468212011757,0.4517393647389836,0.32820355235899235,0.5229291283191161,0.2977543983311328,0.27859520992971043,0.322095717603773,0.34431348253054206,0.3767167053865218,0.29972540666781167,0.36834709244206687,0.5260397916643811,0.3251494129816912
dolphin,0.3001838196864519,0.3092563001980576,0.27452412899420064,0.2502695931099206,0.31890766423068473,0.37187206517952354,0.25438834885900796,0.3260914515703637,1.0,0.3468453403912162,0.3622254891957355,0.33305755730435505,0.34747209618373787,0.34390079540321206,0.3093313843262999,0.35300485022116557,0.30553250338115445,0.3925343718869613,0.254767432202322,0.3052856863665687,0.329797462561072,0.29839487449131186,0.2313681929399437,0.31946907798840474,0.31616963343569027,0.21389499891886787,0.21721287063695005,0.30678603016988815,0.40576354789746216,0.4600464255081005,0.2901190195552348,0.27770051519972716
elephant,0.44005029180554867,0.39649424311597803,0.4220968590321488,0.45114039099097203,0.39623447898975495,0.5324827007739854,0.45675649681734165,0.3763252222704041,0.3468453403912162,1.0,0.2394360447903221,0.531728714638023,0.40172024509206095,0.35163489063915243,0.47674290454230306,0.45821067424263706,0.5054773869069703,0.42282803284718273,0.403502809549807,0.36443333974853553,0.43346137360140713,0.4440091130351098,0.3923996086888202,0.38273224487143565,0.3258379705149679,0.39913092172481823,0.44429467389398836,0.5129783708043845,0.4767640784171736,0.43867916119731665,0.40470053390280136,0.39864545185674716
