musical instrument,accordion,banjo,bell,clarinet,drum,flute,guitar,harp,jukebox,microphone,piano,record player,saxophone,speaker,tambourine,trumpet,violin,whistle,bagpipes,cymbals,harmonica,xylophone
-0.044330545,-0.04474813,0.015638016,-0.039184567,-0.005565331,-0.019560551,-0.012323912,-0.028383585,-0.05196354,0.019516649,-0.061250947,-0.049778312,0.03676976,-0.024884714,-0.044357806,-0.05964029,-0.027718851,-0.033777263,0.004448053,-0.025571087,0.008058429,-0.016279632,0.005896859
0.019416563,0.05723415,0.045889866,-0.027077809,0.017026065,0.02763394,0.048687536,-0.026961366,-0.0068495,0.018480059,0.016624488,-0.039062794,-0.017637007,0.030756475,0.04595641,0.04370667,0.02223796,-0.0308029,0.047555413,0.06524464,0.03908453,0.01708969,0.003231973
0.081633635,0.07642953,0.027133994,0.004986525,0.077293806,0.07757009,0.07571545,0.0850814,0.06883292,0.08876256,0.06021858,0.08017198,0.08175588,0.07827405,0.03600202,0.09550197,0.074776985,0.075480446,0.046685275,0.07808851,0.08169773,0.07636981,0.05763835
0.07363734,0.039200634,0.02802885,-0.012593633,0.038278654,0.08164426,0.041566864,0.033332,-0.015401474,-0.00320561,0.07086919,0.020243706,0.021511843,0.017959276,0.032865267,0.048586346,0.019903935,0.03937849,0.041748963,0.03181846,0.04561759,0.029309686,0.07597311
-0.06067042,-0.03862773,-0.052939225,-0.017391497,-0.048573904,0.029842801,-0.005515961,-0.01251314,-0.030402495,-0.07176496,0.046053242,-0.017661052,-0.02660878,-0.059736684,-0.028040657,0.024101349,-0.014732777,-0.046304677,0.024235535,0.033764817,0.041667927,-0.021464111,-0.025949635
0.063780576,0.053710826,0.014461394,-0.038202737,0.07182309,0.075303115,0.021286525,-0.005044934,-0.020110685,0.008020297,0.037309054,0.03756441,0.059368685,0.07558718,-0.035409853,0.05674735,0.058277987,0.029744422,0.07494137,0.042666525,0.061343893,0.054008696,0.0317871
-0.000521467,-0.024367118,0.05394458,0.030546222,0.053777475,-0.001958153,0.03003464,-0.030305466,-0.025802469,0.003325595,0.056930367,-0.021269906,0.00491554,0.01948468,0.03102724,0.04949998,0.040299688,0.03721147,0.010908348,0.046523493,0.008217437,-0.040158182,-0.017806083
-0.01811007,-0.007109648,0.001856993,-0.06807121,-0.046374846,-0.017738475,-0.033437494,-0.019010851,-0.011048398,-0.017067175,0.04573752,-0.002592495,0.047456905,-0.04149042,-0.042972036,0.034549247,-0.021085434,-0.027088044,0.013590402,-0.016714104,0.001726071,0.000372801,0.016912121
0.066507414,0.03025191,0.029368894,-0.0179281,0.022204837,0.03158534,0.042398565,0.04733118,0.03552703,-0.06156397,0.07198777,0.028716663,0.06083864,0.045637213,0.056057554,-0.0127349,0.012457117,0.062097892,-0.015936866,-0.04953678,-0.07739428,0.040991183,-0.018545005
-0.012351087,-0.021849707,0.030498352,0.017087298,-0.005953037,0.000803873,0.024835605,0.014364969,-0.02607506,-0.023740625,0.026849907,0.046768226,-0.03594609,0.006291771,-0.011347188,0.029715253,0.043685917,0.006223265,0.057990085,0.01495132,0.041573383,0.051526625,0.030703887
-0.036102906,0.015067096,0.016075099,-0.029478991,-0.04519026,0.01779614,-0.026669491,-0.04189733,0.036302965,-0.028194299,-0.050378017,0.01873739,-0.048588615,-0.0346704,-0.03247348,0.023755932,0.00336084,-0.023203745,-0.015442525,0.040794544,-0.021833166,-0.026679493,-0.016710434
0.011433942,0.010432762,0.07378659,-0.032017346,-0.00922946,0.023358246,-0.05779497,-0.054094937,-0.05696879,-0.021292292,0.0176793,-0.014951436,0.029666187,0.052888025,-0.00202316,0.00930808,-0.018481499,-0.004141323,-0.007597139,0.021955006,0.004940647,-0.023894161,-0.055777982
0.03882501,0.004736645,0.029119834,0.039792422,-0.009203979,0.007696106,0.016414616,-0.025438812,0.04000889,0.019831423,0.05391163,-0.01569319,-0.009743135,0.011460476,-0.007545464,0.014298112,0.035251953,0.06466849,0.05599206,0.042721495,-0.06507044,0.029553808,0.051153194
-0.019064516,-0.008693979,-0.0468013,-0.023526603,0.013054613,0.030593213,0.006477006,-0.033272557,-0.001347156,-0.018676674,0.001981437,-0.029428028,-0.06583202,-0.03772666,-0.01038886,0.021224877,0.01735982,-0.011725708,-0.045310803,-0.047627848,-0.046895627,-0.02926657,0.041977666
0.07367166,-0.0551272,0.016110038,0.026902819,0.001595826,0.04433741,0.041756794,0.0671672,0.012939951,-0.02424114,0.009973244,0.014154368,0.06043844,0.050024986,-0.0684394,0.08221301,0.013274138,0.04913035,-0.07740145,0.05758226,0.042568978,0.0397773,0.051729415
-0.069027595,0.06471087,-0.018067323,0.017441336,-0.02850375,-0.018923335,-0.03797482,0.019326197,-0.001434091,0.058407843,0.036093943,-0.015189002,0.05818377,-0.050488774,-0.001069902,-0.05353115,-0.025841383,-0.028813308,-0.07159236,-0.03784963,0.00327644,-0.040565785,-0.07020392
0.022008067,-0.027691044,-0.04882892,0.009705504,0.036897454,0.014016368,0.006770289,0.048078027,-0.013803546,0.021917675,0.07775539,0.022427794,-0.018151809,0.06853203,0.013297803,0.0621079,0.007058539,-0.004089386,0.0550784,0.003339516,0.03197098,0.044450365,-0.042907946
-0.048360296,-0.0352402,-0.001968547,0.068617664,-0.04785096,0.039610546,0.04154876,-0.027919156,0.031178104,0.077938035,0.031807262,-0.05949366,0.004412019,-0.01701491,0.052716926,0.006370863,-0.037198506,-0.021526236,0.032977708,-0.032127157,-0.06170671,-0.014892119,0.044449896
0.029121561,-0.009988028,0.020919517,0.04577648,0.06167336,-0.025582742,-0.025535261,0.04700921,0.007976762,0.006947685,-0.021374654,0.058900934,-0.034578238,0.061909243,-0.053901743,0.061667737,-0.046557896,0.06671364,0.007547387,-0.010568862,-0.035096124,0.04782412,-0.026415968
-0.071519665,-0.033995047,-0.06269465,-0.027536828,-0.07570835,-0.034524295,-0.07284107,-0.07403375,0.03382862,0.056194276,-0.050908428,-0.077601366,-0.014994606,-0.070800215,-0.010575634,-0.06589442,-0.07291911,-0.074419536,-0.023821056,-0.016588377,-0.06390631,-0.029400343,-0.067162566
0.07728107,-0.05392108,0.030597636,-0.001361408,-0.034019,-0.012541141,0.04051255,-0.022954185,0.042769007,0.020045275,0.007426534,0.001451244,-0.069909096,-0.03274753,-0.010397483,-0.000738365,-0.004365775,0.016125923,-0.008216004,0.038776767,-0.020666884,0.026293896,-0.0566671
0.04768743,0.07444277,0.07097111,-0.026495317,0.029367214,0.06197058,0.048017222,0.025648242,0.07393996,0.02036605,0.06519561,0.040608343,-0.03254475,0.046594672,0.028410574,0.07484461,0.009703109,0.005310001,0.05687576,0.05152637,0.077991694,0.06515769,0.055478044
0.02022867,0.040414132,0.044540778,0.019541407,-0.042908933,0.016887404,-0.056025494,-0.006498179,0.047894944,0.007971203,-0.067004934,0.02934462,0.047357038,-0.03068824,-0.016205646,-0.0575121,-0.040953677,-0.005184426,-0.068774946,0.019486308,0.03694821,-0.03438647,-0.04746947
0.021348909,-0.057447825,-0.008748799,-0.028047785,-0.008028279,0.028494246,-0.015340556,-0.024919193,0.011705879,-0.009195125,0.045060743,0.06983801,0.029092293,-0.021273168,0.005382139,-0.020301033,-0.026013067,0.066978514,0.011805721,-0.068276,0.00668896,-0.002412707,0.06664687
-0.08172925,-0.08179526,-0.0784431,-0.07594956,-0.079243116,-0.089435175,-0.078925215,-0.085124984,-0.08909764,-0.08886426,-0.08342218,-0.08073158,-0.082609065,-0.07852268,-0.098274395,-0.097032316,-0.08153028,-0.07849207,-0.08405052,-0.08134722,-0.0831962,-0.07718153,-0.08271363
-0.010688474,-0.036713954,0.040478505,0.016568407,-0.025080055,0.0800107,-0.050307978,0.008022117,-0.03323857,0.07087472,0.048635244,-0.015721777,0.03246784,-0.040433057,-0.023414966,0.050355714,-0.057305418,0.03734173,0.046634573,-0.047344018,0.04315005,0.017603641,0.057292316
0.005741089,0.013049491,0.006385044,0.07640942,0.016037175,-0.08443584,0.07084997,0.056038324,0.061207276,-0.05023216,-0.034529645,0.035363838,-0.031246737,0.036678463,-0.014426392,-0.01940051,0.040126525,0.025629085,-0.01292305,0.00868436,-0.06714434,0.03144245,-0.052148443
-0.053639278,0.070105925,0.03586365,-0.018069953,0.04231862,-0.03119233,-0.014242445,-0.065112196,0.005390442,-0.062043454,-0.06971269,-0.058113232,0.001594313,0.039710235,-0.07847003,-0.023237003,0.002987466,-0.016959906,0.026279666,0.040362462,0.023076473,0.004587885,-0.03408794
0.01940823,-0.017600453,0.05620883,0.040503804,-0.0234792,0.052318774,0.017160447,0.017627858,0.03722392,0.02317578,0.004663963,0.04279283,0.007592029,-0.04633517,0.01674904,-0.021454794,0.024150314,0.07310436,-0.054807443,0.002202678,0.02068083,0.037938796,0.010636481
-0.037616577,-0.02503965,0.014049542,0.019880677,0.027510498,0.05262612,0.023271184,0.010145574,-0.010466623,-0.03589099,0.028560381,-0.033601917,-0.003492976,-0.033279464,0.054393098,0.020189356,0.042965878,0.039424635,0.07701541,-0.011295644,-0.01594962,-0.016641935,-0.024585465
-0.057108432,0.009182062,-0.059241857,-0.006209004,-0.003031995,0.00977416,-0.042396862,-0.045567717,-0.026027322,0.01149125,0.061551478,-0.039329793,-0.0779691,0.05651896,0.026227193,0.03970499,-0.028356941,-0.009510539,0.051653143,0.07178482,0.060458086,0.06725982,0.048999675
-0.028413175,-0.020267667,-0.055982538,0.001521835,-0.069788486,-0.035132512,-0.044792656,-0.060909063,-0.036370236,0.012160173,-0.06803341,-0.03717529,-0.06874666,-0.06623739,0.006602444,-0.070075266,-0.07257992,-0.05675493,-0.055360757,-0.018196354,-0.05740306,-0.0338238,0.03741929
-0.06621008,0.05846727,-0.07303867,-0.07139293,-0.043002285,-0.067158565,-0.06259566,-0.029065698,-0.062001556,0.06388921,-0.007485951,-0.06364603,0.03980518,-0.018080752,0.05984257,-0.018120943,-0.06666831,-0.056692187,-0.036296707,-0.07535652,-0.05032862,-0.05929047,0.009437256
-0.05238505,0.02596704,-0.002498402,0.06535372,-0.07412612,0.0467088,-0.026300704,0.046067894,-0.002220943,0.018383527,0.027486006,-0.078153536,-0.031188823,-0.05453025,0.057994697,0.06942565,0.008865161,0.055084564,0.03537304,0.018095676,0.05910099,-0.058223356,-0.06483298
-0.046084058,0.003181383,0.027280971,0.05353961,-0.06975289,0.054234542,0.011257537,-0.047703665,-0.037502848,0.015743848,-0.001006156,0.019527987,0.06475863,-0.009767352,0.06432616,0.05279212,0.024190694,-0.00747938,-0.014882213,-0.04154728,-0.023063848,-0.04047955,0.048904024
0.011630889,0.07315473,0.026438618,-0.03435149,-0.050250553,-0.007028496,-0.013785305,0.067977995,-0.010262433,0.05418257,0.05331385,0.01510331,0.04329848,-0.06600237,0.045120772,-0.01543937,0.028510608,0.07174353,-0.023009902,-0.014257936,0.030339701,0.035391837,0.012240863
0.045287747,-0.03316064,0.043216582,0.001828665,0.04337331,0.045913097,0.005975062,0.020413019,0.020732628,-0.001176647,-0.051380232,0.058491535,-0.075087376,0.05385175,0.045512952,0.002719397,0.036540713,0.0464253,-0.051450137,0.03766528,-0.011112566,0.033045247,-0.001923433
-0.012829815,0.066906296,0.06953835,-0.005445142,0.025057804,-0.03291952,0.010502361,0.014429422,0.06536098,0.04581884,-0.002408048,0.037854314,0.041852575,0.016122181,0.026588364,0.063394934,0.056860853,0.010031826,-0.002018862,-0.032799438,0.014845167,0.03872769,0.07163366
0.044011336,-0.012260639,-0.048224207,-0.007272096,0.020068074,-0.002640447,-0.02093123,0.032569926,0.034349497,-0.031763673,0.008118151,0.027928086,-0.034541234,0.013380324,-0.015167323,0.05400116,-0.000188443,-0.057320092,0.02217581,0.043317832,0.0495321,0.062150136,0.058485635
