,accordion,banjo,bell,clarinet,drum,flute,guitar,harp,jukebox,microphone,piano,record player,saxophone,speaker,tambourine,trumpet,violin,whistle,bagpipes,cymbals,harmonica,xylophone
accordion,1.0,0.4022371219257065,0.22631923117272945,0.5374612624783957,0.39189178739339403,0.43656558025267356,0.39376260431903787,0.4107180663912924,0.3119140494566801,0.22786657359565332,0.43968656894591573,0.28316938258172986,0.5167883780447221,0.3168347599634329,0.4926024976675337,0.4700764001880956,0.4790589130983739,0.38751439387047526,0.41655258981444265,0.470433593048488,0.45646271862132637,0.3892378140171766
banjo,0.4022371219257065,1.0,0.23915693169423946,0.3864091737732973,0.36810389563535595,0.38869654033074297,0.4571395954334181,0.4502472598670504,0.31895284567715043,0.2142985890560486,0.44396526294310745,0.23385176714674394,0.4065685252509674,0.13740341157489788,0.4565648124813255,0.3983818508537331,0.4690044889520457,0.29667075723166136,0.4144314010213149,0.40030629429098563,0.4433848516275334,0.34599821384728524
bell,0.22631923117272945,0.23915693169423946,1.0,0.25057178553189874,0.28366276575963867,0.30841342424774476,0.26208664734578613,0.3309351339343556,0.23839832219595347,0.24823675190644678,0.3398273484562927,0.23432701895147234,0.2852513966151897,0.3740877552707942,0.2936204030672094,0.4034486673409148,0.31545887975738673,0.26715703462700646,0.2867456760690691,0.2099674935341196,0.1574353078550481,0.15458534505450183
clarinet,0.5374612624783957,0.3864091737732973,0.25057178553189874,1.0,0.4789934916863823,0.6733297757737977,0.46717240285768225,0.43162622812951934,0.22927143443988007,0.2633545480051499,0.5514071393748629,0.3038413450406843,0.7125150666453531,0.29285264646605236,0.46051428877861333,0.5860027200288511,0.4705491663954191,0.3753411568192928,0.4217756242130497,0.4805104105941078,0.4959724364018876,0.4316203649409973
drum,0.39189178739339403,0.36810389563535595,0.28366276575963867,0.4789934916863823,1.0,0.4430502033817817,0.4104657916659453,0.34590717735785537,0.27175668992351587,0.3779089445399313,0.4343337314442902,0.3080037138468168,0.42088041557092093,0.2817059095309117,0.5690290076834162,0.46130517706844076,0.3897059571067574,0.3677792476153532,0.45769121711705374,0.670295179845949,0.4281603374722498,0.3770148237828247
flute,0.43656558025267356,0.38869654033074297,0.30841342424774476,0.6733297757737977,0.4430502033817817,1.0,0.40663707315786035,0.6136186747858159,0.1901098603460969,0.2654614845001849,0.45830447161636,0.3532489648202517,0.5881198889642305,0.2450126182387189,0.5409400282521718,0.6700464197953653,0.5479104447726815,0.39548838505484385,0.4535757485788463,0.43085400916475547,0.5109442267450085,0.4274500908226573
guitar,0.39376260431903787,0.4571395954334181,0.26208664734578613,0.46717240285768225,0.4104657916659453,0.40663707315786035,1.0,0.37294346625106356,0.3760744108062849,0.3398760548749711,0.6343259435760297,0.3180194724725951,0.44633486659018207,0.29955037363515435,0.4510557092767836,0.43033928003323396,0.5184249396033389,0.30074424460962157,0.4043987553107218,0.4135433321151065,0.48375773266719313,0.32988882292878796
harp,0.4107180663912924,0.4502472598670504,0.3309351339343556,0.43162622812951934,0.34590717735785537,0.6136186747858159,0.37294346625106356,0.9999999999999998,0.2896288055681502,0.30252515046101325,0.4425508485478308,0.34768443263952986,0.41041548155721297,0.24933064370584623,0.5131639205548303,0.47394917825174465,0.5322148171288351,0.3580960376186222,0.5906073945742294,0.34883366113181224,0.5997267656995445,0.33865989384420314
jukebox,0.3119140494566801,0.31895284567715043,0.23839832219595347,0.22927143443988007,0.27175668992351587,0.1901098603460969,0.3760744108062849,0.2896288055681502,1.0,0.26503588877629625,0.3455462445287616,0.39958980747677075,0.2389427823732413,0.23338759146939336,0.35283118258672297,0.1728220165513279,0.1938919806955024,0.19964986306098975,0.2646268620769101,0.2989327280399712,0.37361626413271076,0.276562334777954
microphone,0.22786657359565332,0.2142985890560486,0.24823675190644678,0.2633545480051499,0.3779089445399313,0.2654614845001849,0.3398760548749711,0.30252515046101325,0.26503588877629625,1.0,0.31448037625224756,0.3854541444838049,0.2883789225823753,0.46594111739239663,0.42330449706728557,0.3468935846481278,0.24087531125714634,0.40497247972403994,0.3092565596308452,0.36374720851367615,0.37226769276595506,0.2812907057883618
piano,0.43968656894591573,0.44396526294310745,0.3398273484562927,0.5514071393748629,0.4343337314442902,0.45830447161636,0.6343259435760297,0.4425508485478308,0.3455462445287616,0.31448037625224756,1.0,0.3459383309747719,0.5458981519231034,0.33534821938655024,0.4771463631526951,0.5292656143466302,0.5921308164880142,0.3328157896159446,0.40742989331446267,0.3860010834141371,0.5288248800944991,0.3890856448962099
