,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
alien,0.9999999999999998,0.3762397779193756,0.24317768500005932,0.22598591830619252,0.2508546875950872,0.28366746970192114,0.376405595590121,0.32015453069280864,0.23020201329562628,0.4448502111898809,0.35750929999996073,0.1528823346043503,0.25758344909018493,0.23116344731835803,0.1569332845995659,0.3579985988229746,0.3400277222043313,0.36224868337755023,0.34239389534781073,0.30077582520285984,0.31325868371479615,0.29714546075105175,0.1792943601951391,0.15088376146832472,0.30916928578071556,0.3664930711873745,0.2886231258255447
angel,0.3762397779193756,1.0,0.31741553407244916,0.3739623034277586,0.29681240012845,0.15114198125880152,0.47417788031145536,0.5000918013194231,0.2408608945949512,0.407070244698329,0.4124585388510782,0.24238325041905007,0.2578105840341607,0.3057500583945958,0.16585556241984178,0.3009547002099411,0.3104666547202295,0.36871677367263134,0.27597182476675663,0.27418186143160095,0.3295893471051301,0.2742194296272319,0.286903616983747,0.17225154823837285,0.2848656016165121,0.30819193394775346,0.1955761065142323
arrow,0.24317768500005932,0.31741553407244916,1.0,0.572042243177793,0.3238208028645091,0.1172447480270129,0.3885170883454693,0.31122349986802456,0.14600215714464393,0.2537951971326322,0.1405521132071894,0.3234772608875156,0.29459085129152096,0.3753250190438264,0.3973746239287146,0.15350504497921547,0.2187566647910888,0.11517857644847274,0.2840631919208323,0.20797736794494281,0.2115934396711151,0.2715039263018053,0.29764133696914863,0.14818941783945605,0.2135096352393282,0.235893066875557,0.2506276597975986
bow,0.22598591830619252,0.3739623034277586,0.572042243177793,1.0,0.48229458676142245,0.3272380433873874,0.42276030692328015,0.30953242832634853,0.19788573888320493,0.2470745442617568,0.2437488281950818,0.42834940779249786,0.2610741584076137,0.32629810585329255,0.2929958352619212,0.18539198951526425,0.1964525023993352,0.17305328316156765,0.2859353232275236,0.2575643218675465,0.27365798934455776,0.3391862381604549,0.4707625607927548,0.24031001587637968,0.3539282559118123,0.26971484257188993,0.26222459089200645
crown,0.2508546875950872,0.29681240012845,0.3238208028645091,0.48229458676142245,1.0,0.21800120974922144,0.39339531994525845,0.31582919883209426,0.17167400756539997,0.3041108146783563,0.3638586295372329,0.3552023811602043,0.44912504039349654,0.4004838624128827,0.24333742828003324,0.18087012711993644,0.28034095594068686,0.2605548006764353,0.2728551671686783,0.4725768048263115,0.23860424295953375,0.2535864541340134,0.3818830068641452,0.2487896498280604,0.3092582831124877,0.27317610304813034,0.237897858874772
dinosaur,0.28366746970192114,0.15114198125880152,0.1172447480270129,0.3272380433873874,0.21800120974922144,1.0,0.42962004698514666,0.2090904019873604,0.31837208433181186,0.20835104883491773,0.22231280438257306,0.26336998428827196,0.23824602170372877,0.23953093917227042,0.11402527503916005,0.3368228236955726,0.2697208588319008,0.26610912796569963,0.16807702233563804,0.18753398934830712,0.36364870026711926,0.32046941035783827,0.2430763463134582,0.13179664873243968,0.4241368936194163,0.23070615238911962,0.2800637366488814
dragon,0.376405595590121,0.47417788031145536,0.3885170883454693,0.42276030692328015,0.39339531994525845,0.42962004698514666,1.0,0.4618294169943207,0.2842372830060176,0.3717961937290982,0.33386376275175733,0.28211774434956216,0.4515663514060799,0.4175877066200717,0.28148702910587375,0.31491106669646607,0.4126918823711909,0.36343128547659875,0.3578616072001801,0.4183497134576307,0.36278096548914074,0.3649217216662115,0.46150707067847385,0.25262718066584755,0.44867000358423903,0.31532872636124254,0.3594262375183451
fairy,0.32015453069280864,0.5000918013194231,0.31122349986802456,0.30953242832634853,0.31582919883209426,0.2090904019873604,0.4618294169943207,0.9999999999999998,0.3576699376728394,0.4025990579332076,0.23974997785244323,0.24639502619232845,0.24551702757335214,0.34344800981693036,0.17962467327035825,0.4106825557745817,0.3436291157098079,0.3420443859144926,0.38803590071592553,0.39371782079736206,0.19935092233456475,0.3042487364822092,0.31997965909815185,0.23591095435208898,0.40164156464907685,0.44969822491013356,0.34670407597850106
genie,0.23020201329562628,0.2408608945949512,0.14600215714464393,0.19788573888320493,0.17167400756539997,0.31837208433181186,0.2842372830060176,0.3576699376728394,1.0,0.24771999820730994,0.09038034307182696,0.28485599235499837,0.20018601272008862,0.23049530264964269,0.0,0.41621310475682394,0.2211985502287599,0.3116065318815131,0.220159753304756,0.2375131043191041,0.2507647861742377,0.3633831896310884,0.17055162848209282,0.1691255280425673,0.31037773078243025,0.3591872100221203,0.2170785193639222
ghost,0.4448502111898809,0.407070244698329,0.2537951971326322,0.2470745442617568,0.3041108146783563,0.20835104883491773,0.3717961937290982,0.4025990579332076,0.24771999820730994,1.0,0.3289067562513198,0.2947270637405517,0.2880349878494146,0.3280162701928784,0.20492004364789485,0.25607951887663893,0.2911003969963235,0.35836474121041717,0.3043541502469801,0.33628427415109785,0.3436037936637324,0.35977384571577753,0.27367453347010695,0.2131589264568755,0.27425691119296025,0.40037481361650373,0.2581929343044842
