nature,acorn,bamboo,cactus,cloud,desert,feather,fire,flower,garden,grass,leaf,lightning,moon,mountain,palm tree,plant,rain,rainbow,river,rock,roots,shell,smoke,star,stem,sun,tornado,tree,volcano,waterfall,wave,weed,beach,cave,cliff,island,snowflake,sunflower
-0.07417494,-0.037505317,-0.018700313,-0.036650654,-0.051923815,-0.052521016,-0.06295888,-0.050096307,-0.035354022,-0.055361226,-0.03924016,-0.03475336,0.001927153,-0.053323284,-0.04478287,0.017098702,-0.017981537,-0.06989983,-0.04601942,-0.03189895,-0.085349485,0.021863261,-0.020154279,-0.052793853,-0.038131237,0.025672982,-0.03762999,-0.019071868,-0.047169045,-0.029201558,0.008556575,-0.0412002,-0.004275585,-0.06714313,-0.020245109,0.000392105,-0.06462873,0.0201712,0.022442803
-0.05568306,-0.013825953,-0.015525292,-0.002656675,0.033321477,-0.019876627,0.068227425,-0.014328968,0.040651985,-0.005959794,0.029321121,0.030552369,0.000560389,-0.03318075,-0.010499508,0.029778307,0.010953378,-0.001674629,-0.016592158,-0.037639536,-0.019310823,-0.010329581,-0.011711175,0.041819457,-0.02065234,-0.028549004,-0.034206823,0.01836073,0.023386035,-0.041546874,0.024721738,0.002878856,-0.018556021,0.059180666,0.047319792,0.009549655,-0.016209431,0.02572422,0.01934987
0.06295849,0.054752804,0.042439993,0.002777279,0.045508288,-0.008235356,0.04817428,0.041163728,0.020817883,0.07552638,-0.027204206,0.074956894,0.05785932,-0.001490092,0.034297824,-0.014553357,-0.003849313,0.06643425,0.070975095,0.03595859,0.087727554,0.018122854,-0.071186595,0.06373218,0.037417617,-0.012783586,0.02098378,-0.010225722,0.017848613,-0.02552961,0.025920095,-0.015034914,0.06538605,0.058082893,0.013462311,0.07217137,0.03259403,-0.03176488,0.053215355
0.032224104,-0.003859837,0.021138856,-0.001523792,0.037947293,-0.024931993,0.010799327,0.058381975,0.068718866,0.029923012,0.057209007,0.059229944,0.04312247,0.001277607,0.043624517,-0.016293183,0.07943943,0.034590658,-0.003053239,0.022910422,0.027277537,0.03890455,0.055229243,0.031200118,-0.015519055,0.078215726,0.056047726,0.00434244,0.07769859,0.029399028,0.005467148,0.046092898,0.040972535,-0.019860744,-0.014870254,0.033715658,0.04202226,0.04780235,0.030517234
0.021031488,0.032225855,0.017136699,0.056574892,-0.03914427,0.013767973,0.062202837,0.052834116,-0.0399786,-0.03096202,-0.051357638,-0.015241417,0.006037932,-0.024547663,-0.004794248,-0.035807006,-0.03137734,0.037286595,0.034170575,0.000849638,0.03601217,0.03858373,-0.028525682,-0.04111604,-0.01005056,0.032596514,-0.000673221,0.017365342,-0.063353576,0.046921354,0.040488377,0.003212052,-0.025023378,-0.00410969,-0.06717666,-0.006262198,-0.004603066,0.014359222,0.076004855
0.056207124,0.03207698,0.07526792,-0.034642182,0.027625414,-0.025130976,0.056231774,-0.048564743,0.0623296,0.049846902,0.077705644,0.04124108,0.0444021,-0.062842205,0.05494919,0.014896139,0.07017337,0.05518555,-0.02580131,0.06595885,-0.011121593,-0.001027687,-0.06917293,-0.08488217,0.017624773,-0.026074924,0.025590658,0.03333176,0.017299408,-0.019140737,0.052036148,-0.006256236,-0.046710234,0.063865624,-0.07056906,0.004846579,0.08402305,0.006281489,0.008954509
0.039567925,-0.06837021,-0.001141502,-0.016386554,0.07415679,0.028094161,0.002320287,0.029521802,-0.059159636,-0.00229967,-0.009273355,0.03510683,0.042355288,-0.0661735,0.036841143,-0.000101408,-0.008486291,-0.005057295,0.046771094,0.014590842,0.06818312,0.03546694,0.01818423,0.03171638,0.024523199,0.025148304,-0.013045874,0.012513401,-0.025858572,0.063952364,0.03709674,0.039820757,0.022652434,0.06239706,0.03067844,0.068483986,0.041018672,-0.038211532,-0.030753257
0.03001506,0.00917642,-0.01552085,-0.021733914,-0.012905994,0.049679097,-0.069689445,0.009943383,0.02115606,-0.038658887,0.010662782,0.03387037,-0.041550376,-0.03643755,-0.03556177,0.031526934,-0.017686034,-0.055218726,0.00568599,0.025597684,0.006461407,-0.041771732,-0.035608795,-0.010268274,0.011450436,-0.003166486,-0.0654596,0.051834896,-0.015587442,0.041850854,0.071217254,0.007807258,-0.051094998,0.002445351,0.025796445,-0.008883136,0.011933847,0.01572726,-0.008529832
0.022824515,-0.06985621,-0.02099123,-0.031435374,-0.00250678,0.00395926,-0.037212115,0.002709603,0.012706217,-0.03209771,-0.023568679,0.013923056,0.0010888,-0.029137831,-0.003329826,-0.03471921,0.028622217,0.003264357,0.004857849,0.000222005,0.019655654,-0.030462112,0.002521656,-0.071220875,0.013413359,-0.008295951,-0.003462708,-0.000538907,0.03709872,-0.000433304,0.051198743,-0.024432179,-0.028042926,0.032448195,-0.04972833,-0.046140626,-0.00826175,0.007171854,-0.03338193
0.055490393,0.002826248,0.017871521,0.035208758,0.04574188,-0.019365959,0.0481298,0.01921125,-0.036643025,-0.026897103,0.053532194,-0.025857238,0.047943983,0.010725983,0.030764809,0.020887287,-0.023637699,0.06078595,0.05416741,-0.031183409,0.0370075,0.042833302,0.05055444,0.044049516,6.44E-05,-0.04454191,0.04075964,0.06755485,0.021446561,0.031957675,0.05171786,0.034840386,0.033066757,-0.037401844,0.040216845,0.010829829,0.03449736,-0.010877302,0.059467737
0.047619443,0.04153225,0.02446146,0.071794994,-0.035339683,0.012065624,0.07477685,0.06456584,0.040551722,0.053775065,0.01388487,0.023846094,0.01677728,0.017191747,0.040555447,0.040384617,0.063099384,-0.043204937,0.03311577,0.044693083,0.049298216,0.033171445,0.021096177,0.020769322,0.009963557,-0.028430484,0.020962479,0.07298036,0.05959227,0.01340954,0.021465791,0.022955095,-0.013644789,0.026989428,0.07897133,0.04402466,0.059599586,0.048381813,0.045963984
0.022645826,-0.042938504,0.024508469,-0.000253672,0.045690015,0.04362704,0.06963579,-0.053269148,0.05001,0.051319953,0.07318468,-0.021083292,0.012409587,0.026265113,0.027712755,-0.081636086,0.047475357,-0.005896597,0.006859164,-0.025465278,-0.04721713,0.01673163,-0.016147006,-0.07423934,0.040452786,0.040423542,-0.06845779,0.006381473,-0.00569636,-0.025497884,-0.029492386,-0.0719784,-0.004096262,-0.0559391,0.01804097,-0.01751058,-0.074667186,0.030252635,-0.00560388
0.068414874,0.011432995,-0.046114005,-0.019219255,-0.052529663,-0.025839135,-0.01636624,0.027885543,0.046680037,-0.008101634,-0.019273078,0.005924956,0.010653782,0.016488422,-0.024181826,-0.036627956,0.034322493,-0.013933726,-0.001549864,-0.016332826,0.02109021,0.003157875,0.039555844,-0.01678572,0.014111352,0.003998065,-0.07839677,-0.020449614,-0.025207752,0.010340982,-0.006054003,-0.002197778,-0.022261927,0.048965435,0.05509455,-0.07968824,0.058127318,0.028618148,-0.046823043
0.0116142,-0.042013768,-0.013442152,-0.052379344,-0.060133383,0.019120488,-0.028620517,-0.053944338,-0.06009807,0.06265688,-0.018820534,-0.00102508,-0.03871623,-0.05377568,0.016741652,-0.001767386,-0.019561231,0.013102816,0.01678091,0.017997487,0.03745448,-0.018400159,0.069083355,-0.038038027,-0.048675977,-0.008152987,0.023024552,-0.013165139,0.034853324,0.03652592,-0.040694218,-0.03140524,-0.044715323,-0.000121009,-0.04928311,0.007890068,0.025910398,-0.013412886,-0.04878046
0.03691333,-0.053774215,0.013381725,0.01661048,-0.012127823,0.052682783,0.066699795,0.023257216,0.035891317,-0.031957902,-0.040255573,-0.011484605,0.017627826,-0.017154764,-0.03684237,0.03150014,0.020286312,0.042694516,0.03385231,0.07562397,0.06624707,0.001646263,-0.05247854,-0.018250555,-0.014415073,-0.026126115,0.01586192,0.06190848,-0.014363431,-0.015265489,-0.01943296,0.055181786,-0.021905176,0.084856495,-0.07043654,0.014387137,-0.003538141,0.028781015,-0.052528936
-0.051538154,-0.050655965,0.053686894,0.025578832,0.00287311,-0.040426705,-0.04026454,-0.025236486,-0.043842833,-0.002027645,-0.01267361,-0.024284352,-0.03300349,-0.05719978,-0.020278804,0.009442279,-0.031808287,-0.024624059,0.000353486,-0.045827612,-0.010729321,-0.048156876,0.050119303,-0.04583066,-0.036215715,0.019058254,-0.026473332,0.031365346,-0.013366474,-0.0607463,0.005201484,-0.039421074,-0.037992917,-0.04636123,-0.03437341,-0.005441709,-0.018582663,-0.041501313,0.01937437
-0.03139008,0.015349216,0.065415844,-0.014950199,0.072472036,-0.006851211,0.07608802,0.0570459,0.028211625,-0.04624334,-0.03140255,0.010283655,0.062901035,0.013541131,-0.03797915,-0.03370048,0.023139292,0.059020188,0.021061016,-0.031650472,0.028127642,-0.024867894,-0.000792067,0.03903504,0.015632413,0.025060136,0.015063903,-0.043948833,-0.024508016,-0.042441454,-0.0286191,0.06934592,-0.027919095,-0.012899038,-0.017213041,-0.02614447,-0.041270383,0.021549275,0.006365485
0.024720594,-0.00247175,0.029910108,0.0757391,0.06613575,0.07940114,0.043515876,-0.001727317,0.04314182,0.07889055,0.054628186,-0.001621995,-0.056783754,-0.002269906,0.060862668,-0.01647538,0.030364132,0.07607739,0.06677729,0.046362747,0.080310486,0.06467326,0.079920836,0.03236371,0.012889206,0.046565928,-0.005949247,-0.018783273,0.02415789,0.050636843,0.038680434,0.031169914,0.03314645,0.071447544,0.079141214,0.063386686,0.06266595,0.07273417,0.009640538
0.05833022,-0.026209893,0.05422408,0.04064129,0.030590264,0.011028321,0.038314756,0.060033325,0.00387431,-0.067432806,-0.01862878,0.05183018,0.08041188,0.083011754,0.019232586,0.050277397,-0.034770098,0.06116633,0.037827987,0.001205232,0.03293812,0.0170084,-0.019474842,0.003822583,0.07016754,0.0508866,0.077776976,-0.021293754,0.02553306,-0.050655425,-0.027083114,0.07038497,-0.005332198,-0.016804328,0.02158202,0.058855735,-0.008649503,0.05890339,-0.028460195
