,acorn,bamboo,beach,cactus,cave,cliff,cloud,desert,fire,flower,forest,garden,grass,hay,hole,island,lava,leaf,lightning,moon,mountain,mushroom,nest,palm tree,pearl,plant,rain,rainbow,river,rock,roots,seaweed,smoke,snowflake,star,stem,sun,sunflower,tornado,tree,volcano,waterfall,wave
acorn,1.0,0.2201945781537762,0.09680937398580525,0.2298290557212569,0.3193395602272022,0.24464733080873846,0.09254532474370936,0.18987858892925313,0.25354957854231275,0.14524661182643517,0.2607264714835187,0.1517468947475238,0.18777334389790568,0.18830102969158935,0.25621902554805875,0.2042740361346015,0.264313860873861,0.24707459357644224,0.26446436920634186,0.19515491280717434,0.23078177325094995,0.3060912792251348,0.2566022138420109,0.22486749600550848,0.24042746871327814,0.1974927338045901,0.2450793174779422,0.2424330486210553,0.08926322233464057,0.21499255103185577,0.3381374553328377,0.25486110912664306,0.17962660665449637,0.2581331350606959,0.1665261371329566,0.27009741816204524,0.1604854304435901,0.18352448544284283,0.19573340756995727,0.3067553090992734,0.21773376439518044,0.2281828787599065,0.24156925422376985
bamboo,0.2201945781537762,1.0,0.2534964251717178,0.4134810843614911,0.1857518275001453,0.2757285619434834,0.2764016398027648,0.29206849036588756,0.37669952270116014,0.32035517791298784,0.3542415843524205,0.3157909885775638,0.38028895020666187,0.20763871528220068,0.20198695381243115,0.17472351979228895,0.32822386530652314,0.3843320901043791,0.3498291597699692,0.2182590430640825,0.3050233450436467,0.3234720862546939,0.17948952180574995,0.34405139099660964,0.2968665887766301,0.41718592327907156,0.33239449877979244,0.36949613444909346,0.4171321108845488,0.3151640037069081,0.3615005461656893,0.4205818712537428,0.2166475876727677,0.23384900860159608,0.24672641498688774,0.36475008040723367,0.30358889361441044,0.2951069813867957,0.2712064513372998,0.3880882545611033,0.18516094512806736,0.277242005730156,0.2631836174166753
beach,0.09680937398580525,0.2534964251717178,1.0,0.19146504585546287,0.17867030231418346,0.3904688012746711,0.33457409542637984,0.3784994696508239,0.3521298767607097,0.2740956044035163,0.3297092990177506,0.3981591369619213,0.3498822407906449,0.24717126968948744,0.23463575297533035,0.5015157359264236,0.3240544230651202,0.316516544663335,0.24217245559419442,0.27011939449767663,0.413002398901658,0.11257761613316342,0.28423743249063216,0.3878295345489573,0.2682462252763964,0.3775685893925609,0.36152808126712654,0.33020600610296746,0.4240103027130073,0.4238769319930984,0.2810971907483737,0.33194161737184813,0.33907380355683403,0.3432310409931085,0.3323423714613707,0.21514053207253803,0.4745187628745695,0.1990469896422694,0.166993358007681,0.3659559321914202,0.27600370899650417,0.2957956801150059,0.49379678062368004
cactus,0.2298290557212569,0.4134810843614911,0.19146504585546287,1.0,0.25647972987626777,0.2685916747225162,0.28251241337802746,0.4673190414996443,0.38990390387522567,0.33861609201058007,0.2874703076603864,0.2907783674148813,0.40036466442541596,0.32808408066442496,0.29270687141695206,0.20179618578602954,0.35572388606431826,0.28741449335067626,0.17729552174906926,0.26214790654975584,0.282621019113811,0.2577150421401312,0.20034046524024873,0.33587619213011877,0.2386496598636313,0.42740827376447155,0.33439148978717914,0.3132863130237361,0.3083477202490401,0.345490127850826,0.27956359620732485,0.2480248422217145,0.21989679903467674,0.31512411397305606,0.24812886202466633,0.23789853885070955,0.32153056954740755,0.31639086887052814,0.3136852198149015,0.293296825268464,0.2535721863303213,0.28396524053304273,0.2467337321119718
cave,0.3193395602272022,0.1857518275001453,0.17867030231418346,0.25647972987626777,1.0,0.40818585212258873,0.30644922483387804,0.3170233638050741,0.3519012410342537,0.22721013754307484,0.3871497806452392,0.3377317845822867,0.24910166601747452,0.1917070582701923,0.3599062771167847,0.36676040370034,0.39948104611743185,0.1806239857032551,0.2664394725947533,0.37007921993747117,0.44213764699476577,0.33384996479020057,0.31542435921146594,0.23347839748521182,0.27518118089142796,0.28025961592755355,0.26574454391071867,0.19416524205789354,0.25853488822049653,0.33154965556728344,0.283262953853225,0.13087344328923867,0.27671080607489373,0.20378930879522283,0.16137840765452194,0.2524101512313033,0.26379081787394765,0.2179521393862961,0.18182127329782638,0.3176106365804736,0.2482104425127476,0.38471133872093777,0.27970269694063876
cliff,0.24464733080873846,0.2757285619434834,0.3904688012746711,0.2685916747225162,0.40818585212258873,1.0,0.38652429219569173,0.30524115018409015,0.3535998519413154,0.23170069014768446,0.34063830368253667,0.2878289668427555,0.2645896865414885,0.21509646857345377,0.34698354533423126,0.43739661646225425,0.37126021984183133,0.3809403693034288,0.3440744966691218,0.3742613195011457,0.5350755192171923,0.2993957740407611,0.24838128487817712,0.4014900386289437,0.3008490635046208,0.3057310139545666,0.37021664195487836,0.34181824142294115,0.42141051241489613,0.4364197126229714,0.36717466953595146,0.24444276905218798,0.34686949809706813,0.23545063698881208,0.28945441679769424,0.3562789327435152,0.40704122102822904,0.32428668025024565,0.272037303987092,0.3676917390837231,0.3829765866119672,0.43099064784919305,0.3987836320340534
cloud,0.09254532474370936,0.2764016398027648,0.33457409542637984,0.28251241337802746,0.30644922483387804,0.38652429219569173,1.0,0.3503376776889572,0.37077101029269643,0.38990444246523626,0.3546836398813893,0.31389760285644686,0.3659319208045775,0.2645825101928213,0.3207596808298371,0.2831987731813269,0.3127333299080176,0.4150355640129677,0.5226652670280111,0.38533808293712746,0.5018234150868885,0.24775523772717856,0.2415660181081607,0.26908921801582686,0.24108472623187904,0.3907995596884677,0.5078541586470804,0.45965994131932864,0.38639360499497144,0.3547447177668437,0.2427537674721718,0.30165746462232,0.39523417543359274,0.4024974720155329,0.37403843632089573,0.26443240503207965,0.4300903341259257,0.28369399700164677,0.4121001559292288,0.37558261966789686,0.35899311743423534,0.32839471333421133,0.45045266851510357
desert,0.18987858892925313,0.29206849036588756,0.3784994696508239,0.4673190414996443,0.3170233638050741,0.30524115018409015,0.3503376776889572,1.0,0.3994758276606929,0.2953021081715904,0.4066981024224412,0.3176792167108998,0.38015006238938875,0.3755825608244189,0.3807149488311279,0.3221660962976821,0.46585221602081783,0.3363639124733214,0.24831200367309225,0.3366990868376766,0.3891922745836238,0.2873362591421036,0.24044200972978746,0.39139106710479576,0.1975720488022249,0.36848085371107153,0.43944329766025036,0.36914880694665,0.37850367665540785,0.38432846077004257,0.2490384434809092,0.2068109339479287,0.3159337590046123,0.2738721232318362,0.32972451857949836,0.2229107112878138,0.3913620047298577,0.19846834581926265,0.2774561758124101,0.3369455547201403,0.33642814952543443,0.30768092355371324,0.3756712865761085
fire,0.25354957854231275,0.37669952270116014,0.3521298767607097,0.38990390387522567,0.3519012410342537,0.3535998519413154,0.37077101029269643,0.3994758276606929,0.9999999999999999,0.3465319817860948,0.4245463564923644,0.329552925994411,0.39178201983158023,0.40920742214458705,0.41771360389739254,0.3054032022089871,0.4995260298305444,0.44747793235730793,0.4935226603554199,0.32185815531281436,0.310743535230956,0.18588932536731484,0.30957158269452734,0.3063893278476649,0.3150577528739148,0.427524472597576,0.40204917872114176,0.3656499812842018,0.3935753710053682,0.44260270571444527,0.2732334217143493,0.18337652444731078,0.5604156840296394,0.2919440222971441,0.47161752951425195,0.306629289940348,0.48687251446586144,0.20163049571763936,0.35702689955383127,0.4891535943609304,0.3559957103598532,0.3200279762894309,0.46391203931586134
flower,0.14524661182643517,0.32035517791298784,0.2740956044035163,0.33861609201058007,0.22721013754307484,0.23170069014768446,0.38990444246523626,0.2953021081715904,0.3465319817860948,1.0,0.4481628186837705,0.45844168629782045,0.38588497696777957,0.26033488013609407,0.37820107869724007,0.274484912410096,0.14578068662582255,0.4633915040800112,0.34786057817016947,0.35167166175574205,0.32381272064495426,0.2957450089194277,0.26965698963215323,0.29838151884112696,0.38300849947937754,0.5736327203110958,0.37409281534312067,0.23824853743265018,0.31666563147342663,0.24947457254197758,0.25461561030112567,0.22005672596591108,0.3458440192640637,0.37599627058712226,0.39205006359380534,0.40461551743593904,0.3399734955419227,0.5621274232360974,0.22399344217199957,0.4258124904257474,0.15460199578730982,0.2870812965554691,0.2625456828248769
