,alligator,ant,butterfly,caterpillar,chick,crab,dinosaur,dragon,duck,eel,fish,fly,frog,jellyfish,lizard,lobster,mosquito,moth,octopus,ostrich,owl,peacock,penguin,rooster,scorpion,seahorse,shark,snail,snake,spider,turkey,turtle,worm,dove,dragonfly,flamingo,goldfish,hummingbird,ladybug,pigeons,seagulls,swan,woodpecker
alligator,1.0,0.25608552948625773,0.2798406172129322,0.2871713489678467,0.27264336953554236,0.3708801035347805,0.4550508428682294,0.314259125246945,0.42588595473649704,0.49330633516113265,0.4112130116631043,0.33806318064199536,0.4630395557834166,0.3472105907590498,0.4934201893754109,0.34496396243717786,0.357252550860929,0.3434919819745167,0.38269749226946526,0.39373490872886296,0.3691408634338047,0.2785716795469244,0.3576945724437637,0.2608876962183653,0.34229039328230737,0.34785992079444217,0.44732141319216945,0.28309280497321176,0.4979863086389691,0.3258113023729259,0.22373824669159292,0.4477027750095386,0.3565148468129774,0.23077017410013168,0.32072917248309063,0.3662262040427068,0.274702189101115,0.39009467342381265,0.25390884610855247,0.2613465063280007,0.32748378269774003,0.31523708657284955,0.31179804814255774
ant,0.25608552948625773,1.0,0.32391130878149843,0.32611677362429137,0.33102529365704725,0.35660067400146134,0.379937312312729,0.313541872992657,0.23781402286308562,0.26407431463264663,0.25401559243258254,0.3116687463211888,0.32236521990364064,0.3866965439533816,0.3400651659889512,0.2498197958202597,0.4365417561195002,0.36785179378242017,0.3279052874122552,0.383802343404653,0.3063713586213246,0.2798727709979588,0.2938755569922793,0.3128497545789568,0.23972652345594603,0.2851060178310144,0.3191649669699963,0.38564778806467226,0.3245415393076396,0.42024025975172075,0.3698665639671296,0.33483509413114376,0.42602101391402714,0.31288714766159365,0.35879780037737885,0.3019341536915272,0.2441579355655339,0.32812935268696874,0.36386754011926115,0.34949078406434153,0.30462945096379057,0.23123409231809733,0.3522972860514051
butterfly,0.2798406172129322,0.32391130878149843,1.0,0.5744318185324175,0.34763794036376194,0.2766590043914293,0.31858723746616635,0.3626357345620257,0.31787187619458557,0.29955858453047535,0.307017065699841,0.5321350261217139,0.39149455232825514,0.26682677162531054,0.2397567639139211,0.25141167482446236,0.44853289521939343,0.5969789311434626,0.3202582684692763,0.27772657323312644,0.3531266272612179,0.3950840522393415,0.44715381023846834,0.4246189751999553,0.3140799040874219,0.3089535028497361,0.40310019701758004,0.3470261263106782,0.35214469417053285,0.44813648012143925,0.18022307950240457,0.30341039827912497,0.3661698177993138,0.34069058029173427,0.5844214996964839,0.3968373595110646,0.29816290060383044,0.4598349573539444,0.4441107002010193,0.316110632228333,0.2871767038532089,0.4312336470343916,0.3751084635102522
caterpillar,0.2871713489678467,0.32611677362429137,0.5744318185324175,1.0,0.29439552274176584,0.2988503685081956,0.32016041178106003,0.3678839586928344,0.29000926621017675,0.3420836047875523,0.30580704977912343,0.3714099333506812,0.4638988145225489,0.27618254560447875,0.37412879743557204,0.24170178401399234,0.3482609946292904,0.5967543769449669,0.2866517047846855,0.31288392263774223,0.3793324612104002,0.27333394219325646,0.32587015636133243,0.3941609541849673,0.33975291367019833,0.25049183960369814,0.25269636970849263,0.40449432764149407,0.3728962894466449,0.41395065942486653,0.20042729031602358,0.33714125842089127,0.4945862662416267,0.24864375624090873,0.5190896835707778,0.32781587447355,0.29464159339349427,0.31252902557567375,0.4179618348980274,0.34664238815843673,0.2765509014456671,0.3179356107997233,0.4373425419269297
chick,0.27264336953554236,0.33102529365704725,0.34763794036376194,0.29439552274176584,0.9999999999999998,0.3008814123882302,0.36483114020187335,0.4136540512029764,0.41281314582039985,0.19337747782101977,0.36721208688174856,0.36271968472913896,0.37849541754728677,0.12424749369697186,0.3892777758833881,0.2248460450481582,0.24484625813735839,0.25666783745183575,0.22445007720846344,0.3744020550196059,0.33882036602810195,0.3883764537873846,0.44240049638284296,0.5252787701489792,0.2883987597783195,0.30786229629425943,0.23427552621077996,0.313943202771352,0.37674335159379635,0.3541985666187679,0.38008098006349034,0.3381434840043256,0.2813836157737143,0.2848472250840657,0.26730640964179364,0.37966140620557487,0.2001101502563677,0.39403786125923845,0.2801258636965116,0.41295461369123787,0.2971665362532814,0.3776183153469006,0.4117727213055449
crab,0.3708801035347805,0.35660067400146134,0.2766590043914293,0.2988503685081956,0.3008814123882302,1.0,0.3496457691673458,0.44569031422923566,0.30032986532646744,0.39885704041595593,0.4684099727664963,0.25927345331591567,0.37472669380710955,0.3941643268268147,0.40691636077142457,0.6546572048390555,0.35633401794892816,0.22540431728313282,0.4125789984279422,0.30054904734958976,0.14623061027373174,0.26345853439115796,0.3476124731316965,0.31071556311856574,0.44736736054879,0.4095634339301787,0.40783260450524383,0.30897441727230435,0.3693809982994969,0.3615641871622395,0.25579571166709214,0.3777108132262491,0.2953352051000022,0.21936848285305766,0.24810768353613888,0.27296205103696425,0.318775467908629,0.19657027049986797,0.27510396622718125,0.282545647583649,0.3086478703468314,0.26177791524100535,0.27156208922037073
dinosaur,0.4550508428682294,0.379937312312729,0.31858723746616635,0.32016041178106003,0.36483114020187335,0.3496457691673458,1.0,0.42962004678136834,0.3484102080461464,0.32017436839448654,0.3133721190904937,0.2844756358459737,0.31730969593264835,0.30767909565401963,0.564463288106347,0.35575788018350607,0.3332071477609706,0.3609622536073893,0.33864213731936055,0.43114319882047303,0.33095743246796494,0.32927045052354575,0.38607812046902157,0.2965266300386614,0.2538432594904092,0.33391972129388636,0.3913532683275347,0.21687424578838232,0.3347811554757818,0.36366166203809125,0.31817143354739996,0.37175402585126416,0.27583327379016054,0.11674519051752208,0.37982541619177546,0.3628928442140271,0.2789452880215435,0.30046382350376755,0.29675048007462923,0.2893060941962522,0.3148940287475519,0.3156749729472408,0.34840892965363657
dragon,0.314259125246945,0.313541872992657,0.3626357345620257,0.3678839586928344,0.4136540512029764,0.44569031422923566,0.42962004678136834,1.0,0.3189387734373006,0.36469065381501153,0.3933621602108135,0.4026486614375213,0.37861511015968907,0.2788797764283102,0.5173646937725522,0.24421450353760443,0.3009014200850486,0.3185928794167132,0.36542073461663493,0.30865660612138546,0.35457231283913004,0.3680803279457556,0.3856484664764819,0.430324588758091,0.4528698887951885,0.36718635677362255,0.4591629517221423,0.25057318194690836,0.4795942014140562,0.38395995200104494,0.3189617437242769,0.42552683044616246,0.31669246182509503,0.2272210127965103,0.4647484703924164,0.3970125095755779,0.24817339577339803,0.33770802943695966,0.27000329258968137,0.29795651582397853,0.17969157592331508,0.34556954956539154,0.3466637072510097
duck,0.42588595473649704,0.23781402286308562,0.31787187619458557,0.29000926621017675,0.41281314582039985,0.30032986532646744,0.3484102080461464,0.3189387734373006,1.0,0.336540761215945,0.3986661750049656,0.3698567166648352,0.41659892825554423,0.2210371567664151,0.30760306801844717,0.3266893378330923,0.2898451819091252,0.32688412306824177,0.2887243849272949,0.3498870716396676,0.317215326299774,0.3763503996811499,0.3481098484521111,0.39391914143099704,0.23624695432452048,0.1778865037372912,0.38711703896058824,0.300406405824869,0.35627669198590317,0.3716694616354339,0.3071826815784855,0.3616251898547762,0.23162090467809016,0.2443553336698615,0.279275486935188,0.2850405409308614,0.2733493962325886,0.30806467370599244,0.20929623352829996,0.39677989335853825,0.3305236712427979,0.48561647302037825,0.4328686871849523
eel,0.49330633516113265,0.26407431463264663,0.29955858453047535,0.3420836047875523,0.19337747782101977,0.39885704041595593,0.32017436839448654,0.36469065381501153,0.336540761215945,1.0,0.5182415361887451,0.22291489236011275,0.4073521888319762,0.547402321530795,0.3132669483577828,0.4341625326702119,0.3124896796264074,0.3612623144089424,0.5864079073722412,0.4489919277326282,0.34994515443116336,0.40741792527997656,0.28066698895767783,0.2816595204310821,0.36275390028103227,0.4941622738460374,0.4784995702241359,0.39542340205786664,0.43112052337924656,0.33386698860447483,0.2370799645817856,0.35816063360556216,0.38515172800624986,0.19983583728162013,0.37912109950076445,0.3144517824811378,0.33618784078666797,0.2805038898541927,0.2600638503821673,0.24445132737906494,0.4275984547548374,0.3860783579775825,0.3317657292290961
