office supplies,box,calculator,calendar,CD,cell phone,chalk,clock,computer,envelope,eraser,fan,highlighter,keyboard,magazines,marker,newspaper,notebook,package,paper,paperclip,pen,pencil,printer,rubber bands,scissors,stamp,staple remover,stapler,staples,typewriter
-0.017391376,-0.07080655,0.001642038,-0.031238444,-0.05393616,-0.04997762,0.035769604,-0.050159022,-0.06625914,-0.05055801,-0.04672781,0.008988859,0.007969201,-0.035120018,-0.03443833,-0.003126698,-0.009543742,-0.051016834,-0.07548356,-0.07324566,-0.022429582,-0.016663637,-0.016543614,0.020295456,0.02141303,-0.0365842,-0.042023677,0.001344012,0.022728983,-0.058221057,-0.033241525
0.048987973,0.004479069,-0.09002999,-0.06988322,-0.03226931,0.0136018,0.031986695,-0.049768638,-0.013286842,-0.031911172,-0.010291852,0.027285585,0.059392612,0.022413922,0.031358283,0.054987997,0.01876432,0.015778972,-0.035454564,-0.008761253,0.010548429,-0.01364967,-0.047477223,0.002695399,-0.014264965,-0.055427004,-0.004927265,0.019546289,0.027455041,0.014885517,-0.004062488
0.057608794,-0.013592443,-0.012668664,0.022833114,0.08115201,0.001149121,0.05260815,-0.029525226,-0.009870391,0.001994518,0.048381552,0.023499046,0.076938726,0.032490738,0.06368008,0.003163929,-0.02744922,0.016175013,-0.0177798,0.06620427,0.036405664,0.078993365,0.07948832,-0.04623816,0.080081925,0.058644157,-0.013220782,0.0580026,0.049314316,0.0856566,-0.049052507
0.038944863,0.06144179,0.037863784,0.026499433,0.0712686,0.036122844,-0.02546383,0.04220213,0.043203462,0.055634476,-0.023551367,0.017207585,-0.021615764,0.06446748,-0.0434305,-0.027264634,0.013019296,0.032367535,0.062121466,0.03304466,0.025526166,0.03758277,0.048585456,0.047388062,0.027373804,0.06371634,0.014333581,0.05334722,0.055455554,0.042814165,-0.006070193
0.051432952,-0.052721463,-0.022828963,-0.07151922,-0.050809097,-0.047577348,-0.023524465,-0.028114924,-0.05659333,0.040626623,0.019438917,0.032269757,-0.036211684,-0.01900599,-0.07302612,-0.030743862,-0.07517745,-0.059412114,-0.028994199,-0.03928933,0.003896592,0.05314496,0.060012676,-0.042667802,-0.025428707,0.031880286,0.02583155,0.062600784,0.05982188,0.008548581,0.019036334
0.061138827,-0.04104794,-0.07371212,0.03266542,-0.009512658,0.012079032,0.052715782,-0.056746308,0.049883466,-0.05382494,0.041264616,-0.052985903,-0.035211727,0.05763794,-0.034262408,0.012692105,0.05462204,0.06395922,-0.002104949,0.002867882,-0.01854177,0.06525266,0.062193792,-0.01689792,0.02444389,-0.030017816,0.047314953,-0.029907266,-0.011675185,-0.015860058,0.06104192
0.05882104,-0.020956213,-0.0765401,-0.056941196,-0.019619133,0.08239299,0.015144766,-0.014167595,0.011037255,0.030071639,0.050023623,-0.003518214,0.008258788,0.021391664,0.04241109,-0.005124113,-0.004451056,-0.01456569,-0.004321614,0.03977589,0.056456096,-0.000462382,0.040901493,0.02641148,0.04919767,0.04191697,0.028428506,0.07483452,0.052311175,0.081540175,0.027645877
-0.001684808,0.05604902,0.028646883,0.026464552,-0.05105051,0.012939587,-0.020616613,0.06184697,-0.010959715,0.020351075,-0.023735022,-0.07345344,0.021202248,-0.027102228,0.042395424,0.017080402,0.027554618,0.055398192,0.046155255,0.040199608,0.06444145,-0.024865868,0.029066086,-0.02515583,-0.016755532,0.011644527,0.03706309,0.029874071,0.046752308,0.020805258,-0.009005737
-0.008670157,0.001693445,0.011281926,0.059272856,0.0446771,0.05306712,-0.027039757,0.012805001,0.07415034,0.06860351,-0.043390203,0.04783565,-0.010475124,0.04410852,-0.07628715,-0.012213455,0.044542436,-0.06379724,0.010278033,0.034944206,-0.022025388,0.008799749,0.044626538,0.066232234,-0.07567292,-0.023117468,0.03600724,-0.036279105,0.002967174,-0.0532299,0.010921285
-0.079026535,-0.05353836,0.06417139,-0.045552418,-0.037885748,-0.029502444,0.066354595,0.025416309,0.027088372,-0.066580236,0.08278931,0.050236065,0.044609208,0.001202418,-0.006566655,0.026474098,-0.003984988,0.006526586,-0.08010604,-0.011822934,0.060746796,0.05386316,0.06081927,-0.03917876,0.034632593,0.061718557,-0.037046596,0.044451404,-0.025902197,-0.05406696,0.023757894
0.016335094,-0.008183197,0.021968415,-0.003373773,0.02381506,-0.013758779,-0.022072803,0.012179616,0.05455177,-0.059202485,-0.010449303,0.009994129,-0.057605572,-0.013002455,0.004732583,0.011028113,0.018179309,-0.009101042,-0.039081655,-0.009160103,-0.044559807,0.005250879,0.012500391,0.013471824,0.047524627,0.00256095,-0.015258488,-0.033550177,0.023915146,-0.003284478,-0.046922345
-0.015743088,-0.021089746,-0.06661668,-0.05525365,-0.043505494,-0.010304512,-0.024573412,-0.049506556,-0.039561246,-0.08034741,-0.071914874,-0.014396418,0.008382733,-0.06705507,-0.046387836,0.00373432,0.012323614,-0.028404953,-0.09144328,-0.051713664,-0.053356763,-0.041317195,-0.054272376,0.013305409,-0.028843593,-0.030628629,-0.06254695,-0.007985388,-0.032821074,-0.03164596,-0.004592309
-0.005415252,-0.058418307,-0.0669917,-0.055962764,-0.002727214,0.028357755,-0.014322441,0.016534612,-0.029876813,0.03987525,0.060884163,0.057475585,-0.030535305,0.024848524,-0.039204538,-0.002455748,-0.05831495,-0.032093175,-0.00436454,0.04642452,-0.02021384,0.054985378,0.055669874,0.034380645,0.052676763,0.004034342,0.06905321,-0.01636755,0.052061897,-0.058663364,0.04390261
-0.016935408,-0.010391746,-9.04E-05,0.05128449,-0.041564092,-0.020075126,-0.05068681,-0.024209702,-0.000999614,0.05415589,0.012250535,0.04318893,-0.001132533,-0.022782827,-0.057497267,-0.016330551,-0.04870628,0.01689035,0.014159936,-0.03526322,-0.02611275,-0.023357838,0.013589878,-0.016015088,-0.061967038,-0.06786227,0.03924769,-0.05557682,-0.032558315,-0.06794302,0.049012214
0.044763487,-0.02023421,-0.0012937,-0.041849196,0.013315503,0.058525164,-0.006362724,0.041601527,0.055774257,0.003985944,-0.021601757,0.040640473,-0.07022698,-0.005250352,-0.06103369,0.019883426,0.0465031,-0.01704373,-0.05135034,0.062704474,0.034308795,0.04459807,0.064726174,0.014944557,0.056425083,0.06322042,0.06529769,0.05747114,0.032577682,0.012735052,0.043481197
-0.06971419,0.050359167,0.013321174,0.006544838,0.071896255,0.016106043,-0.031646755,-0.030261226,0.044295024,-0.009350786,0.005716086,0.013848965,0.04826981,0.053806998,0.01493572,0.041960914,-0.03160925,-0.006775857,0.058556523,-0.027181437,0.011414258,-0.010147424,-0.010728163,0.071884595,-0.023731176,0.007644733,0.02017884,0.049649943,-0.05934979,0.011614068,-0.020825336
