,box,calculator,calendar,CD,cell phone,chalk,clock,computer,envelope,eraser,fan,highlighter,keyboard,magazines,marker,newspaper,notebook,package,paper,paperclip,pen,pencil,printer,rubber bands,scissors,stamp,staple remover,stapler,staples,typewriter
box,1.0,0.2706532882300259,0.3895751363529594,0.2980503864926587,0.2665689139876397,0.26394370537864376,0.395642623941453,0.4031211944686166,0.4864383278738518,0.22856225384283524,0.28619705265778794,0.2542557212838905,0.400447527256264,0.21558672233866405,0.28944265039563577,0.3958615036760428,0.3283276198408811,0.607565751891093,0.4321666191782555,0.2160930926712723,0.32959777423827785,0.23613866363007785,0.2717006953274267,0.17570711144452034,0.2498413613389714,0.3565490819392554,0.13311978343106556,0.2687467350668944,0.24582544812082274,0.24548074765037264
calculator,0.2706532882300259,0.9999999999999999,0.3887197359406883,0.3054970709309315,0.30080655726901206,0.26029753108252685,0.3185747698660466,0.3992141376579026,0.19628369488916753,0.28450745207131534,0.15761954923374133,0.21390933956806502,0.35923369674536965,0.24283522675604385,0.3262782408588578,0.24763591110897132,0.30176163979732373,0.18798246083898207,0.29492474249882883,0.2692750082542137,0.310856787066491,0.3682621145160231,0.36682734161154085,0.283683433766873,0.28745340360915794,0.29713513011287673,0.24379565728528751,0.29107343332534374,0.2859533601086752,0.32637518209297156
calendar,0.3895751363529594,0.3887197359406883,1.0,0.2036883995254336,0.28815897873511265,0.230517569588927,0.5032217380443059,0.3945829841858115,0.19792577328296457,0.160027240534944,0.1885478442088464,0.22335013036123819,0.36376336009541577,0.31363814632575304,0.30990094553054903,0.43089187690778996,0.3687202709891554,0.40538028063590326,0.3622634020932315,0.11321030725060521,0.22646840594477202,0.3189358235773847,0.3522699702355785,0.15829853044361897,0.13946301421938412,0.34788637981194537,0.09245588510795533,0.24841861208631777,0.21162455364354382,0.2223172714267566
CD,0.2980503864926587,0.3054970709309315,0.2036883995254336,1.0,0.3215295485035561,0.24648508199972896,0.1862445122841644,0.3976087528933303,0.22705711708712584,0.27960939272794993,0.3119869806915303,0.2530733235387006,0.2864113881945374,0.3064414823072409,0.26265519771315815,0.3037049364305553,0.28027099400095157,0.3238085040369433,0.38570218783394483,0.3007780735852186,0.31821851403360424,0.24852119595740096,0.383305875707896,0.23060011266725966,0.20137966336909852,0.22695980488472023,0.14736734739727742,0.20621637912234037,0.1752839899911327,0.1836261228486662
cell phone,0.2665689139876397,0.30080655726901206,0.28815897873511265,0.3215295485035561,0.9999999999999999,0.26481901319460066,0.34638471633962986,0.49942146952384636,0.3331111225256693,0.3501572280313995,0.2783151276712379,0.276860056637692,0.40192276601661625,0.40024448837459037,0.3284951164385075,0.3151886527461085,0.4561319195241844,0.3132353482381012,0.4161763911486427,0.29702737236127974,0.3568044674220736,0.4034396400613942,0.3770769880211967,0.291475547282662,0.39939970494646126,0.2868800528617743,0.2563682809615023,0.34912186354821895,0.3390313691514817,0.3704322572459391
chalk,0.26394370537864376,0.26029753108252685,0.230517569588927,0.24648508199972896,0.26481901319460066,0.9999999999999998,0.23640220812315615,0.21060105397756235,0.3075258290512308,0.5419599877401747,0.27181922194181163,0.40302891122818174,0.26023725566550904,0.2481866434634672,0.44060781896448287,0.3363432941833113,0.21010025589711312,0.22991271141607517,0.3910532728403061,0.28366894152616684,0.37247629799285586,0.4597148421504431,0.32234534247854163,0.30114709197438416,0.2743816285264893,0.37758848623725394,0.3247317944301429,0.3505787418401505,0.3777961742607654,0.23294734654380556
clock,0.395642623941453,0.3185747698660466,0.5032217380443059,0.1862445122841644,0.34638471633962986,0.23640220812315615,1.0,0.37234836785130143,0.28855302084052126,0.2716011923969597,0.26430844500252104,0.189916791524396,0.38667441729617824,0.2637240455775375,0.262329306637618,0.332351207329046,0.2144734709617564,0.2942771398307069,0.2894957162638444,0.19201526257767498,0.3331768156178634,0.3139229204229389,0.36745134584606554,0.16945887612892985,0.26105247182117597,0.4302256756235988,0.10226396734410781,0.27349849464621445,0.21010028661971036,0.32543696697148916
computer,0.4031211944686166,0.3992141376579026,0.3945829841858115,0.3976087528933303,0.49942146952384636,0.21060105397756235,0.37234836785130143,1.0,0.26834013625601316,0.261019796536764,0.3832222848983622,0.18054915095486934,0.562811954501373,0.28370377032117244,0.24049679353610787,0.3615692693152244,0.4426144114965468,0.38091615950740254,0.42324552075986666,0.2225722351866236,0.27905960949671205,0.3564985937541443,0.5340465477239782,0.14044898051154964,0.2989447748494083,0.2903426704401859,0.16966437195636164,0.23318209521484,0.34153455080880535,0.385746935868049
envelope,0.4864383278738518,0.19628369488916753,0.19792577328296457,0.22705711708712584,0.3331111225256693,0.3075258290512308,0.28855302084052126,0.26834013625601316,1.0,0.2892220047896894,0.2477073248063264,0.3534209869280025,0.2970230305831627,0.2776344454231495,0.3543375962902737,0.3046476307007999,0.28198967846281575,0.5089857525787628,0.42054900890186087,0.3579281102557055,0.39405151723039844,0.2924520879650857,0.3410028055210582,0.24746836074829104,0.3106708768029981,0.5354584951457924,0.24601718316760357,0.40063776645396443,0.27807689150667303,0.3312762930997113
eraser,0.22856225384283524,0.28450745207131534,0.160027240534944,0.27960939272794993,0.3501572280313995,0.5419599877401747,0.2716011923969597,0.261019796536764,0.2892220047896894,1.0,0.21339164837192204,0.3626682474840719,0.30041256172596587,0.2558239304692014,0.5471135035108932,0.28557622717396813,0.32680063992766306,0.23296123415683412,0.3902823766686643,0.3610335754098599,0.5436085106969657,0.5666551719531903,0.2877705333458258,0.4087082888924377,0.4405533149499574,0.4158281993567261,0.3938384169534538,0.4513055613693493,0.43086143229677876,0.3887887056938355
