parts of buildings,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
-0.025544878,-0.025049124,-0.05703666,0.001572077,-0.025524598,-0.041439384,-0.011972401,0.03855806,-0.04804813,-0.025826989,-0.00428699,-0.04931431,-0.06040956,-0.054659314,-0.07501907,0.003218053,-0.038662225,-0.017115708,-0.033384886,-0.05286772,-0.004346967,-0.060126316,-0.032262422,-0.011330326,-0.0350604
0.04718327,0.056637477,0.07383986,0.021959424,0.06392976,0.04934867,0.041470133,0.055643,0.020127343,-0.027779138,0.003262065,0.066297516,0.021090327,-0.031694613,0.0217257,0.014948679,0.014605004,0.06303058,0.04864761,0.019373992,0.005478379,0.023466669,0.014713493,0.06325415,0.021693503
0.031422876,0.015726233,-0.05269065,-0.061712895,-0.029256795,0.06425726,0.04558792,0.04269127,-0.04660416,-0.006161655,0.04020854,0.007442641,-0.001887552,0.015237059,0.008116998,-0.023679707,-0.05982362,0.021420378,0.045925815,-0.011424187,-0.021456487,-0.036920417,0.008521003,0.07606289,0.023802806
-0.045727506,0.017235573,0.042422984,0.069626644,0.024721414,0.054261614,0.015381229,0.016166445,0.039639566,0.054644432,0.04229197,0.022189615,0.05793303,-0.02266706,4.65E-05,0.04621332,0.018216157,0.06325773,0.006720847,0.0708323,0.046256483,0.04125676,0.06761529,0.03373297,0.02874971
-0.05879577,-0.061376486,0.015463063,-0.011978586,-0.04681536,-0.067112945,-0.026529586,-0.035270765,-0.014676842,0.024072137,-0.030246941,0.021156298,0.000938006,-0.034529295,-0.003291703,0.04187584,-0.03633436,-0.06277783,0.080554545,0.041990962,0.017146606,-0.017195188,-0.035685446,0.011575554,-0.015215805
-0.044995356,-0.04459756,0.07796026,-0.037073262,-0.009892469,-0.027222643,-0.066268876,0.000752366,0.019070432,0.07030893,0.056576867,-0.030982468,0.046734374,0.004383714,0.075460844,-0.06866007,0.033635695,0.00547995,0.053846177,0.028598497,0.010001204,0.006326253,0.01709477,-0.082974315,-0.051744442
-0.014083204,0.032079633,0.018382397,0.035105884,0.009872124,0.06649632,-0.001365958,-0.062672585,-0.013733225,-0.0181125,0.035466306,0.0283164,-0.045477867,-0.01990634,0.007516849,-0.007437761,0.030703112,0.07848561,0.04252008,0.027039163,-0.038343754,0.06809532,-0.006831317,0.019394731,-0.032214545
0.023504835,-0.015912546,0.006685475,-0.04038465,-0.013317931,-0.021164535,0.01669847,-0.008466003,-0.010617333,0.01946122,0.003520283,0.040163174,-0.008322661,-0.059931606,-0.006501822,-0.024816284,0.015945796,0.022219026,-0.026308151,0.013883022,0.011364483,-0.017235575,-0.001058122,-0.01551902,0.05221935
-0.08978405,-0.054213133,0.029940411,-0.031164885,-0.091597274,-0.006270367,0.021898542,-0.076942466,0.02780585,0.03595654,-0.039976627,0.02953572,-0.019588279,0.008122209,0.007626467,0.010482649,0.0300851,-0.022154918,0.029182352,-0.003818174,0.07398939,0.021628603,0.033798743,0.00467419,0.04585634
-0.06330833,-0.008515276,0.005756834,0.050628576,-0.05937423,-0.000100687,-0.000365904,0.02957929,0.020200586,0.022276,-0.001655163,0.02182966,0.012229438,-0.063589156,-0.024872381,0.066311285,-0.053380203,-0.004121655,0.02833833,0.048134856,0.039743803,-0.00352879,0.018273091,0.034756813,0.00194735
