Places and Buildings,africa,airport,australia,bakery,bar,barn,cabin,castle,church,city,eiffel tower,house,hut,igloo,italy,library,lighthouse,pyramid,restaurant,stadium,tent,tepee,texas,windmill
-0.08423662,-0.055877212,-0.031754516,-0.05675725,-0.028916784,-0.051315576,0.024390133,-0.06525189,-0.051413152,-0.026272027,-0.0731312,0.04492452,-0.044874124,-0.010363688,0.016229637,-0.042906947,-0.056971565,-0.011707128,-0.033514716,-0.04886546,0.0075376006,-0.028545175,-0.00086512696,-0.0669488,0.054588247
0.06510801,-0.02611166,0.06430889,-0.064565405,0.026253996,0.021455139,0.047489904,0.05878642,0.009626541,0.023141786,-0.05199877,-0.024984783,-0.011753204,0.014173665,-0.018173354,-0.023524439,0.056050647,0.012700849,-0.026386805,0.065454036,0.055467993,0.012738656,0.0027491716,-0.03616402,0.016458735
0.004083535,0.06460092,0.0061863633,0.0020925056,-0.02320036,0.0020735955,-0.02311264,0.024670908,-0.019466195,0.0035533994,0.037125606,0.07701551,-0.01836924,-0.04438064,-0.05702874,0.03345454,0.07339971,0.04171406,-0.03760854,0.016555293,-0.06824647,0.06585683,0.049182404,0.018327316,0.041060008
-0.032844827,0.018745724,0.074200235,0.0010397664,0.042909063,0.05499269,-0.0033808607,0.017248044,-0.004594742,-0.0038307041,0.023439586,0.013566529,-0.014930057,0.035011407,0.021932233,0.0059575494,0.013831092,-0.014230199,0.022116829,-0.0018857056,0.04199614,0.026361777,0.05072171,-0.02607526,0.033699445
-0.020338017,-0.056833494,-0.008304138,-0.05482816,-0.017968541,-0.02870213,0.02693467,0.011429887,0.00027455692,-0.033648506,-0.031851526,-0.010854782,-0.018492632,-0.026892755,0.017774407,-0.049611825,-0.04964603,0.0660385,0.022639375,-0.04800206,-0.0067798784,0.032871135,-0.016140828,-0.05696163,-0.010906317
0.006730487,0.055991467,-0.033881113,-0.029506672,0.04945042,-0.015913658,-0.009227391,-0.068432,0.08343932,0.069768645,0.048013,-0.069500595,0.02967414,0.03227211,0.03191629,0.06129827,0.03212751,-0.07220641,-0.061428398,0.0006521243,-0.010028235,0.05865893,0.02710607,0.019490294,0.07682272
-0.019485919,0.073174335,-0.05414637,0.0066005043,-0.058030795,0.04747264,0.012702489,0.07477721,-0.053621516,0.056824423,-0.048122074,0.015942138,0.045740373,0.026990209,-0.014236754,0.023920488,0.046282686,0.0543155,0.049927425,-0.0011091065,0.04128276,0.043339636,0.020286182,-0.0063466723,-0.005429126
0.010277212,-0.00782028,-0.03020091,-0.056042477,-0.029792566,-0.0015017532,-0.047331944,-0.033475462,0.0020379077,0.009963934,-0.062389974,-0.046692934,-0.056130867,0.00044842274,-0.0015621673,-0.052415583,0.05169137,-0.02189885,0.059340175,-0.036304332,-0.017956253,-0.021916574,-0.077006154,-0.049167473,0.011187503
-0.083744906,-0.02045744,0.028431576,0.0150845675,-0.03617281,0.0013926913,-0.024010578,0.039775643,-0.016248558,-0.018025242,-0.031913754,0.008802141,0.017658131,-0.032666583,-0.044006333,-0.023459759,-0.051048048,0.0067038066,-0.0334933,0.009066342,0.0485679,0.044854447,0.06785208,0.012246546,0.0022381404
-0.025214843,0.025912594,-0.058650624,-0.01829172,-0.07629534,-0.06940143,-0.015018346,-0.05345526,-0.02735724,-0.060445238,-0.01215268,0.026640624,-0.010528718,-0.03749127,0.05304742,-0.0047670365,-0.06749032,-0.025243938,0.019960083,-0.03689687,-0.064389884,-0.017188564,0.033736844,-0.033656042,0.037269063
