,africa,airport,australia,bakery,bar,barn,cabin,castle,church,city,eiffel tower,house,hut,igloo,italy,library,lighthouse,pyramid,restaurant,stadium,tent,tepee,texas,windmill
africa,1.0,0.23605435616298331,0.5037873638976097,0.1288234357341963,0.14738374596480464,0.23384632548634654,0.2238233958446243,0.17431954775660774,0.3851298776924168,0.3357899458843342,0.20143437556952282,0.2626477734844772,0.31544869266100917,0.24349055630571925,0.39940322395203176,0.35005568683027377,0.13435628360365315,0.26594762872501687,0.3126744830773429,0.2470702177797992,0.2725803842714911,0.33114176768099,0.36230417375525703,0.14063507603943515
airport,0.23605435616298331,0.9999999999999999,0.28869195679011184,0.270621771724078,0.3754681218471576,0.2490596376672276,0.38272930168017427,0.222110834766865,0.36558749734102636,0.34640030437948477,0.33513404098205224,0.2785774664068872,0.3086193208351242,0.20035098861715017,0.2832361664089482,0.39566468949273126,0.19545900110987224,0.17317159586482556,0.3654217049264872,0.35702558882817326,0.20354028837869953,0.34014446475879256,0.18612610645316496,0.30601464569488246
australia,0.5037873638976097,0.28869195679011184,0.9999999999999998,0.13847993256783908,0.17010588253350845,0.15947402929899546,0.19505753325668196,0.2854825263411246,0.23195557022297386,0.3500707757366488,0.21429397028316566,0.3273594953286769,0.1799965003762457,0.159369405926161,0.42603696807200975,0.2576572353072535,0.22458664900442038,0.12264544495015928,0.3110409345593024,0.21294370163009968,0.1753075675772986,0.2771760108367134,0.5337036071989825,0.13982428228488308
bakery,0.1288234357341963,0.270621771724078,0.13847993256783908,1.0,0.29306967586173727,0.3227639750937049,0.22384005767898785,0.29086621997765405,0.2822173078251491,0.2747886662082768,0.21770124245928402,0.22872253495232175,0.3323794579980892,0.2404990219004468,0.2518756150411585,0.31401284540750507,0.22925665276373275,0.1537345531872123,0.37656195352861555,0.24017032282481032,0.1766110954112563,0.22394281181243503,0.1090022057763873,0.24432398959690005
bar,0.14738374596480464,0.3754681218471576,0.17010588253350845,0.29306967586173727,0.9999999999999999,0.29340276892163364,0.4313573684608395,0.2549274429272731,0.3844419161761017,0.3555994628788035,0.2017857931057052,0.32385146965189704,0.32173554039188823,0.23054590825946109,0.24461117840923163,0.3675729581558492,0.2785882928065109,0.20374178987015867,0.4634376151592545,0.2876186863757364,0.19749215200568115,0.31508613090236126,0.20147548343242117,0.19738502384623358
barn,0.23384632548634654,0.2490596376672276,0.15947402929899546,0.3227639750937049,0.29340276892163364,1.0,0.4284582017029359,0.3095297686125219,0.25976783040461304,0.23573911136748593,0.15041969604917327,0.30716883952351126,0.4578084529915659,0.292267071038367,0.18266529911778528,0.26198106421161804,0.2238287720093589,0.29661888957868054,0.3480080687811281,0.2995088212075252,0.3259295587994151,0.35234631024489804,0.2609839613082795,0.3320634008218404
cabin,0.2238233958446243,0.38272930168017427,0.19505753325668196,0.22384005767898785,0.4313573684608395,0.4284582017029359,1.0,0.28741352524896646,0.3397286017174961,0.2906683833033723,0.23162426245492362,0.4194164974757857,0.5035609334105632,0.3821997834858075,0.2390996227206782,0.300589525618546,0.4236073945109372,0.29935422895340624,0.2858579398965557,0.25486467700803983,0.44756172161811714,0.4906967835633924,0.26651170878751396,0.2674346447747378
castle,0.17431954775660774,0.222110834766865,0.2854825263411246,0.29086621997765405,0.2549274429272731,0.3095297686125219,0.28741352524896646,0.9999999999999998,0.3212422529415875,0.3987984308687724,0.328835436999966,0.46526778216258124,0.3576207769704257,0.2043903578975632,0.2857860119227156,0.3353368133352129,0.29799837697250753,0.2411125908925691,0.3305138527625193,0.31222940400335686,0.18902987579216568,0.29066318842443617,0.2437757308143933,0.28461665320125284
church,0.3851298776924168,0.36558749734102636,0.23195557022297386,0.2822173078251491,0.3844419161761017,0.25976783040461304,0.3397286017174961,0.3212422529415875,1.0,0.318086676084242,0.26032689151425925,0.3582428465264208,0.28555207936357063,0.20945054318430845,0.311169354253624,0.4840291944144204,0.2970962449964114,0.32042556944949585,0.39093382145193445,0.34715105632118304,0.20603824050149633,0.35478039255782146,0.2781471146656409,0.2605860869651494
city,0.3357899458843342,0.34640030437948477,0.3500707757366488,0.2747886662082768,0.3555994628788035,0.23573911136748593,0.2906683833033723,0.3987984308687724,0.318086676084242,1.0,0.22536732924407255,0.41038498002255863,0.3170476602528416,0.15193202118991223,0.29714704798775426,0.26929391858074647,0.16024925415891966,0.07356683417730747,0.40914213591362103,0.3595149537389005,0.1506853797366695,0.3066509580414918,0.35099306773422656,0.2426242315749252
eiffel tower,0.20143437556952282,0.33513404098205224,0.21429397028316566,0.21770124245928402,0.2017857931057052,0.15041969604917327,0.23162426245492362,0.328835436999966,0.26032689151425925,0.22536732924407255,1.0,0.15223330188883222,0.22608423949650214,0.38515230224830543,0.2954890641976433,0.23773522750404275,0.29386810251200113,0.2558047400138166,0.27371005157860484,0.24587518397683117,0.16519000447684662,0.29324289736093956,0.06635424037728321,0.39828184175095394
house,0.2626477734844772,0.2785774664068872,0.3273594953286769,0.22872253495232175,0.32385146965189704,0.30716883952351126,0.4194164974757857,0.46526778216258124,0.3582428465264208,0.41038498002255863,0.15223330188883222,1.0,0.337654218192863,0.16680226906680573,0.2525974052826916,0.25249352796475466,0.18731605933342,0.1991855636110127,0.3701244946513702,0.2952256095659014,0.1847447605388156,0.41376777505150375,0.33936048568081323,0.21843641003448422
hut,0.31544869266100917,0.3086193208351242,0.1799965003762457,0.3323794579980892,0.32173554039188823,0.4578084529915659,0.5035609334105632,0.3576207769704257,0.28555207936357063,0.3170476602528416,0.22608423949650214,0.337654218192863,0.9999999999999999,0.5100246886657739,0.2560933894296955,0.34574523469744367,0.314086077157548,0.3736787458282731,0.3291381121953406,0.3952078498216287,0.3467442152516238,0.39790338792341107,0.2082569393471415,0.3957010923418447
igloo,0.24349055630571925,0.20035098861715017,0.159369405926161,0.2404990219004468,0.23054590825946109,0.292267071038367,0.3821997834858075,0.2043903578975632,0.20945054318430845,0.15193202118991223,0.38515230224830543,0.16680226906680573,0.5100246886657739,1.0,0.1766121329386876,0.2827403526144193,0.3168634749441206,0.32380259697581404,0.12176222128815317,0.19417790723636164,0.32108124790795867,0.34420315184469064,0.12035692752406146,0.3396206857221613
italy,0.39940322395203176,0.2832361664089482,0.42603696807200975,0.2518756150411585,0.24461117840923163,0.18266529911778528,0.2390996227206782,0.2857860119227156,0.311169354253624,0.29714704798775426,0.2954890641976433,0.2525974052826916,0.2560933894296955,0.1766121329386876,1.0,0.2648423533999331,0.274568442256769,0.14495171931732742,0.3412357724207906,0.19878843054511863,0.13871369549987245,0.28080501968050764,0.2681364815718039,0.17009467450280202
library,0.35005568683027377,0.39566468949273126,0.2576572353072535,0.31401284540750507,0.3675729581558492,0.26198106421161804,0.300589525618546,0.3353368133352129,0.4840291944144204,0.26929391858074647,0.23773522750404275,0.25249352796475466,0.34574523469744367,0.2827403526144193,0.2648423533999331,0.9999999999999999,0.22705879704824294,0.30000571596015324,0.3145776762026684,0.3616906002167205,0.19230223126375112,0.28411287959900067,0.234994619598213,0.2616684986223159
lighthouse,0.13435628360365315,0.19545900110987224,0.22458664900442038,0.22925665276373275,0.2785882928065109,0.2238287720093589,0.4236073945109372,0.29799837697250753,0.2970962449964114,0.16024925415891966,0.29386810251200113,0.18731605933342,0.314086077157548,0.3168634749441206,0.274568442256769,0.22705879704824294,0.9999999999999998,0.35386124165127975,0.22748266480453427,0.2784773259603398,0.3054522835329182,0.34087072571907584,0.034035612485613265,0.32552834406325426
pyramid,0.26594762872501687,0.17317159586482556,0.12264544495015928,0.1537345531872123,0.20374178987015867,0.29661888957868054,0.29935422895340624,0.2411125908925691,0.32042556944949585,0.07356683417730747,0.2558047400138166,0.1991855636110127,0.3736787458282731,0.32380259697581404,0.14495171931732742,0.30000571596015324,0.35386124165127975,1.0,0.1550275830089387,0.2668329485929706,0.25182346692045443,0.29606891833069104,0.13006218176397422,0.27134329827585124
restaurant,0.3126744830773429,0.3654217049264872,0.3110409345593024,0.37656195352861555,0.4634376151592545,0.3480080687811281,0.2858579398965557,0.3305138527625193,0.39093382145193445,0.40914213591362103,0.27371005157860484,0.3701244946513702,0.3291381121953406,0.12176222128815317,0.3412357724207906,0.3145776762026684,0.22748266480453427,0.1550275830089387,0.9999999999999998,0.3044592236400525,0.14969594774375972,0.34514497431108415,0.2567122011755698,0.20770153678430692
stadium,0.2470702177797992,0.35702558882817326,0.21294370163009968,0.24017032282481032,0.2876186863757364,0.2995088212075252,0.25486467700803983,0.31222940400335686,0.34715105632118304,0.3595149537389005,0.24587518397683117,0.2952256095659014,0.3952078498216287,0.19417790723636164,0.19878843054511863,0.3616906002167205,0.2784773259603398,0.2668329485929706,0.3044592236400525,1.0,0.3406684868146679,0.3053059969403171,0.3136096668694619,0.3391283290317171
tent,0.2725803842714911,0.20354028837869953,0.1753075675772986,0.1766110954112563,0.19749215200568115,0.3259295587994151,0.44756172161811714,0.18902987579216568,0.20603824050149633,0.1506853797366695,0.16519000447684662,0.1847447605388156,0.3467442152516238,0.32108124790795867,0.13871369549987245,0.19230223126375112,0.3054522835329182,0.25182346692045443,0.14969594774375972,0.3406684868146679,1.0,0.4584109081127108,0.21721217186832442,0.2973015558695491
tepee,0.33114176768099,0.34014446475879256,0.2771760108367134,0.22394281181243503,0.31508613090236126,0.35234631024489804,0.4906967835633924,0.29066318842443617,0.35478039255782146,0.3066509580414918,0.29324289736093956,0.41376777505150375,0.39790338792341107,0.34420315184469064,0.28080501968050764,0.28411287959900067,0.34087072571907584,0.29606891833069104,0.34514497431108415,0.3053059969403171,0.4584109081127108,1.0,0.3286530350008411,0.33588100809309074
texas,0.36230417375525703,0.18612610645316496,0.5337036071989825,0.1090022057763873,0.20147548343242117,0.2609839613082795,0.26651170878751396,0.2437757308143933,0.2781471146656409,0.35099306773422656,0.06635424037728321,0.33936048568081323,0.2082569393471415,0.12035692752406146,0.2681364815718039,0.234994619598213,0.034035612485613265,0.13006218176397422,0.2567122011755698,0.3136096668694619,0.21721217186832442,0.3286530350008411,0.9999999999999998,0.16575709500039082
windmill,0.14063507603943515,0.30601464569488246,0.13982428228488308,0.24432398959690005,0.19738502384623358,0.3320634008218404,0.2674346447747378,0.28461665320125284,0.2605860869651494,0.2426242315749252,0.39828184175095394,0.21843641003448422,0.3957010923418447,0.3396206857221613,0.17009467450280202,0.2616684986223159,0.32552834406325426,0.27134329827585124,0.20770153678430692,0.3391283290317171,0.2973015558695491,0.33588100809309074,0.16575709500039082,0.9999999999999998
