School & Office Supplies,book,box,calculator,chalk,chalkboard,computer,crayon,envelope,eraser,globe,highlighter,keyboard,locker,lunchbox,marker,microscope,newspaper,notebook,package,paper,paper clip,pen,pencil,printer,rubber bands,ruler,scissors,stamp,staple remover,stapler,staples,typewriter
0.044886198,-0.08205412,-0.07080657,0.0016420224,0.035769578,-0.0026561387,-0.06625912,-0.00020105382,-0.050557997,-0.04672781,-0.06117966,0.007969201,-0.035120007,-0.05596842,-0.014984071,-0.0031267027,-0.002201612,-0.00954376,-0.051016822,-0.07548353,-0.07324568,-0.02569769,-0.016663708,-0.016543554,0.020295458,0.021413013,-0.0027356164,-0.03658423,-0.042023707,0.0013440148,0.02272897,-0.058221042,-0.03324153
0.06260103,-0.030726766,0.0044790516,-0.09002999,0.031986695,0.067338295,-0.013286824,-0.022190254,-0.031911176,-0.010291852,-0.056852728,0.059392598,0.022413922,0.06814068,0.056264557,0.054988027,-0.011300951,0.018764347,0.015778994,-0.035454616,-0.008761239,0.030009605,-0.013649656,-0.047477253,0.0026954291,-0.0142649505,-0.061857585,-0.055427004,-0.0049272617,0.019546298,0.027455036,0.014885489,-0.004062483
0.052145682,0.08260664,-0.013592445,-0.012668614,0.05260817,-0.006436339,-0.009870356,0.080768034,0.0019945055,0.04838154,-0.047320705,0.07693872,0.032490745,-0.03178788,-0.0022550453,0.00316394,0.046192244,-0.027449239,0.016175032,-0.017779764,0.06620427,0.06680775,0.07899336,0.07948833,-0.046238177,0.080081925,0.027005948,0.05864417,-0.013220784,0.058002602,0.049314313,0.08565661,-0.049052525
0.067967944,0.04926013,0.061441768,0.0378638,-0.025463857,-0.012953847,0.043203473,0.036482487,0.055634476,-0.02355137,0.048835725,-0.021615723,0.06446748,0.036218423,0.04363286,-0.02726466,0.054069687,0.013019347,0.03236752,0.062121473,0.03304469,0.038146187,0.03758274,0.048585467,0.04738808,0.027373824,0.032860644,0.06371634,0.014333603,0.053347196,0.055455524,0.04281416,-0.006070199
-0.0067881965,0.0068949847,-0.0527215,-0.022828912,-0.023524469,-0.024348492,-0.05659339,-0.028877323,0.040626653,0.019438973,-0.059387103,-0.03621169,-0.0190061,-0.014581135,-0.043214362,-0.030743904,-0.0041238423,-0.07517748,-0.05941209,-0.028994147,-0.039289378,-0.021299686,0.05314496,0.0600127,-0.042667806,-0.02542873,0.04799693,0.031880304,0.025831532,0.062600784,0.059821922,0.008548676,0.01903631
0.08269399,0.04219547,-0.041047975,-0.07371213,0.052715797,0.060585186,0.049883496,0.05683078,-0.05382494,0.041264646,-0.004234554,-0.035211757,0.057637934,0.07441438,0.07677071,0.012692067,-0.016541343,0.054622043,0.063959226,-0.0021049813,0.0028678875,-0.011133966,0.06525264,0.062193815,-0.0168979,0.02444389,-0.011882402,-0.030017799,0.047314964,-0.029907282,-0.011675189,-0.015860042,0.06104192
0.06895346,0.043214854,-0.020956216,-0.0765401,0.015144794,0.017409407,0.0110372845,0.008973371,0.030071657,0.05002361,-0.024455143,0.00825881,0.021391671,0.06743859,-0.016668232,-0.0051242136,0.057465043,-0.00445112,-0.014565691,-0.0043216203,0.03977587,0.06132225,-0.00046235544,0.040901493,0.026411433,0.049197648,-0.031797096,0.041916966,0.028428508,0.07483453,0.05231115,0.081540175,0.027645938
0.03577119,-0.036398843,0.056048986,0.028646948,-0.020616619,0.04964426,-0.010959726,-0.008979919,0.020351095,-0.023735056,0.01859319,0.021202318,-0.027102256,0.04109479,0.028628863,0.017080396,0.044141434,0.027554596,0.055398196,0.046155248,0.04019959,0.08422991,-0.024865866,0.029066091,-0.025155837,-0.016755518,0.008363545,0.011644504,0.03706308,0.029874083,0.046752308,0.02080527,-0.009005741
-0.0192029,0.050244104,0.0016934007,0.011281906,-0.027039757,0.054111972,0.074150324,-0.00011895433,0.06860349,-0.043390177,-0.04093204,-0.010475075,0.044108514,-0.0043156827,-0.011078799,-0.012213425,-0.007432121,0.044542465,-0.063797235,0.010278076,0.034944184,0.050095025,0.008799783,0.044626553,0.06623224,-0.07567292,0.06613787,-0.023117486,0.036007248,-0.03627907,0.002967201,-0.053229902,0.010921248
-0.074231565,-0.0127135925,-0.05353835,0.064171396,0.06635458,0.06849295,0.027088394,0.076732464,-0.066580236,0.082789324,0.011210285,0.0446092,0.0012023681,-0.01208423,-0.03413809,0.026474103,0.026041988,-0.0039849584,0.0065265726,-0.08010603,-0.011822911,0.020395443,0.05386316,0.06081926,-0.039178718,0.03463261,0.014689706,0.061718535,-0.0370466,0.04445143,-0.025902191,-0.054066993,0.023757901
