,book,box,calculator,chalk,chalkboard,computer,crayon,envelope,eraser,globe,highlighter,keyboard,locker,lunchbox,marker,microscope,newspaper,notebook,package,paper,paper clip,pen,pencil,printer,rubber bands,ruler,scissors,stamp,staple remover,stapler,staples,typewriter
book,0.9999999999999999,0.33255625462114846,0.25831119777003053,0.277640863437958,0.3624990384695923,0.4271516236903439,0.2905015789816834,0.33463081677160644,0.3231107287704824,0.32883093452313483,0.31315722815107927,0.30978115751263124,0.3116338242811656,0.22351050572627074,0.34442346805619084,0.24508857291133357,0.45701545105733277,0.4481570744144193,0.4448749960716418,0.5192640431758715,0.34014751676958666,0.4096057903522434,0.36706617008907516,0.41768665583696096,0.18645659402005754,0.2813359976155344,0.28450193513078026,0.3818335410786926,0.17002939909460557,0.25742159908329,0.2937384104952365,0.22878724325748911
box,0.33255625462114846,0.9999999999999998,0.27065343513940365,0.26394374134220544,0.35142346494187804,0.4031211632911097,0.19995040306607148,0.4864383060833405,0.22856227853467237,0.3236706345245105,0.25425570484865223,0.40044754918691583,0.4051404675449324,0.4357831791358391,0.28944265182903783,0.22861188801872456,0.395861583494417,0.32832771799596894,0.6075657400548653,0.4321666271130904,0.3093325947154123,0.3295977770358428,0.23613865679157897,0.27170068816051973,0.175707167898715,0.3114193556652409,0.24984134623571885,0.3565491497401958,0.1331198028365076,0.2687466566238095,0.24582541403249247,0.24548072224727402
calculator,0.25831119777003053,0.27065343513940365,1.0,0.26029762200257656,0.296470091211418,0.39921414054233395,0.2583774805004597,0.19628377549547915,0.28450751777720895,0.17225101950849242,0.21390946629990082,0.3592337640081227,0.2644404975766895,0.20489348680191988,0.3262783395814248,0.3177555647169894,0.2476359682131477,0.30176171410176544,0.18798254628239564,0.2949249027686901,0.26175798038354614,0.3108568817930035,0.36826223533391456,0.3668273177355472,0.2836835357002785,0.2738843203362793,0.287453494224962,0.2971351765924559,0.24379579707296728,0.29107355678064883,0.2859534276453519,0.3263752174482957
chalk,0.277640863437958,0.26394374134220544,0.26029762200257656,1.0,0.6447306610703543,0.21060107996221777,0.49279726482241903,0.3075258884462986,0.5419599598072258,0.23603759350781828,0.4030289240152599,0.2602372967104776,0.2715018409505796,0.24287415099521092,0.44060789670053135,0.3285690117594988,0.33634329099929805,0.2101003461987928,0.22991282465738205,0.39105335268554064,0.30959723008012374,0.37247633228984145,0.4597148585249088,0.32234533355861195,0.3011471551855296,0.2213608340132014,0.27438160726115535,0.37758859898649555,0.32473177817752097,0.3505786971139311,0.3777962595896569,0.23294737461541826
chalkboard,0.3624990384695923,0.35142346494187804,0.296470091211418,0.6447306610703543,1.0,0.36508893216960436,0.47604230914671497,0.34281455787612714,0.5442457272583171,0.341995730349026,0.2936687858097179,0.3987224031127953,0.38168893856939745,0.24906782277632922,0.4507768578715584,0.2997709953434817,0.464723117670401,0.3312161378450018,0.3221415790014577,0.4622100087503568,0.3485260081565891,0.40190425741959934,0.43082656909433414,0.37537151294279325,0.24059018540043142,0.2907691497180902,0.23248821307042933,0.41387571757148767,0.279392000248055,0.4070959934641407,0.4108745531523249,0.34668367519563437
computer,0.4271516236903439,0.4031211632911097,0.39921414054233395,0.21060107996221777,0.36508893216960436,0.9999999999999998,0.2598815630285515,0.268340067572603,0.26101979742629,0.33013149005128106,0.18054915043936381,0.5628119212126047,0.276698350974494,0.2052354853413525,0.24049674135835297,0.25871060206149,0.3615692736923233,0.44261446364850887,0.38091620360803424,0.42324552039154384,0.2711946794951383,0.2790595147664874,0.35649855337750813,0.5340464389399415,0.1404490049266569,0.2320398291961715,0.29894477138660136,0.2903426932805828,0.16966434870846991,0.2331819717677568,0.34153451980210314,0.38574687739114544
crayon,0.2905015789816834,0.19995040306607148,0.2583774805004597,0.49279726482241903,0.47604230914671497,0.2598815630285515,0.9999999999999998,0.3424478984814696,0.5913932681066599,0.2445015183142829,0.39347387738199946,0.3511276084487762,0.2953294914155561,0.2566688968515116,0.45231076603676335,0.33888413131123873,0.3153660922518292,0.33988609112115187,0.19610281615210912,0.4272981737532793,0.4184083218433714,0.6125438623381185,0.8105588153261687,0.289534752463533,0.30793059352285224,0.251093725151879,0.41489289884736524,0.3897777362398277,0.3375605349169719,0.3844285684904867,0.3953182242015679,0.37878140289530204
envelope,0.33463081677160644,0.4864383060833405,0.19628377549547915,0.3075258884462986,0.34281455787612714,0.268340067572603,0.3424478984814696,0.9999999999999999,0.2892220409970696,0.2810060545324605,0.3534210610952859,0.29702301202744386,0.3884397141497682,0.24301948751790492,0.3543376672046885,0.34675732518477154,0.30464772300237075,0.281989763924235,0.508985811846303,0.42054899914219246,0.3923197769831528,0.39405154057532465,0.29245217425649606,0.34100281380705777,0.24746841433918543,0.30589654119723153,0.3106709211479901,0.5354585654126585,0.24601727020850972,0.40063776225215464,0.2780769049519587,0.3312762694181348
eraser,0.3231107287704824,0.22856227853467237,0.28450751777720895,0.5419599598072258,0.5442457272583171,0.26101979742629,0.5913932681066599,0.2892220409970696,1.0,0.32509673371699355,0.3626681939616261,0.30041258681118976,0.41968114913833077,0.2410188027840603,0.547113503853418,0.3551816827700569,0.2855762059851885,0.32680069085214636,0.2329612801964951,0.39028236883702316,0.3594184653732482,0.5436084980751467,0.5666551525240286,0.2877705044372666,0.4087082975109708,0.27087707051435617,0.4405532981671215,0.4158282013795367,0.39383840102093526,0.4513055087986624,0.4308613660893832,0.3887887134668191
globe,0.32883093452313483,0.3236706345245105,0.17225101950849242,0.23603759350781828,0.341995730349026,0.33013149005128106,0.2445015183142829,0.2810060545324605,0.32509673371699355,0.9999999999999999,0.2100037055157643,0.3394879340199095,0.24088182709675798,0.1233203723117382,0.3049004252734333,0.347438244797017,0.34725527945541323,0.3301479408970047,0.3512531621274182,0.3523010415788571,0.2955656050712614,0.26271225915740004,0.3041637458323515,0.18542835714911277,0.24077952975450834,0.29791739037912435,0.254231391409528,0.3407114240907889,0.17636179003337826,0.2081783599772825,0.2626149153638676,0.14565128175576247
highlighter,0.31315722815107927,0.25425570484865223,0.21390946629990082,0.4030289240152599,0.2936687858097179,0.18054915043936381,0.39347387738199946,0.3534210610952859,0.3626681939616261,0.2100037055157643,1.0,0.2554682734931092,0.3007116718012539,0.22163660065418833,0.48330440176246237,0.36239666862769093,0.27727489868930455,0.3367269302624635,0.3338521157714882,0.36830179414742137,0.35978407830420267,0.330256926505339,0.38723555854246294,0.2604473344020469,0.26125582525502966,0.18931045789651835,0.3099707768613076,0.30774482733842023,0.323634836721298,0.3164595424301683,0.3275884528734174,0.27338340166844943
keyboard,0.30978115751263124,0.40044754918691583,0.3592337640081227,0.2602372967104776,0.3987224031127953,0.5628119212126047,0.3511276084487762,0.29702301202744386,0.30041258681118976,0.3394879340199095,0.2554682734931092,1.0,0.3089030471192413,0.24543613334894832,0.3702833019977154,0.27329504600598686,0.3442603436767422,0.39343504001410645,0.28235075872296034,0.33571834855259763,0.22657743406043784,0.41326400026779164,0.41140251269770745,0.3555339935523001,0.19395517032837184,0.3110628823309598,0.2533919739473016,0.38288647438550427,0.1574412804358304,0.24659455036089883,0.24791716208753767,0.531681031988046
locker,0.3116338242811656,0.4051404675449324,0.2644404975766895,0.2715018409505796,0.38168893856939745,0.276698350974494,0.2953294914155561,0.3884397141497682,0.41968114913833077,0.24088182709675798,0.3007116718012539,0.3089030471192413,1.0,0.48957904221781234,0.3753511623246155,0.3308862617035264,0.3808416246800297,0.3554774810451393,0.384099550524837,0.3669070877847169,0.3882247757010926,0.40614122650636575,0.3551256112259328,0.23641610913972677,0.2868096067231899,0.24146675340454693,0.30314518817570524,0.41482756825051137,0.27164056359615596,0.4118330661720331,0.37700773313488,0.3751879384177763
lunchbox,0.22351050572627074,0.4357831791358391,0.20489348680191988,0.24287415099521092,0.24906782277632922,0.2052354853413525,0.2566688968515116,0.24301948751790492,0.2410188027840603,0.1233203723117382,0.22163660065418833,0.24543613334894832,0.48957904221781234,0.9999999999999999,0.18950384860483527,0.25273879232440977,0.17829158248420285,0.21926877623742191,0.3248720348817601,0.17349913433556763,0.2601804336313812,0.2796983869211602,0.2508316842213427,0.15838871479062444,0.26703049378603505,0.22914274484129504,0.2278256199597677,0.15742014682055883,0.19873672972412937,0.3757952278135852,0.3185540753919318,0.22033901983079485
marker,0.34442346805619084,0.28944265182903783,0.3262783395814248,0.44060789670053135,0.4507768578715584,0.24049674135835297,0.45231076603676335,0.3543376672046885,0.547113503853418,0.3049004252734333,0.48330440176246237,0.3702833019977154,0.3753511623246155,0.18950384860483527,0.9999999999999998,0.35871874919297475,0.40068650876295786,0.36508190575877086,0.2806113319371514,0.40263199639790714,0.3368005724849208,0.5166443677418987,0.4784621242169973,0.3548098731443895,0.23794535325928035,0.3997438457334196,0.31217154700391836,0.48361993267217596,0.29089500912052046,0.38306217661944186,0.3329323537674156,0.33270059889575077
