Structure,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
-0.066804156,-0.014657095,0.021652121,-0.008173227,-0.024244802,-0.041439362,-0.011972377,6.4170265e-05,0.040185813,-0.048048113,-0.035060387,-0.0042870105,-0.010159784,-0.04054011,-0.0493143,-0.06761601,0.002529169,-0.060409527,-0.05465931,-0.038662195,-0.041749872,-0.040210366,-0.004749766,-0.017115725,-0.0114130955,-0.013044211,-0.031633236,-0.048717864,0.027177101,-0.021459278,-0.03226242
0.015311375,-0.0050580874,-0.039875586,0.07555828,-0.0042202966,0.04934868,0.041470125,0.059444286,0.017453063,0.02012734,0.02169352,0.0032621117,0.032926824,2.0470867e-05,0.06629752,0.05127608,0.060375944,0.021090342,-0.03169465,0.014604995,-0.0006260594,-0.000985137,-0.00596281,0.06303059,0.05187356,-0.0050027883,0.0031351903,0.018770441,-0.018339064,-0.06588402,0.014713463
0.042973176,0.007834243,0.052221656,0.066524625,-0.0016762773,0.06425724,0.045587927,-0.015495672,0.045496296,-0.04660416,0.023802795,0.04020854,0.026065424,-0.02666162,0.0074426434,0.03112653,0.07679629,-0.0018875441,0.015237082,-0.05982362,0.057896137,0.023215167,0.020769063,0.021420356,0.017798135,0.011052157,-0.023827018,-0.008218935,-0.010405681,0.047102842,0.008521039
0.070081875,0.027465751,-0.048532438,-0.0056648063,0.020666271,0.054261588,0.015381213,0.045377467,0.005709708,0.03963952,0.0287497,0.042291973,0.020457394,0.025538307,0.022189604,-0.0032733658,0.0038978416,0.05793301,-0.022667082,0.0182161,0.013252916,0.0059788837,0.04026727,0.06325773,0.006796075,0.047660567,0.010258986,0.028678577,0.016407833,0.001328462,0.06761525
-0.050934996,-0.050691795,0.015801856,-0.025455665,0.02258074,-0.06711291,-0.026529571,-0.030338015,0.048831362,-0.0146768745,-0.015215812,-0.030247,0.03754406,0.068230584,0.02115631,0.018583398,-0.013805298,0.0009380062,-0.034529302,-0.036334384,-0.04879838,0.044151716,-0.059125815,-0.062777855,-0.060131542,-0.030627502,-0.0629513,0.061965834,-0.046574462,0.069718845,-0.03568543
0.0004563218,0.074931756,0.04858785,0.046717726,-0.044580236,-0.027222624,-0.06626887,0.06210643,-0.024170052,0.0190704,-0.05174445,0.056576867,0.008664026,0.012966421,-0.03098248,-0.040105693,0.027132785,0.04673439,0.0043837023,0.0336357,-0.074701205,0.00496945,-0.0036709076,0.005479991,0.02342715,0.037783418,-0.0019185825,0.05455618,-0.07865242,0.037428543,0.017094735
-0.0057049273,-0.02731199,0.01877451,0.049780075,-0.024896938,0.06649632,-0.0013659857,0.038759578,-0.030891525,-0.013733271,-0.032214526,0.03546623,0.010466783,-0.036487516,0.02831639,-0.07232187,0.026364736,-0.045477867,-0.019906344,0.030703096,0.034838766,0.0047345133,0.04331283,0.0784856,0.020762684,-0.0904142,-0.0058401907,-0.060880136,-0.028266482,0.06086204,-0.00683131
0.01082835,-0.03573209,0.02208977,-0.024611086,0.050402083,-0.021164529,0.016698482,-0.019301485,0.030228041,-0.010617337,0.05221937,0.0035202522,0.01359764,0.073680565,0.040163178,-0.00162232,-0.016920239,-0.008322648,-0.059931602,0.015945747,0.039277174,-0.027818954,-0.039560203,0.022219041,0.044833943,-0.019701028,-0.019801568,-0.010995225,-0.0072108256,-0.061426196,-0.0010580979
0.012806474,0.052771892,-0.038515005,-0.050877746,0.005935017,-0.0062703993,0.021898521,-0.025707278,-0.0058501894,0.027805889,0.04585634,-0.039976656,0.038605835,0.013111278,0.02953577,0.06119093,0.010967433,-0.019588292,0.008122194,0.03008511,0.0071983887,0.014702573,-0.013318905,-0.022154914,-0.015713794,0.038202062,0.060966995,0.012779186,-0.0038776887,-0.034414485,0.03379873
-0.0031826464,0.07543033,0.05820926,0.010862058,0.03382923,-0.000100708035,-0.0003659036,-0.03685338,0.045154795,0.020200627,0.0019473116,-0.0016551908,0.008076548,-0.012349013,0.021829648,-0.04084976,-0.014431911,0.012229417,-0.06358918,-0.053380206,0.02066099,-0.021881195,0.02886424,-0.0041216617,-0.017514786,-0.06045361,0.007992447,-0.0005666826,0.01249777,0.0373114,0.018273085
-0.0024111432,0.08476421,0.06070338,-0.04802185,-0.018674344,0.0012607839,0.025811384,0.029302092,0.026175525,0.014549717,0.070407316,0.0469061,0.03520669,0.030218206,0.030092824,-0.024187302,0.03996638,0.031971976,0.046180237,0.015654586,0.0823954,0.007972676,0.051015373,-0.008520812,-0.0009703285,0.013709759,-0.007182321,0.062164236,0.026772784,0.028514836,0.008900534
-0.013130105,0.050001707,0.010125772,0.0657007,-0.08195377,0.061213925,-0.071224794,0.006846089,-0.060886897,-0.057754602,0.0027471608,0.06555777,-0.02972951,0.024153564,-0.054791495,-0.056044932,0.0499333,-0.008028567,0.02811049,-0.040468443,0.028948553,-0.04060272,-0.076264866,-0.015821429,0.04689259,-0.0882862,0.04614512,-0.0075496132,0.048467774,0.010467131,-0.06499208
-0.08462841,0.043713532,0.021568865,-0.039407432,-0.05226851,0.059865993,0.029814394,0.013158693,0.0324054,-0.00011027911,0.0043216343,0.00875634,0.064881824,0.05848542,0.021808142,0.0688464,-0.0016167262,-0.021931205,-0.026581855,0.05079937,0.059186656,-0.022497851,0.02787642,-0.044626746,-0.028380482,-0.0052233594,0.004885137,-0.07336989,0.009799646,-0.022467753,-0.038030714
-0.03439147,0.046713766,0.02099538,-0.017837187,0.022294564,-0.00084073975,-0.0402487,0.013684896,-0.04368561,-0.031482417,0.045841515,0.0058683883,-0.009544515,-0.020572804,-0.015745988,-0.05858445,-0.017223695,-0.012193179,-0.051142804,0.059858397,0.029935833,0.040478677,0.003256949,-0.06553265,-0.008474411,-0.057042003,0.06764158,0.054910924,-0.04659155,0.06970062,0.013753532
