,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
birdbath,1.0,0.48605481169540987,0.18996017561931444,0.3236296655372064,0.2509747739071482,0.30287154756481693,0.29378141925342127,0.1667836149052344,0.373744699816684,0.29219759747763097,0.34594457431875314,0.12041610702273842,0.32901966765846913,0.2454931500171743,0.22302413964017143,0.41203673221378756,0.2351908957579294,0.24351337120198058,0.34117254443179634,0.20519467148340698,0.3048178219943478,0.16288200270164865,0.2959404143038298,0.3482193718393187,0.2768718545676414,0.18910907798924437,0.23324038691332394,0.23958038726069164,0.11795773091526507,0.37712066261758714
birdhouse,0.48605481169540987,0.9999999999999998,0.18519289163550523,0.32317218056908925,0.17583447987176204,0.2724559905470345,0.2452302467874985,0.24103410340599807,0.25261986597837693,0.1446434143948323,0.27772659835681823,0.195056407909182,0.19906625894571128,0.23676346027566653,0.2156571581190886,0.1835691582406912,0.3170799623379934,0.17697463800446345,0.24946314836277927,0.167931948751456,0.22428245020869397,0.1651734644673959,0.29984511994846164,0.36937538460943964,0.12139052866903477,0.10149505137552806,0.23120755259204384,0.135532534167214,0.12895931116624504,0.2630064177399942
bleachers,0.18996017561931444,0.18519289163550523,1.0,0.311953331446299,0.28472699629172227,0.2015809412362093,0.31539080241203865,0.188579857190441,0.31582555300124593,0.3677841479578662,0.33649748007991476,0.28846728448545633,0.22121813489732223,0.27132780140501134,0.17924262171677752,0.33030976852181637,0.2924085495831673,0.3414315367426175,0.27752894555730134,0.34200996451909493,0.21308964531759345,0.3756330514885202,0.40088237690610473,0.4039448730817752,0.22021728469859359,0.3560110768867639,0.31111053233594643,0.23329333137984143,0.14005990571562743,0.224274622938069
bridge,0.3236296655372064,0.32317218056908925,0.311953331446299,1.0,0.21962808379323018,0.3192331862694068,0.19552215721150834,0.3351890345121129,0.46521530989811233,0.3644893766937132,0.45175488580013756,0.21074946047256105,0.28558224267744636,0.2936527445654942,0.32738767130359925,0.36921171937122566,0.2763139035364267,0.4314491072874964,0.3737779236210914,0.25092911321542444,0.4032254606215162,0.3282879431879506,0.3668957361434436,0.44088593208463944,0.3486577517764259,0.393592934512909,0.3498666929065397,0.4246105414024697,0.19705189336318019,0.38111214752689526
ceiling,0.2509747739071482,0.17583447987176204,0.28472699629172227,0.21962808379323018,1.0,0.36930085968904336,0.43605024203924236,0.061749413197845326,0.3955575151224191,0.3668550575674523,0.39031669873395813,0.28884584098987465,0.2847309572774477,0.38762319279243407,0.2805422105675486,0.2822485936904856,0.3700338324476934,0.33868518547763493,0.27394163731154864,0.24401731689948858,0.24370083404961895,0.23232597793342724,0.5309777855062777,0.3021686131202257,0.24091263753987113,0.326494619932137,0.2807252452216453,0.1925458946465476,0.18484220123517903,0.3877788676251146
chimney,0.30287154756481693,0.2724559905470345,0.2015809412362093,0.3192331862694068,0.36930085968904336,1.0,0.340519359969785,0.26563189077301186,0.4808210838281487,0.3397692828608132,0.36195334834947124,0.16108408739103475,0.40132335296751664,0.8361726941974169,0.33161788969394057,0.32307909801152646,0.30972196874283053,0.3453849217223144,0.401526923186608,0.26626309563519934,0.275001369329808,0.30034748187507654,0.48404402387385015,0.3191620998339162,0.3178216904825488,0.23134158379766356,0.22858082303632388,0.26661536169784417,0.11762154185031015,0.43405689835501593
closet,0.29378141925342127,0.2452302467874985,0.31539080241203865,0.19552215721150834,0.43605024203924236,0.340519359969785,0.9999999999999998,0.08546835968048783,0.4877369268601204,0.3204899840852028,0.33190893368769814,0.29520293431426725,0.26542124956001634,0.38717989235476025,0.3265339968692149,0.3585508923204064,0.5019573208669084,0.3599168055889057,0.3275315905421594,0.2663794462412732,0.3582808736394122,0.2906167860053932,0.40216452001467906,0.2605820969022441,0.27400161422757474,0.34169311977877614,0.355918631013288,0.1155155997218813,0.18024814550355917,0.37137477154032994
crosswalk,0.1667836149052344,0.24103410340599807,0.188579857190441,0.3351890345121129,0.061749413197845326,0.26563189077301186,0.08546835968048783,1.0,0.26656400216900433,0.26426097364846846,0.3494358141291609,0.21557742326407214,0.3637398722106213,0.2113088956530188,0.20388798941613373,0.25822654239240683,0.14194228567854017,0.21387321504919565,0.22474663221190028,0.3323846498564743,0.2826854780327641,0.23034549591404707,0.2105827592337144,0.5161806693111602,0.2677922791659101,0.19906035852414727,0.25710388295644393,0.2797232568602699,0.011273389950282708,0.230135625617802
door,0.373744699816684,0.25261986597837693,0.31582555300124593,0.46521530989811233,0.3955575151224191,0.4808210838281487,0.4877369268601204,0.26656400216900433,1.0,0.48105473122894504,0.4884852516102607,0.21652761566336298,0.35306920524333263,0.44611487289937446,0.29831355607975474,0.4021840841387031,0.3687938300056558,0.695879135084366,0.47535719382330355,0.31673070685591775,0.4222668821038087,0.30054197321283316,0.493261961916281,0.402505438822671,0.48934134159231446,0.33562218195352744,0.4074043345757584,0.32436740931887764,0.22616183599154405,0.53901582928306
elevator,0.29219759747763097,0.1446434143948323,0.3677841479578662,0.3644893766937132,0.3668550575674523,0.3397692828608132,0.3204899840852028,0.26426097364846846,0.48105473122894504,1.0,0.30545114719853605,0.40115141636739815,0.3302090007583547,0.30084834439570507,0.26298682705848875,0.29231093469981606,0.3582493610123765,0.3541275221913658,0.33992673649644456,0.3130761446124102,0.15711875079436066,0.4116269203838858,0.3677908550551303,0.30085331969795126,0.28630077598971615,0.2602144432038159,0.2993879586361061,0.30325312434523954,0.0813558485475191,0.34928388584506675
