,axe,battery,brick,broom,bucket,chain,dustpan,flashlight,flyswatter,funnel,hammer,hinge,hose,iron,ironing board,jack,key,ladder,lawn mower,light switch,lightbulb,lighter,magnet,match,mop,mousetrap,nail,paintbrush,plug,rake,rope,saw,screw,screwdriver,shovel,springs,thermometer,vacuum,wrench
axe,0.9999999999999999,0.27648596264816416,0.230784053747368,0.3047159162910933,0.19720390942408472,0.43832056145797105,0.35011801892097894,0.22495750111770085,0.3635519157085356,0.27740067383888345,0.46696800085980394,0.25482757294943736,0.34598524397150865,0.37666479280791754,0.22684064056603281,0.3175342327108621,0.3215750356550082,0.39982259028903466,0.2610753276289386,0.19085311734421417,0.3040930748715469,0.17883544355924474,0.3289795886975404,0.20822839854912412,0.284321180062997,0.3403440427893252,0.34922350751460596,0.3478873190160767,0.32081396571017184,0.27507201165180395,0.35461802527904207,0.32720066709014395,0.3175179948382737,0.33812176096350355,0.3014043477271451,0.15235374337262986,0.21749268088115725,0.17186691713937519,0.43935605587190674
battery,0.27648596264816416,1.0,0.37376779257646275,0.26982234222456514,0.3295310694333169,0.3667417854525574,0.3548875248709309,0.47014466662650545,0.3094050944068334,0.26596600172189977,0.35357373678608095,0.247766682537226,0.3360881034798364,0.35011919246980694,0.22585387474060825,0.22834260587733946,0.4366753388299498,0.29189758757536677,0.32329235164475856,0.38355423994179216,0.37651083734625934,0.3808322652196603,0.30213714954365334,0.3060712248996642,0.21424492750312463,0.348998552618365,0.26251402899640874,0.29452168578206694,0.43585773545425077,0.31020141914837107,0.348695441697223,0.2853117267326686,0.32539293785204193,0.31833632958759983,0.2865393585328573,0.3700211817908525,0.3041357519881811,0.31552403025713993,0.35853489526583293
brick,0.230784053747368,0.37376779257646275,1.0,0.32555975269842974,0.39486450470128176,0.24736355314228575,0.4383953770132136,0.2498159676136189,0.2511576615424299,0.28866857518112254,0.43616973805849946,0.33132951458937243,0.33070961708578217,0.3422582015023765,0.24658703326805487,0.32605243879262646,0.2115768561899205,0.29708655804712514,0.3009568703830393,0.32641391467527137,0.40880072702756154,0.23787963977018067,0.3262956602120519,0.2535234668939632,0.14370876146303668,0.2477209138134553,0.40318131060259366,0.3444609418667066,0.3148046650869011,0.3444455318590415,0.41948885697098237,0.3243553142353601,0.39661942474753653,0.42424512524461044,0.31042927107813467,0.2133522432796917,0.22271172371420234,0.3494383457690613,0.2560106809273802
broom,0.3047159162910933,0.26982234222456514,0.32555975269842974,1.0,0.3334933977767759,0.24709908878547648,0.6194308918720874,0.321262622928008,0.46131899924214836,0.314226137268379,0.36113025909436225,0.23262934552135472,0.46077461244786677,0.2561524867723364,0.2897471465596797,0.19798885947336342,0.20836199119751164,0.36827113836096603,0.39753459488273757,0.3242782759688514,0.4397036352997262,0.39883544362244905,0.36400361858180075,0.17195487177406887,0.5642414259276379,0.33330069461435086,0.3853474046087806,0.48916690749404335,0.33002641924445986,0.48947529199782214,0.32424491842374104,0.2725608811273116,0.30699731192918467,0.3092548945856133,0.3582332945299158,0.2444185025798079,0.2302639061793409,0.5496121171786884,0.2742981473419349
bucket,0.19720390942408472,0.3295310694333169,0.39486450470128176,0.3334933977767759,0.9999999999999998,0.20796154400380262,0.4152382257960865,0.2622047949896942,0.3064150459328392,0.42176021806432895,0.2995863988213352,0.28892926712113787,0.4208997086024643,0.2211679970048266,0.20851043035717054,0.21514181931638188,0.3022110458871783,0.3065936302651522,0.30016819069350564,0.27840767016374524,0.329301736632587,0.2963702027191938,0.2695897557220155,0.20505978193579855,0.3442961270556668,0.2816365085792082,0.33379538421742017,0.42326582633497,0.4171650798281161,0.3376343041954676,0.3545794162679381,0.2361258787325916,0.37297736697858097,0.26598004173823897,0.41759574861160775,0.2534304582919782,0.2954933128904338,0.35529699313265495,0.3309535015954894
chain,0.43832056145797105,0.3667417854525574,0.24736355314228575,0.24709908878547648,0.20796154400380262,0.9999999999999998,0.3097451302888343,0.20946626895535525,0.32121352342455,0.2580566245084943,0.44288933622311877,0.2534511459575687,0.3623332053080244,0.3787346620182903,0.2558819071491245,0.25481471525739374,0.3781339014638292,0.3228360949063239,0.3319041589956744,0.21106880989580346,0.2483644319862487,0.18173629779696254,0.29103426804048704,0.33117912760358625,0.23051294675345246,0.2865369617232665,0.30500030141217405,0.22803590863095058,0.3804540971772261,0.3291165040443854,0.5766955551300174,0.31688611184386395,0.3363780201059696,0.24267721678330512,0.3616323544718102,0.3031821985099331,0.1854593849085897,0.25516887142128664,0.3477527844242656
dustpan,0.35011801892097894,0.3548875248709309,0.4383953770132136,0.6194308918720874,0.4152382257960865,0.3097451302888343,1.0,0.39168005448490095,0.49700866813170275,0.33888002175296683,0.4146810909976213,0.35143896754588455,0.46576038177615153,0.3632873832642928,0.39837287495036067,0.27338759115592226,0.3542637994346066,0.44855442062242445,0.39206940967260184,0.32790659958491175,0.512684897938608,0.428397613601188,0.4015762615183407,0.3553775642280479,0.5161086288441827,0.4809984845027293,0.44639635524059473,0.45609035889604654,0.4814147455831672,0.42280467094099294,0.40695294285139716,0.37491637552876167,0.45439460905004614,0.39407125495239737,0.43682505319986653,0.21807892558179487,0.3825541357690132,0.6032046669475892,0.3782079597930442
flashlight,0.22495750111770085,0.47014466662650545,0.2498159676136189,0.321262622928008,0.2622047949896942,0.20946626895535525,0.39168005448490095,1.0,0.3176038976908404,0.3512205386171613,0.3129985623054483,0.21346847622636478,0.3556423936427362,0.16377684317915975,0.09816600451326107,0.12499263201244815,0.3019964983349612,0.24118417616377397,0.2925185746723662,0.41038618441602126,0.5855908253484924,0.5186722264442769,0.16314885405895874,0.23515464333655978,0.18114443419227388,0.3249007954693084,0.21771135612045045,0.2987460076153018,0.3307026039653025,0.248526334846495,0.3796125191252617,0.2883658165545878,0.22536221012301938,0.424039108628954,0.31959592873968035,0.22460014574161313,0.3674108280292552,0.2964748904892799,0.3579894314686787
flyswatter,0.3635519157085356,0.3094050944068334,0.2511576615424299,0.46131899924214836,0.3064150459328392,0.32121352342455,0.49700866813170275,0.3176038976908404,1.0,0.34517082487206874,0.3564008060600773,0.22288595039943138,0.42986526140804315,0.3137942640572706,0.25501591007263436,0.24154708827021598,0.28663821333724404,0.370050529316325,0.2540641734725715,0.24355592504532586,0.3591033018330947,0.3794992504294704,0.3269401758116266,0.2648449211338868,0.3681966583187648,0.49648765800302863,0.3167929874662625,0.3109390282698925,0.33497963591565594,0.3860856858554025,0.3922226063721984,0.3241238195906304,0.33902087385614776,0.23654275583176787,0.23534731135604692,0.22078278838509646,0.25379695459668083,0.4235887395953909,0.2541074956186443
funnel,0.27740067383888345,0.26596600172189977,0.28866857518112254,0.314226137268379,0.42176021806432895,0.2580566245084943,0.33888002175296683,0.3512205386171613,0.34517082487206874,1.0,0.2244574517961503,0.25276110230167137,0.4331150281461551,0.24115723373580777,0.16603904892338883,0.16365299487743046,0.1913461883980745,0.3526199523333339,0.24981906955128186,0.2523095287249373,0.31857649451987125,0.30434552036817886,0.23118359039316283,0.17302118642185016,0.29503365496931666,0.3151092603821173,0.19680835571026167,0.2594591413899099,0.41145723614141305,0.3149011439838104,0.38027196078056125,0.17619987284810668,0.2938183255839186,0.3179159795912657,0.3030500413999251,0.19038472219810676,0.3864311015007824,0.2990525594890917,0.2634405878045025
