toys and games,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
-0.058620024,-0.03387747,-0.043451082,-0.06511452,-0.03301824,0.035049893,-0.000201014,-0.062804334,-0.026971161,-0.050521433,0.00036018,-0.06699905,-0.000908871,-0.04744116,-0.028468633,0.035697993,0.008345162,-0.010326432,-0.032382224,-0.000268427,-0.037915125,-0.049551807,-0.05989607,0.054938134,0.014258308,-0.035214014,-0.004261535,-0.008705948,-0.04751001,-0.0320059,0.018460793,-0.07168243,-0.046218578,-0.027972084,-0.031252053,0.03553877,0.034215145
-0.028766964,0.018396968,0.028971698,-0.01919934,-0.028591756,-0.03319345,-0.022190288,0.0363264,0.017080564,-0.001506362,-0.038229596,-0.002863108,0.044914123,-0.011592882,0.005832585,0.044914484,0.039543036,-0.01355599,-0.008651852,0.009834508,-0.046989847,-0.045345265,-0.03718025,0.043175157,0.025683453,0.043497343,0.000122192,0.014870317,0.02097123,0.026948968,0.04413467,-0.03300967,-0.05847784,-0.043548096,-0.04496444,-0.06654394,-0.04651917
0.002048592,-0.013356854,0.03425891,-0.054906856,0.059215646,-0.01997,0.08076801,-0.005091192,0.003989761,-0.022777101,0.02323847,-0.07912446,-0.014373465,-0.040891014,-0.04433995,-0.05124465,0.02549738,0.017591272,0.08065925,0.051479865,-0.010131213,-0.04504951,-0.046212167,0.016918762,-0.056741167,0.071041055,-0.011434021,0.029640533,-0.058975022,-0.06003262,-0.056868397,0.049421802,-0.079103574,0.05320158,-0.020163205,-0.033837218,0.024078581
-0.01678822,0.064881966,0.031835113,0.005720579,-0.001267287,-0.033446837,0.03648247,-0.005846458,-0.002547075,0.02839529,0.01244746,0.037766732,-0.011688915,0.028183645,0.045314666,0.00802439,0.005216796,0.03430034,0.05263045,-0.026586361,0.024904119,0.06826503,0.031202367,-0.004164665,0.04125352,-0.014931815,0.016453551,0.03204702,-0.019976884,0.001651679,-0.005118856,0.034473997,0.03318053,0.04383083,-0.023846056,-0.011334432,0.042208504
-0.06601445,-0.013543113,-0.057842206,0.014968291,0.006182179,-0.05064781,-0.028877238,-0.037115432,-0.028183049,-0.037654087,-0.023765562,0.023289446,-0.0449791,0.005081086,0.028218973,0.06967428,-0.06470412,-0.036102023,0.024663957,0.040458947,0.01671562,0.026337493,-0.018432207,0.010964559,-0.053406425,-0.0685751,0.026824458,-0.02834812,0.011113605,0.011629726,0.059141766,-0.039288577,0.07412515,-0.06921133,-0.06739218,0.00413791,-0.047293298
-0.013592217,0.028814942,-0.023367103,0.06027069,0.042504422,-0.038836394,0.056830768,0.021977037,0.003639566,-0.005148121,0.057635456,0.053859122,0.053500034,0.08147769,0.072732,-0.037974283,-0.01665191,-0.06771989,0.066990405,-0.013607195,-0.025552629,-0.067198224,-0.050526373,0.054872066,-0.015666533,0.06421397,0.01296174,0.08913002,0.06762091,0.043657858,-0.009721339,0.010038877,-0.023294257,0.062055234,-0.035996225,0.0612527,-0.055460338
-0.058115464,0.01722624,0.041607935,0.035493452,0.030996565,0.003707698,0.008973322,0.0556955,-0.06158395,-0.0765373,0.021299543,0.022882609,-0.024163743,-0.02348236,0.012978256,0.047387905,-0.005082178,-0.027025942,0.04707113,0.045521423,-0.051568113,-0.018790236,-0.037044678,0.009451405,0.008376873,0.03435146,0.003837352,0.014923164,0.06256545,0.04278759,-0.041857265,0.059779786,0.023167945,-0.029630164,-0.047835715,-0.051578913,-0.012796243
-0.046496764,-0.009591181,0.000518491,-0.013327681,-0.02092281,0.03536086,-0.008979925,0.010242761,0.04002016,-0.00666716,-0.012462819,-0.032860115,-0.019450534,-0.019452678,0.02765054,0.018987952,0.023433639,0.039265893,-0.00788374,0.056320507,0.000154622,0.042183045,-0.021110266,0.0607589,-0.042166874,0.0789257,0.025297383,0.04109528,-0.036288008,0.027722895,0.03766972,0.02162926,0.048594505,-0.016014831,-0.001511459,0.058451194,0.001281979
-0.05826595,-0.021647496,-0.004114937,0.020119373,0.015996564,-0.019948296,-0.000118932,-0.025169037,-0.06572548,0.040487792,-0.031817958,0.028561907,-0.008771499,0.047904152,0.001309267,0.028744552,0.03037295,-0.02646667,-0.004212899,-0.07881946,0.05211021,-0.017411586,0.04770824,-0.009809395,-0.07075469,0.012763501,-0.05164079,-0.010596205,0.000136728,-0.03857403,-0.025298826,-0.03975182,0.024117446,0.044118673,0.041091926,0.005508443,-0.06175042
0.005990461,0.04760783,0.028856717,0.044096753,0.05125923,0.050992444,0.076732464,0.000372325,0.029735452,0.017560244,0.019163355,0.049711946,0.0408697,0.037029408,0.06365056,0.005085314,0.03943647,0.06066937,0.05542367,0.0613044,-0.047907304,0.052479982,0.000356086,-1.11E-05,-0.047388554,0.06682331,-0.00678114,0.029908346,0.042414237,0.059593473,0.08337141,0.027781568,0.014070153,0.043752037,0.054123692,0.067152426,0.04269714
