,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
ball,0.9999999999999998,0.5161649209449597,0.4701242826619546,0.5377716729974468,0.2299394771321671,0.28316977356344175,0.35329849765477594,0.3276547022579772,0.38099941426023065,0.31555604943575366,0.49309362833766723,0.33943553377926716,0.44076792612030524,0.6651608359585742,0.26619485116924535,0.34652228299680776,0.388421057464281,0.2817992992993772,0.43938808209752245,0.30454362358903997,0.20807922818695057,0.3559167499827719,0.2140182045630048,0.2683573207770267,0.4054510551692876,0.37734090011072796,0.36539491091694254,0.4712894588532486,0.6424418447509949,0.2395993917250352,0.2736493666768628,0.3211005486551116,0.482641460053175,0.3224385004950896,0.25605577721581874,0.4459806409759879
balloon,0.5161649209449597,0.9999999999999999,0.3832119133904799,0.38512825307485166,0.17100706089993412,0.3136870586226356,0.3718015639172003,0.2857420228655134,0.36611336069098877,0.3011866711678154,0.3474282901123823,0.3546898128984317,0.30240226296188344,0.46429549978573903,0.2808890822266328,0.4662476701728697,0.42281808093491846,0.4516905685361554,0.43691039062193027,0.2900395262978106,0.2631232069306859,0.29583560329390846,0.35150454493417116,0.21606392476399527,0.3668871088765364,0.49539849226898414,0.34066800821315957,0.2586619741283398,0.4084011496825868,0.257545365144664,0.3057175668955393,0.31375263926738395,0.4546775375168697,0.4375574376507796,0.22004077341626693,0.3577257445968105
baseball,0.4701242826619546,0.3832119133904799,0.9999999999999998,0.7393180785569925,0.2945835775195391,0.2894447755254026,0.22155565720272452,0.27748545405897374,0.28513399552655905,0.35659846277571483,0.7002307432931905,0.41645548721841763,0.46839023737485386,0.5051642676149309,0.30884505291366837,0.41410293562664846,0.3581725557658919,0.30776076072127556,0.316903203259409,0.3277913524994027,0.28116604311230775,0.3034084964435835,0.2243973682952547,0.22818572045425567,0.34560321426689344,0.35787751400731627,0.34799175663235726,0.5187081629261397,0.5065718211517474,0.195971074965251,0.2773204223129142,0.29517002215951327,0.4007414177775135,0.3590088406140559,0.283982304650767,0.2953332366026624
basketball,0.5377716729974468,0.38512825307485166,0.7393180785569925,0.9999999999999998,0.315163289592326,0.2633130247606881,0.29820768964612054,0.24786356083300354,0.29840061729833156,0.2830092599799121,0.6802140437762776,0.4129601242846619,0.4584618538905969,0.4983546099557008,0.29852202494520963,0.43955796818140935,0.4708758499440052,0.3030959857413059,0.33400007332698833,0.35737930131700124,0.3039387579524342,0.34124726653867654,0.15266345332141662,0.3406654151038757,0.33434127136103897,0.3530742738493158,0.30509419267555427,0.5134241435537797,0.5234960355588919,0.2587173645420803,0.29360780878582216,0.3117323259874122,0.4397314395374696,0.34829421924700554,0.3315358804351498,0.2827025946539392
checkers,0.2299394771321671,0.17100706089993412,0.2945835775195391,0.315163289592326,1.0,0.2746739937369408,0.37170835053455475,0.34122082949289,0.22380938024180208,0.5372119170022831,0.2703816736942757,0.2609925362912091,0.3154093888504279,0.27093590660368894,0.24439855931268917,0.3002813076053039,0.262913925629382,0.23465161977421078,0.3285044764388616,0.17019945187106222,0.35138049203520105,0.2267739293418527,0.26135804988850464,0.25676477540334375,0.39238033646442794,0.14039286539834417,0.28856180331318926,0.3103941992617649,0.262524460005096,0.4324975207625392,0.16315911138151717,0.22773124320337512,0.24847065704105598,0.4404880313647743,0.38682077278365934,0.29957407601971675
crayon,0.28316977356344175,0.3136870586226356,0.2894447755254026,0.2633130247606881,0.2746739937369408,1.0,0.2904052178333033,0.2364238790105253,0.3696615286018151,0.2758557763681281,0.22615297027528536,0.3603658555881293,0.3029036535931062,0.35277866396442414,0.16344869000900508,0.2794813943188652,0.22956076548563775,0.33401605875669726,0.37047483207701726,0.24697094024881983,0.25164691843116294,0.24884683772184857,0.20666331982937414,0.14205227603077752,0.340348599003088,0.2444111315862013,0.2110087239851801,0.19944608443079892,0.2501354070818853,0.2671594119680043,0.1946082622010139,0.13528060001289977,0.36460886528130854,0.3511914593579071,0.36376254106780603,0.3594575161840332
dart,0.35329849765477594,0.3718015639172003,0.22155565720272452,0.29820768964612054,0.37170835053455475,0.2904052178333033,1.0,0.4163429758924839,0.2711969467141446,0.3010954672847479,0.280950197856902,0.2630810194148807,0.3771058854430698,0.38079968842669387,0.16776812225758597,0.20306071734349185,0.286108689173876,0.36782658866042683,0.2881233991131118,0.31292871419706025,0.25244402003202127,0.30739315888772745,0.11655784102431976,0.2574271598316702,0.37707532480014394,0.39034990696932925,0.2609841029448259,0.34807291219046776,0.3090436560248272,0.3605219279840082,0.2535118614395987,0.21277104387898982,0.39994232834518983,0.37851288200615896,0.17259671867735982,0.3652323019275041
dice,0.3276547022579772,0.2857420228655134,0.27748545405897374,0.24786356083300354,0.34122082949289,0.2364238790105253,0.4163429758924839,1.0,0.33015037483471044,0.476849448167175,0.30325214686010815,0.3160493836650762,0.31801200950382513,0.313403435386465,0.3310035667230389,0.2113586191646949,0.14640416365886877,0.17608889472971023,0.3176896130845668,0.2048839173545265,0.2621349554279724,0.25835795171562514,0.21993200815767933,0.26157355283128303,0.2772339896131071,0.18150999122694844,0.2637445981182014,0.2660567908312472,0.2643842851610074,0.372430146647566,0.20260679608220278,0.18596622660972584,0.2830238379627934,0.36726188535238236,0.2698288609124915,0.3146978846852615
doll,0.38099941426023065,0.36611336069098877,0.28513399552655905,0.29840061729833156,0.22380938024180208,0.3696615286018151,0.2711969467141446,0.33015037483471044,1.0,0.23932535219052853,0.3020559447159459,0.3090835371835903,0.32836136189222187,0.3436307778615202,0.2784386132183958,0.40328820089048056,0.28883740625516996,0.23692332762583113,0.2667288806851107,0.2122165118575201,0.24332902825907265,0.46033689474514294,0.21862838422238873,0.17681040497150424,0.32563932444542143,0.23073878570095563,0.3407350597989961,0.21705701440860214,0.25945480524780373,0.2666646745083714,0.26481300345660896,0.2749986805194773,0.41748163206816824,0.3509099982515784,0.18567262641351445,0.4319426491415448
dominoes,0.31555604943575366,0.3011866711678154,0.35659846277571483,0.2830092599799121,0.5372119170022831,0.2758557763681281,0.3010954672847479,0.476849448167175,0.23932535219052853,1.0,0.33147812106925967,0.2700247258280669,0.30421319448878736,0.2782906835487473,0.2386544410054342,0.23881122593752702,0.29162169875787103,0.27804380951301266,0.31414312252679044,0.1239317787305857,0.3476155335995327,0.266240932551546,0.3309935754757982,0.3115834324409421,0.30230536261197416,0.18724037548141337,0.3105928770402965,0.36987535099587654,0.3225609262849204,0.357312422992616,0.24081275528330093,0.2145494824137617,0.29342752359440893,0.3852265081978945,0.3634551128978747,0.3175754134939329
