,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
ball,1.0,0.5161648728408983,0.47012420203507854,0.5377716544476683,0.4104068523041048,0.2220802456365849,0.3627877782363461,0.48832908662515795,0.2299394835873193,0.19644764103515078,0.35329851066527895,0.32765464138861566,0.3809994599667137,0.31555604746188926,0.4930936473477361,0.5887267507563435,0.3224384134947793,0.3884211196030738,0.28179931832695904,0.2212390051220181,0.4393880573879261,0.30454363693508624,0.332590487347439,0.3780140477169721,0.3780913323463042,0.21796608286178276,0.3559167338493098,0.2560564999153402,0.16546423820811107,0.36693961172039724,0.2683573485906984,0.3014744027951015,0.4054510231505811,0.37734086716191784,0.42293477595516515,0.5122440194433868,0.2454192218062703,0.20332404746380517,0.6424418694650582,0.3640636631997417,0.3909737252962968,0.27364936927864325,0.32110047048333246,0.4344457078656556,0.3653987592098342,0.4826414290899276
balloon,0.5161648728408983,1.0,0.38321189269710043,0.3851282359527055,0.4055432930187777,0.3459365178486844,0.5428635554146544,0.29843510918682226,0.1710070690447123,0.3310720996749683,0.3718015888976487,0.2857420360878279,0.3661133902475011,0.30118666442684017,0.347428246074275,0.3851666531305954,0.43755739340405686,0.42281808821371003,0.4516906295550215,0.38524883219020456,0.43691040524821656,0.29003947343824277,0.30869757185573965,0.4172797869225704,0.22327893439327107,0.20817066166568676,0.2958355757414567,0.33526108229143126,0.22231227245499696,0.30438670017768477,0.21606395027070724,0.3329223820647347,0.36688712997592,0.4953985207618947,0.4485434892568829,0.3738367284549762,0.17209641009809007,0.360023965331129,0.40840118311245255,0.3954971980518527,0.28772822471624204,0.3057175538750929,0.3137525972615438,0.4023869841962756,0.3223971499157665,0.45467757528536645
baseball,0.47012420203507854,0.38321189269710043,1.0,0.7393180527613561,0.22469130677000382,0.32374413878226493,0.33685413935390174,0.3183014556375421,0.2945836755070337,0.2638244024731522,0.2215556303637004,0.2774854883728788,0.28513402474392746,0.356598491992958,0.7002306814402413,0.3606486702381746,0.35900882494628394,0.35817255341348975,0.30776074826249067,0.23139601325449943,0.3169032054583889,0.32779136742000015,0.25231663265143855,0.27136658969473326,0.28280507388704346,0.2919985772679823,0.3034085224222478,0.22060693389544617,0.19468892272848037,0.46842609265868296,0.22818576289612946,0.297558147247473,0.34560321392886384,0.35787751105555066,0.19249306063256522,0.4101107490806586,0.1677451683339437,0.248362535304965,0.5065718255879099,0.2893341833800247,0.33971350383322574,0.27732051919456757,0.2951699694450556,0.3118944549724232,0.21461821931088687,0.4007414160091829
basketball,0.5377716544476683,0.3851282359527055,0.7393180527613561,1.0,0.30418968010702385,0.26094830212752895,0.3032760425739197,0.3244205971304037,0.3151633675399712,0.2535481108823243,0.29820761232232296,0.24786352151291347,0.29840066335920645,0.2830092976699048,0.6802139960484705,0.3450852168564106,0.34829417670642804,0.47087591129828843,0.3030959035138113,0.21829091408531565,0.3340000633669433,0.35737931413266255,0.30489163226676996,0.31315843105877283,0.22478937597831594,0.267844126164825,0.34124723921909117,0.11395140833535755,0.2107686079097355,0.5212032574522494,0.34066535734880854,0.3517708145315699,0.33434130323523314,0.35307420524183475,0.21191740700494133,0.36953360887601994,0.1933543406452467,0.23293819098677937,0.5234960635623245,0.2636157016219979,0.3504675360649847,0.2936079454016056,0.31173226861249215,0.3233828013936513,0.23730666827810387,0.43973140282998446
beads,0.4104068523041048,0.4055432930187777,0.22469130677000382,0.30418968010702385,1.0,0.23986270374411955,0.3296985750886875,0.3312386131825211,0.2037617267102334,0.1833506192411759,0.3367144084902205,0.1867854928295576,0.2855157133299513,0.1769923292963056,0.20168923403647632,0.44010666984917446,0.2232364769166757,0.340513248849464,0.4287014317947071,0.2921933556380788,0.5071239392219886,0.19367166214841014,0.2807411137387952,0.3424406445753918,0.30161154517181354,0.09552192161704731,0.1971675734501832,0.1806829933359717,0.14392691142227498,0.2623676431937104,0.18793459857376327,0.2150306939765111,0.2596214639029215,0.38362432380991773,0.39758243154548056,0.3341832478208886,0.17058973972368552,0.24020602176580674,0.3170214998571921,0.3469088677756873,0.23485712852190854,0.19022605428451156,0.1716030759429743,0.3229256050953311,0.42096187718766553,0.3806000533621383
binoculars,0.2220802456365849,0.3459365178486844,0.32374413878226493,0.26094830212752895,0.23986270374411955,1.0,0.2779144009581682,0.3500472850274079,0.22627721164947534,0.3363920848540538,0.2470206521629329,0.23692739663337647,0.1584831981319823,0.2832392708191771,0.27510745466061914,0.24420578875085952,0.3137937816341494,0.2626756065857372,0.35001050603177164,0.5319480330779981,0.2713614097789281,0.25224297190329703,0.28923745317424454,0.21966165562459605,0.19026258447870703,0.24486260734489362,0.13238297886644446,0.14093185206544034,0.11344454878578358,0.22865806434445013,0.28256619814572104,0.27540678528310036,0.1989911660364223,0.397439503074128,0.3067067058735361,0.30575961116846195,0.17466503355294105,0.6220496350276747,0.2743912588364197,0.2710069353843383,0.21242858900965444,0.16036839136067949,0.30972956111333316,0.3120302369521408,0.18221830239567993,0.151232680511462
bubble,0.3627877782363461,0.5428635554146544,0.33685413935390174,0.3032760425739197,0.3296985750886875,0.2779144009581682,0.9999999999999998,0.21450676538395574,0.23355502328143918,0.1691118839728838,0.32334354839779367,0.3500133558582943,0.23387646662155404,0.38452754627897723,0.2727605656979766,0.32863702224947433,0.4206409473339281,0.3424086344965265,0.427329548187648,0.24461504921002175,0.32939012997325157,0.28536584454681446,0.2829981286166596,0.3469634525039421,0.37017550757033835,0.2055375724217572,0.26018087540554546,0.25757482168777934,0.1113866210574862,0.22434357524357706,0.25317869058145726,0.2710353765978666,0.372313153793553,0.2825862120586182,0.3758598645654081,0.37668622847118527,0.22418479247782408,0.25119803851434175,0.29350656679698206,0.25835225521172744,0.3328114158577551,0.29693778766408085,0.2551229263117052,0.34998128139376095,0.3588055217467053,0.43651001559042557
camera,0.48832908662515795,0.29843510918682226,0.3183014556375421,0.3244205971304037,0.3312386131825211,0.3500472850274079,0.21450676538395574,0.9999999999999998,0.178627932513029,0.2722294972278516,0.2959078688858352,0.3113218870973038,0.38705356656017287,0.29334384123988355,0.3670142400896472,0.3683112955014992,0.16385532814185433,0.26604387094787185,0.26090526627381627,0.31083037082967846,0.2122973270933769,0.18941420210766324,0.4440848652995151,0.3355139517896393,0.31991987438082736,0.29439348708855373,0.3803612523892066,0.13483466885711937,0.2501188768402154,0.3769817890621868,0.3180545594433546,0.24142700890071955,0.3519819935234949,0.21864476374857633,0.3473804588383429,0.37187862802976657,0.2577497862618683,0.31970947703770713,0.32317003990034254,0.23894972154079352,0.30694549580801156,0.3127314555957408,0.1399042747957946,0.23687576102900887,0.26301885975130324,0.3428261407534918
checkers,0.2299394835873193,0.1710070690447123,0.2945836755070337,0.3151633675399712,0.2037617267102334,0.22627721164947534,0.23355502328143918,0.178627932513029,1.0,0.2242094654348359,0.3717082966864639,0.3412208815146016,0.22380941771913088,0.5372119960200162,0.2703816946328652,0.31878765768936246,0.44048801946509086,0.26291396680620915,0.234651623906444,0.17750244174597274,0.3285044500675962,0.17019948781573446,0.20363008814101313,0.1222444338195342,0.19554748801356592,0.137751499349562,0.22677394913470295,0.18837892178870963,0.19421719237887392,0.3732731554667802,0.25676479345993075,0.2732177132538607,0.3923803339756209,0.14039282420375232,0.10421686422595922,0.27945155508797304,0.20769160740010928,0.16715959535865244,0.26252455935322105,0.4184622453458956,0.5610528248276708,0.16315920486799396,0.227731272098316,0.21525733232008015,0.21403387202364832,0.24847070344988054
compass,0.19644764103515078,0.3310720996749683,0.2638244024731522,0.2535481108823243,0.1833506192411759,0.3363920848540538,0.1691118839728838,0.2722294972278516,0.2242094654348359,1.0,0.21923768913417596,0.1919122092046699,0.17617228196050239,0.1747821699152703,0.20045399879422887,0.2666461362805219,0.2054355504287102,0.16815012739738222,0.36533267329817587,0.31625677459533774,0.20872683131597036,0.19964922341525748,0.3603889652122767,0.35226833508063915,0.13638089318603885,0.26052964654367106,0.2982604805573519,0.07586158877241334,0.24762852901467047,0.3033846668707908,0.2080579552316273,0.26823207501115687,0.1938421143725515,0.2759034354034715,0.2326616261754808,0.25924989630092843,0.13015135367181974,0.37708747018291056,0.15914975090083583,0.2349646955538417,0.24878707588098503,0.14971213533964545,0.2128093611330233,0.27516420121897733,0.19896815371453092,0.2580414550699669
