,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jumprope,kite,magnifyingglass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewingmachine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennisball,thimble,tictactoe,top,trophy,whistle,yarn,yoyo
ball,1.0,0.5161648912153904,0.47012420265439725,0.5377716283294577,0.4104068401785923,0.2220802157069086,0.3627877620354698,0.4883290938189008,0.2299394716507973,0.19644762095867696,0.3532984930321561,0.32765464183173587,0.3809994649264876,0.315556041905646,0.4930936556994493,0.5887267406947758,0.32243840180836414,0.40714843374758625,0.28179932481689596,0.309632380303422,0.4393880632070797,0.3045436587519361,0.3325904470236971,0.37801406182570807,0.3780913382854044,0.21796602666910325,0.3559167249221835,0.25605646973365426,0.3415709854794693,0.3669396318778648,0.2683573602774163,0.301474405549476,0.4054510208889117,0.37734089000376614,0.42293477057693574,0.5122440127311353,0.2454192401318831,0.20332404213927435,0.3239441972722834,0.36406365304194865,0.3909737588758688,0.2736493747157348,0.3211005200602659,0.43444569045179615,0.36539875055706617,0.4826414440958622
balloon,0.5161648912153904,0.9999999999999999,0.38321188806459894,0.3851282282813072,0.4055432921304942,0.3459364872623655,0.5428635674694466,0.29843513596163596,0.17100707882812127,0.3310720998167598,0.37180159688702163,0.2857420371380919,0.36611340481783605,0.30118667588727366,0.3474282251618832,0.38516665809495176,0.4375573765187999,0.46907388282997875,0.45169063218049543,0.20717431059978875,0.43691037144615885,0.29003945594142044,0.30869756049361463,0.41727977329837496,0.22327893571929602,0.20817064790109807,0.29583556241402476,0.3352610817606294,0.33006287437593906,0.30438670502151255,0.21606393198610618,0.33292233815177186,0.3668871293406156,0.49539852755626956,0.4485434888092761,0.37383672578884264,0.17209644006928504,0.3600239409073771,0.19910714375355165,0.39549716748334274,0.2877282215235586,0.30571759987137626,0.3137526070323071,0.40238695893376875,0.32239714391329966,0.4546775804712626
baseball,0.47012420265439725,0.38321188806459894,0.9999999999999998,0.7393180624263692,0.22469129183943837,0.32374412586267365,0.3368541332054381,0.31830144689389805,0.2945836754449547,0.26382435964462936,0.22155561340868735,0.2774854828792044,0.2851340228622219,0.35659850658232317,0.7002306692562302,0.36064865268214685,0.3590088392964089,0.40485578137690903,0.3077607361681146,0.1804469219878071,0.3169031927833026,0.32779133375565894,0.2523166022697101,0.2713665946539803,0.2828050576124679,0.2919985377900076,0.3034085000293245,0.22060692429612672,0.25093248009375935,0.4684260936573532,0.22818575366336302,0.29755814008432546,0.34560320949902457,0.3578775260073269,0.1924930322737397,0.41011072847702157,0.16774518723025533,0.2483625230569777,0.17290460787527628,0.28933421414537575,0.3397134933686067,0.2773205202023803,0.2951699852023868,0.3118944358390121,0.21461815532517825,0.4007413867651808
basketball,0.5377716283294577,0.3851282282813072,0.7393180624263692,1.0,0.30418968855413187,0.26094833511814586,0.3032760741130264,0.32442057868557495,0.31516336090726194,0.2535481102762014,0.2982076065986581,0.24786353077311385,0.29840066481676786,0.2830093173110302,0.6802139947416649,0.34508521091746225,0.348294224982336,0.4746885457790717,0.3030959379908176,0.22743975351373424,0.3340000668191484,0.3573792808017088,0.3048915939969077,0.3131584425982832,0.2247893858547676,0.26784408420407757,0.34124722313163836,0.11395141664349451,0.2721709444531344,0.5212032557667826,0.34066537082323267,0.35177083930963904,0.334341293417702,0.35307425453586827,0.2119173982641458,0.36953360910813005,0.19335436664070738,0.23293820354405792,0.19962780698062477,0.26361574191485004,0.35046754236085254,0.29360790840232487,0.31173232560383535,0.32338278748777805,0.2373066584841128,0.43973137823198094
beads,0.4104068401785923,0.4055432921304942,0.22469129183943837,0.30418968855413187,1.0,0.23986269178250197,0.3296985833705064,0.3312386178519987,0.2037617413046764,0.18335062266710733,0.33671439326284414,0.1867855015213863,0.28551572546846105,0.17699231286860972,0.2016892452044461,0.44010667346816035,0.223236487411969,0.3540802123900171,0.4287014490983221,0.28536201719107435,0.5071239410081521,0.19367164016893812,0.2807411005722127,0.34244065480008234,0.3016115481937509,0.09552187406922696,0.19716755702495903,0.18068300581829166,0.3241815762536213,0.2623676717855592,0.18793459504208354,0.21503070775499777,0.2596214765744752,0.3836243240058109,0.3975824304498601,0.33418326478858473,0.17058975820702638,0.24020602061632668,0.22768369600215388,0.3469088801570741,0.2348571919032001,0.1902260400828245,0.1716030940309805,0.3229255937325535,0.4209618583336524,0.3806000625845696
binoculars,0.2220802157069086,0.3459364872623655,0.32374412586267365,0.26094833511814586,0.23986269178250197,1.0,0.2779143990602426,0.3500472826038459,0.2262771824911074,0.33639207842333696,0.24702065936862205,0.23692738434844451,0.15848319655604315,0.28323926370537134,0.2751074362421493,0.24420576881888223,0.3137937755424638,0.3011815732410297,0.35001052486843276,0.13367717247685218,0.2713614003471896,0.2522429397695616,0.28923746519333005,0.21966167364088796,0.19026258088489612,0.24486256552846108,0.13238295455534355,0.14093183641647655,0.24707818940340887,0.2286580761281476,0.28256618530642186,0.27540679121692135,0.1989911419034528,0.3974395149020922,0.30670669053286326,0.3057596038113388,0.174665023231675,0.6220496295366688,0.2535029424898184,0.2710069544476177,0.21242856358947004,0.16036837495761747,0.3097295631938607,0.31203023415951114,0.18221827714102545,0.15123265202168357
bubble,0.3627877620354698,0.5428635674694466,0.3368541332054381,0.3032760741130264,0.3296985833705064,0.2779143990602426,1.0,0.21450675939342534,0.23355501775738496,0.16911188949555156,0.3233435380339317,0.3500133564267227,0.2338764777119655,0.38452753594119216,0.2727605646843455,0.32863703429133995,0.4206409874994349,0.4310792475643671,0.42732957239584435,0.19820796306353516,0.3293901198933846,0.2853658294531469,0.2829981450837089,0.34696345677343465,0.3701754931811486,0.20553760112716868,0.2601808223723592,0.25757480055663473,0.3044891107577101,0.2243435626866317,0.25317869177034424,0.27103539072601923,0.37231317246992546,0.2825862324195557,0.37585986891251555,0.37668623593258355,0.22418483432030312,0.2511980572772443,0.31482547800251326,0.25835229339898214,0.3328114181280911,0.2969377791902328,0.2551230022149128,0.34998127710018934,0.3588055234631983,0.4365100243030463
camera,0.4883290938189008,0.29843513596163596,0.31830144689389805,0.32442057868557495,0.3312386178519987,0.3500472826038459,0.21450675939342534,1.0,0.17862793252070797,0.27222948152373316,0.2959078608746545,0.3113218916934758,0.3870535748916293,0.2933438456399531,0.36701423559814983,0.36831130296325143,0.16385534779995647,0.27737068544613996,0.2609052700455865,0.19795793377315696,0.21229733592987543,0.18941422779979922,0.44408483961536405,0.33551397893329926,0.31991988079939193,0.29439341515164985,0.3803612481684008,0.13483467551518724,0.3337949382232219,0.37698181691087074,0.31805454582988535,0.24142700147243512,0.35198198391266344,0.21864479360718914,0.3473804627567241,0.3718786409449113,0.257749819265497,0.31970949046523844,0.3306067505836672,0.23894971938385257,0.3069455376010284,0.31273145335955566,0.13990434714286482,0.23687576135299993,0.2630188461414271,0.34282613230550507
checkers,0.2299394716507973,0.17100707882812127,0.2945836754449547,0.31516336090726194,0.2037617413046764,0.2262771824911074,0.23355501775738496,0.17862793252070797,0.9999999999999998,0.22420947692320448,0.3717083218018724,0.3412208840032125,0.22380943121102703,0.5372120148532258,0.270381689323382,0.31878767316194145,0.4404880592666425,0.34952921239810864,0.2346516014307093,0.16402992660146154,0.3285044497511631,0.170199430315211,0.20363009010790745,0.12224439925405495,0.19554748296929425,0.13775145364463448,0.22677392250176975,0.18837894196279514,0.18438109735975872,0.3732731425845527,0.25676480724448814,0.27321774209888505,0.39238035803893934,0.14039281738140075,0.1042168779467858,0.27945156188381826,0.20769160979981793,0.16715959419982207,0.1929509005500969,0.41846227502639277,0.5610528121827786,0.16315918207013647,0.22773129130903513,0.2152573471733119,0.21403386108923828,0.24847069663813393
compass,0.19644762095867696,0.3310720998167598,0.26382435964462936,0.2535481102762014,0.18335062266710733,0.33639207842333696,0.16911188949555156,0.27222948152373316,0.22420947692320448,0.9999999999999999,0.2192376793563212,0.19191221338079312,0.17617228383587602,0.17478217930992557,0.20045398367423528,0.2666461504269171,0.2054355649705507,0.22714721635360635,0.36533270019413044,0.21050820914574708,0.20872680996503823,0.19964916334993643,0.36038895267402826,0.3522683262034101,0.1363808736116785,0.26052959042277424,0.29826045176807225,0.07586161134166425,0.2917059730648195,0.30338468102195226,0.20805795543289318,0.26823207125302573,0.19384213458947364,0.27590340097141586,0.23266161536199992,0.2592499213798686,0.13015134833016695,0.3770874719718065,0.2085502038808078,0.2349646864209346,0.24878707433865355,0.1497121203668068,0.21280935311028615,0.27516420653047646,0.198968130404495,0.2580414480461537
