Types of People,baby,boy,bride,captain,cheerleaders,choir,clown,cowboy,dentist,doctor,farmer,fisherman,girl,judge,mailman,man,nun,nurse,painter,pilgrim,pilot,priest,sailor,teacher,twins,waiter,waitress
-0.06784743,-0.05991139,-0.0386676,9.181638e-05,-0.027847806,0.01252813,0.000609495,-0.010467314,-0.026422758,-0.03493502,-0.07191694,0.05899949,0.005431816,-0.032589015,-0.059948023,-0.04028171,-0.016678378,0.019357372,-0.006404465,-0.016359594,0.006480877,-0.013189014,-0.011766523,-0.006763239,-0.031633075,-0.023115756,-0.04025594,-0.024951998
-0.05567474,-0.02200179,-0.011797174,0.0066283355,0.009291392,0.043379236,-0.009991922,0.02847655,0.005386045,-0.035563834,-0.031731553,-0.055176552,0.01070538,-0.029620092,-0.069694884,-0.014399547,-0.056039874,-0.019481426,-0.00076431374,0.02271506,-0.016803863,0.0069947694,-0.015262225,0.034082286,0.018472584,-0.043399848,-0.022213805,0.023854733
-0.041801494,-0.04027765,-0.004090273,0.03228015,-0.0072106216,-0.042463943,0.08936149,0.05577741,0.0020256774,0.055919327,0.017909622,0.037255093,0.061477527,0.04402315,-0.015124147,-0.04272225,0.031642232,-0.005439202,-0.00314581,0.08302553,0.04924665,0.08274354,0.06237273,-0.020212,0.06361439,-0.05601019,0.018181685,0.047106262
0.023876835,0.076975726,0.07982274,0.03617569,0.014554306,-0.017114526,0.04831798,0.056969713,-0.025615862,0.016184704,0.036897875,0.012410878,-0.0024389627,0.04853624,-0.010530868,0.0011412515,0.05674683,0.0069936058,-0.028859038,0.0285915,-0.028291428,0.029097985,0.027026057,-0.012548105,0.019744953,-0.0074392753,0.03123315,-0.04441357
-0.020858737,-0.055125132,-0.073807456,0.050401594,-0.0015140233,0.022383835,0.049322143,-0.04985475,0.03717246,0.01198809,0.022904394,-0.023301506,-0.010886633,-0.050812695,-0.053781416,0.014806687,-0.043434087,0.009582735,-0.020253912,-0.012718997,0.06446199,0.04581206,-0.03874977,0.0074124765,-0.055935472,0.055316094,0.014655365,0.013583646
0.047516003,0.077976815,0.07721651,0.028901441,0.065244086,0.02411123,0.021160817,-0.07429214,-0.005680123,0.00042021836,0.03558083,0.023502933,0.055879142,0.063659616,0.049980007,0.028086977,0.061378557,0.008046884,0.044433024,0.018644417,-0.05190943,-0.012592314,0.0057175495,0.003983811,0.08504193,-0.01595674,0.025061034,0.023788221
0.016912337,-0.015256023,0.0058773467,-0.015241204,0.07422648,0.06565389,0.05628014,0.06904969,-0.01708427,0.021912634,-0.005061739,-0.010914188,0.0017128289,0.011005961,-0.023842197,-0.0189263,0.057127856,0.057877164,-0.04930356,-0.045005456,-0.019468151,0.026403476,0.06504338,0.022702897,-0.03019468,-0.056659818,0.008555976,0.004460536
-0.014595511,-0.025703803,-0.069353886,0.031036986,0.0028917468,0.027490327,-0.0023537755,0.009691116,-0.039824877,-0.056299027,-0.062318776,-0.0578821,-0.0170058,-0.027932864,0.011053978,-0.018587349,-0.039560776,-0.007400762,0.0054633515,-0.06237046,-0.03416888,-0.030789336,-0.004712002,-0.021333732,-0.008878263,-0.01883867,0.0019998818,-0.0041155275
-0.083606794,0.021603595,0.036051866,0.04007006,0.063127555,-0.075881,0.008562986,-0.003910808,-0.0015101855,-0.029321952,0.031627048,0.048644837,0.04915153,0.06975538,0.04480891,-0.0063466155,-0.0107446965,-0.050000772,0.029352045,0.060500283,0.013741011,0.018838745,0.022590784,0.014180566,0.064403184,-0.07952213,0.033735972,0.038139503
0.0511061,0.04656565,0.00512372,-0.008231179,-0.010859384,0.043729626,-0.030667493,-0.02189139,0.02029738,-0.05552454,-0.019971672,-0.060712203,-0.039682288,0.010490756,-0.051778674,-0.056969903,0.019152725,0.017481867,-0.05424631,-0.014761267,-0.009465075,-0.0790226,-0.02892514,-0.047593925,-0.062746584,0.055719566,-0.04821483,-0.04785709
0.029162351,0.034276586,0.0503757,0.008772649,0.059777346,-0.04008841,0.040982,0.0760296,0.029600805,0.08011634,0.094800144,0.06929952,0.06724732,0.035582468,-0.0151450215,-0.009617749,0.026179839,0.015227015,0.08914159,0.04521101,0.08010343,0.012857347,0.0756376,0.022560328,-0.0010900733,0.042063612,0.02523667,-0.008645922
