,baby,boy,bride,captain,cheerleaders,choir,clown,cowboy,dentist,doctor,farmer,fisherman,girl,judge,mailman,man,nun,nurse,painter,pilgrim,pilot,priest,sailor,teacher,twins,waiter,waitress
baby,1.0,0.5443913319710569,0.368308895863634,0.37422940941592586,0.15917731733420515,0.2479054019785757,0.2923481194070072,0.4198462758710162,0.2522181695822945,0.41712031908385017,0.2887483909377424,0.2122805111408359,0.5992794972558715,0.33413418526657124,0.2844811246912582,0.4922457667563025,0.14872058650247333,0.3373530418192716,0.23412555663495827,0.14096653802012105,0.2829267477482921,0.2801110123885663,0.31145566496566746,0.45278668140092604,0.4163613928932295,0.3557054743395416,0.26971083570862675
boy,0.5443913319710569,1.0,0.22623459052784645,0.38574997610332984,0.10929522072000752,0.20384163610103956,0.23842960242252742,0.3904379652637058,0.13482593472058058,0.2835406220697274,0.21770591231222425,0.1602327817892949,0.7700315994819682,0.3215449683844024,0.2599143124804819,0.6588371288764686,0.06296880178825726,0.17365234738810265,0.1763772843008684,0.1206919848190513,0.22140911690134923,0.23628409978939013,0.27810002928404276,0.3357502514312687,0.29761422598465037,0.3925603370792713,0.24995016237146694
bride,0.368308895863634,0.22623459052784645,0.9999999999999998,0.2808384941724522,0.3074690777310609,0.27044387145038806,0.2823369913934095,0.3667971355315598,0.3021892680968119,0.2380697945945257,0.28341009599658773,0.3237738263641562,0.37838511510290895,0.22924175311711248,0.3120948425907384,0.2909727180053965,0.2876800759749515,0.33834898816664816,0.2366980007434054,0.3763638413848803,0.38226956902018117,0.3470362007273793,0.37789123501076993,0.36018705575280086,0.21850539402622815,0.32078300374589097,0.36567077651679214
captain,0.37422940941592586,0.38574997610332984,0.2808384941724522,1.0,0.16933461595121524,0.27343816007475175,0.33542047952727505,0.39340297825191817,0.22401439691165326,0.3793435369661202,0.23884251227609676,0.36250072999559013,0.34713729714433583,0.2535659732054951,0.3414440663884619,0.4415482019616628,0.1935326657485208,0.3184656031465609,0.25084326089099396,0.2636166826712345,0.4260782763808394,0.31036678735828027,0.5602701627453537,0.3869100819336744,0.11758516876530489,0.37425992167639177,0.3023744023224757
cheerleaders,0.15917731733420515,0.10929522072000752,0.3074690777310609,0.16933461595121524,1.0,0.34033008134939813,0.2884451997558324,0.17143593140550972,0.2217006147875269,0.0844772283244345,0.15087429463315716,0.12405094396254446,0.22557180454536363,0.05930903794195408,0.15717718120821844,0.07800760126373552,0.3268727947769139,0.3077792252413477,0.14963239278210394,0.27730813638828644,0.16953614079349388,0.17976088555437264,0.2278052200263948,0.18877345809579316,0.24449906065796956,0.15688565102712027,0.3679792772623569
choir,0.2479054019785757,0.20384163610103956,0.27044387145038806,0.27343816007475175,0.34033008134939813,0.9999999999999998,0.20774847977102429,0.15135022932973197,0.2325580957620228,0.24198606718819837,0.2057558602817643,0.20068264742112085,0.23505881904028292,0.1482763764482412,0.20450667840890335,0.21229928365659356,0.33613514266841626,0.21167608254360615,0.15546116250374808,0.2542607266178386,0.22640012873478033,0.3333350697252966,0.262818235449233,0.2913095668188004,0.26312408492691286,0.26630424234069827,0.24667198673933677
clown,0.2923481194070072,0.23842960242252742,0.2823369913934095,0.33542047952727505,0.2884451997558324,0.20774847977102429,0.9999999999999999,0.40972704178918873,0.32383280797159175,0.21463708872255194,0.30773988007252573,0.32869876385264085,0.256931170249576,0.19091650888767286,0.28649850711993496,0.33693515623736525,0.2832315026242984,0.3146081139415663,0.3047658882578539,0.2360153130148681,0.30452074189041944,0.3143392424942342,0.36537974959719743,0.2653495310734588,0.19277725394051548,0.29042768074208647,0.2878015388555344
cowboy,0.4198462758710162,0.3904379652637058,0.3667971355315598,0.39340297825191817,0.17143593140550972,0.15135022932973197,0.40972704178918873,1.0,0.24583990945808565,0.29443107588387574,0.413222857965439,0.2599514488210958,0.38084587206087783,0.25768179824256854,0.3026676697929126,0.48096423613477257,0.13312374999977372,0.2884646311974087,0.2576823187131265,0.27325783477349386,0.4123784235850707,0.26387292080353997,0.43660659082440656,0.32353104913887765,0.15328001010522674,0.28272888026166,0.31857760479167774
dentist,0.2522181695822945,0.13482593472058058,0.3021892680968119,0.22401439691165326,0.2217006147875269,0.2325580957620228,0.32383280797159175,0.24583990945808565,1.0,0.4269287813696674,0.2785962757494126,0.3388378568313759,0.2027321111930963,0.18615841792271426,0.2977239016186728,0.20533347114766165,0.20465421637335024,0.417874186366175,0.27584445761390364,0.17653812354697695,0.35718371940543325,0.36906033346073885,0.2295275618596,0.4275277495429347,0.16323617326047168,0.29600267582466455,0.3081886342319775
doctor,0.41712031908385017,0.2835406220697274,0.2380697945945257,0.3793435369661202,0.0844772283244345,0.24198606718819837,0.21463708872255194,0.29443107588387574,0.4269287813696674,0.9999999999999998,0.28535590055585125,0.22691544770958472,0.35666887021689964,0.3750451321812841,0.3445747130122365,0.3672516919671718,0.23298912297852625,0.4611426302007333,0.22499532389751598,0.21180544880066066,0.3512547227250823,0.4047550350436431,0.3392189456357042,0.4776344754359232,0.2403095042143586,0.3153292302838473,0.2605294713871832
farmer,0.2887483909377424,0.21770591231222425,0.28341009599658773,0.23884251227609676,0.15087429463315716,0.2057558602817643,0.30773988007252573,0.413222857965439,0.2785962757494126,0.28535590055585125,0.9999999999999998,0.5066202599075976,0.23908488744389966,0.24198320222044922,0.37333824927001336,0.3388715706771679,0.09431238607619874,0.4282436866621583,0.36120511653984133,0.269681621058234,0.32340351678978174,0.32694210070906915,0.25976467793377367,0.4697383864592538,0.25637787864982997,0.36866696154988854,0.34710199283680654
fisherman,0.2122805111408359,0.1602327817892949,0.3237738263641562,0.36250072999559013,0.12405094396254446,0.20068264742112085,0.32869876385264085,0.2599514488210958,0.3388378568313759,0.22691544770958472,0.5066202599075976,1.0,0.1647584101923978,0.17948369082037652,0.39795925713894675,0.29161478575604494,0.28209789885987724,0.3767039475110865,0.3687322470678065,0.2823039309682077,0.4108848559911833,0.3940555417975803,0.46530086914766267,0.3661337614007998,0.1757583454843077,0.3907557631670642,0.3615926167399972
girl,0.5992794972558715,0.7700315994819682,0.37838511510290895,0.34713729714433583,0.22557180454536363,0.23505881904028292,0.256931170249576,0.38084587206087783,0.2027321111930963,0.35666887021689964,0.23908488744389966,0.1647584101923978,0.9999999999999998,0.3515573719461784,0.23956461109116556,0.5942960224564451,0.20826091815262027,0.3085319638004327,0.2485639305229156,0.21071484314306077,0.27670509151932154,0.2164895479400909,0.34193674282456543,0.4355637913956265,0.2861943816333665,0.3480792355277529,0.41507738781934334
judge,0.33413418526657124,0.3215449683844024,0.22924175311711248,0.2535659732054951,0.05930903794195408,0.1482763764482412,0.19091650888767286,0.25768179824256854,0.18615841792271426,0.3750451321812841,0.24198320222044922,0.17948369082037652,0.3515573719461784,1.0,0.1788516162079089,0.3799855435353561,0.12662115518032646,0.2032644364213123,0.14629387529137672,0.1683498375501783,0.20137248961499732,0.28639155973025576,0.20161007674753284,0.3556115266781059,0.22719428014949372,0.2678226698327013,0.1887946155680098
mailman,0.2844811246912582,0.2599143124804819,0.3120948425907384,0.3414440663884619,0.15717718120821844,0.20450667840890335,0.28649850711993496,0.3026676697929126,0.2977239016186728,0.3445747130122365,0.37333824927001336,0.39795925713894675,0.23956461109116556,0.1788516162079089,1.0,0.37551114236411687,0.2658859246267794,0.2993517661177453,0.28641271056005035,0.29411799670952177,0.34822617889869445,0.3226728646100019,0.35735621719796096,0.3642058666859316,0.21029175172241232,0.28712084314341446,0.27499574320474574
man,0.4922457667563025,0.6588371288764686,0.2909727180053965,0.4415482019616628,0.07800760126373552,0.21229928365659356,0.33693515623736525,0.48096423613477257,0.20533347114766165,0.3672516919671718,0.3388715706771679,0.29161478575604494,0.5942960224564451,0.3799855435353561,0.37551114236411687,0.9999999999999998,0.11976804207219682,0.21095256088958136,0.271618740615428,0.18276305088210576,0.2921840617972299,0.34345523103103304,0.3085805231583263,0.40896605778085304,0.20847190678505978,0.3529574292800145,0.25126648245042205
nun,0.14872058650247333,0.06296880178825726,0.2876800759749515,0.1935326657485208,0.3268727947769139,0.33613514266841626,0.2832315026242984,0.13312374999977372,0.20465421637335024,0.23298912297852625,0.09431238607619874,0.28209789885987724,0.20826091815262027,0.12662115518032646,0.2658859246267794,0.11976804207219682,1.0,0.35823538220986406,0.13595158524428308,0.31078043658746046,0.2842429332235301,0.45036894907546077,0.338003377707923,0.2296733727237511,0.106763854675341,0.20609279143255388,0.30196844376802723
nurse,0.3373530418192716,0.17365234738810265,0.33834898816664816,0.3184656031465609,0.3077792252413477,0.21167608254360615,0.3146081139415663,0.2884646311974087,0.417874186366175,0.4611426302007333,0.4282436866621583,0.3767039475110865,0.3085319638004327,0.2032644364213123,0.2993517661177453,0.21095256088958136,0.35823538220986406,0.9999999999999998,0.28598500049899256,0.2798228853817104,0.2370505244050345,0.35714773377317843,0.3686452706804323,0.48228309646898215,0.2955264751733846,0.3474217943813185,0.4625195432374585
painter,0.23412555663495827,0.1763772843008684,0.2366980007434054,0.25084326089099396,0.14963239278210394,0.15546116250374808,0.3047658882578539,0.2576823187131265,0.27584445761390364,0.22499532389751598,0.36120511653984133,0.3687322470678065,0.2485639305229156,0.14629387529137672,0.28641271056005035,0.271618740615428,0.13595158524428308,0.28598500049899256,1.0,0.269098050825314,0.47389558429663814,0.30544328380518326,0.3237705258117476,0.408225487401375,0.11918113222794757,0.31787587928772776,0.31045236131825393
pilgrim,0.14096653802012105,0.1206919848190513,0.3763638413848803,0.2636166826712345,0.27730813638828644,0.2542607266178386,0.2360153130148681,0.27325783477349386,0.17653812354697695,0.21180544880066066,0.269681621058234,0.2823039309682077,0.21071484314306077,0.1683498375501783,0.29411799670952177,0.18276305088210576,0.31078043658746046,0.2798228853817104,0.269098050825314,1.0,0.3040675461720922,0.32919544127863354,0.2846861472236166,0.14184324750535038,0.21165541012573774,0.19336988500007268,0.2629115662990782
