,bird,bomb,bullet,cage,cannon,cigar,cigarette,coins,cross,fruit,grenade,heart,knot,license plate,mask,menu,money,parachute,passports,penny,saddle,shapes,steam,stethoscope,ticket,vegetables,wheel,whip
bird,1.0,0.3275615910398606,0.32706325145381054,0.45752180695323186,0.34876449269974186,0.2852984549219377,0.3353562352828867,0.23005489229830978,0.265218200802362,0.3741729419755466,0.3145271718250494,0.36165149468354296,0.35073613601332476,0.17132241428427353,0.20326163571645328,0.19714954571476673,0.3412510163331681,0.3051312541357365,0.18342138820905818,0.30278165755536923,0.3341133381659165,0.27388513096315514,0.227415872121966,0.23163983458236714,0.22037468295260698,0.29152724977146593,0.3595428723654127,0.187001137281403
bomb,0.3275615910398606,1.0,0.4135407939228052,0.31971623547789685,0.37615637028460625,0.405152085047749,0.42212137841715713,0.28703241153648473,0.31621005817577474,0.2148131122823409,0.4791776733677784,0.3818849464216443,0.30841278222314683,0.24846818213300392,0.3109533961886366,0.22175746209742853,0.33830991012078226,0.4142261687425881,0.2536911469876221,0.26250775931620707,0.2443652547340186,0.3025019673246556,0.25773513659729264,0.33855226854989007,0.3027045876572816,0.2041906296267979,0.2800189461441327,0.38013129110735966
bullet,0.32706325145381054,0.4135407939228052,1.0,0.42074033999726523,0.4141428996028038,0.3191282514429019,0.3994490158531738,0.26273788425691214,0.3920078019129084,0.3351302700537928,0.37237986876647833,0.3874104431012464,0.3216092143286251,0.2837693145155077,0.36058376976733064,0.37775188298196083,0.3112651289806475,0.4642167416045935,0.2938963510212065,0.3919710091603965,0.32481015742799346,0.36948121200904194,0.22679295895049623,0.2722430739434587,0.3450623034575697,0.3121180561810736,0.4373852125587163,0.3222151622170413
cage,0.45752180695323186,0.31971623547789685,0.42074033999726523,1.0,0.32578270286539124,0.2522843261215373,0.2953554284446587,0.22030514047662209,0.3088025284900813,0.294815092192519,0.2764478664180625,0.2733788180865502,0.32419778089723406,0.17552810940084806,0.4128158260170811,0.23810553928949563,0.24002894041074185,0.35783118321134477,0.21834956006005835,0.2395020846084942,0.4074544017091275,0.2374460520306214,0.20564585365452603,0.21183434667600087,0.22242775957385752,0.3162487277168987,0.47209141132861565,0.2795453449665851
cannon,0.34876449269974186,0.37615637028460625,0.4141428996028038,0.32578270286539124,1.0,0.2761586754888874,0.2958456555957505,0.26303286859631125,0.3415821242984487,0.3024930435822101,0.27543700626249423,0.30173503030017934,0.273227276632227,0.18896318333170392,0.2248287022812041,0.28809541362571045,0.24816109046118384,0.35037393179229803,0.2680766745629969,0.2893516652168464,0.24825665269640973,0.23229636965159772,0.20653170883777305,0.25189327830674235,0.21683370805359614,0.20226737618931012,0.28028844233950156,0.3155240379957591
cigar,0.2852984549219377,0.405152085047749,0.3191282514429019,0.2522843261215373,0.2761586754888874,1.0,0.5910692873264917,0.33803459433306826,0.25155760758913226,0.2222322341237053,0.3913306858326451,0.33930169076192596,0.23672005527186601,0.22739247271280505,0.32797492205687373,0.1921060079591579,0.2488540281025835,0.31898393577174655,0.2522835065524215,0.19046259812436916,0.2262249715987419,0.274561523343545,0.22426152206816208,0.2169790308032723,0.3054658867836695,0.16689228766716357,0.1814255974331137,0.13819232195702202
cigarette,0.3353562352828867,0.42212137841715713,0.3994490158531738,0.2953554284446587,0.2958456555957505,0.5910692873264917,1.0,0.31695261868021074,0.2768764898053908,0.34079362201299457,0.4042555095616651,0.30122055207389264,0.2575044298670919,0.2831159143855857,0.31869942415404984,0.23852422444106336,0.2930072050060555,0.43031554200447886,0.22174085685918943,0.2374593340077551,0.3304345405830236,0.27888039037897805,0.26347758663278664,0.24555853289631457,0.24785620855292512,0.3196951298045443,0.2953637201708059,0.29860839528648464
coins,0.23005489229830978,0.28703241153648473,0.26273788425691214,0.22030514047662209,0.26303286859631125,0.33803459433306826,0.31695261868021074,1.0,0.3737162465927566,0.3079129975617644,0.25079798637723427,0.20117439250015168,0.16633821834375462,0.2438332457009248,0.2212029074312073,0.24837530097936567,0.43362687656427723,0.2800896204476391,0.2727529688861263,0.49971060391291444,0.2771224936382749,0.3991247519627785,0.28262278241043615,0.18692975012033197,0.4564114257245282,0.21704203828046442,0.42215789122832215,0.17229881790595747
cross,0.265218200802362,0.31621005817577474,0.3920078019129084,0.3088025284900813,0.3415821242984487,0.25155760758913226,0.2768764898053908,0.3737162465927566,1.0,0.30810701582106303,0.24127536659303295,0.4223109791132301,0.32982700017424316,0.3086613536176531,0.27584829253167586,0.3253977150961367,0.2735558018284421,0.32235318484976316,0.3582967058530324,0.2924759503524569,0.29823640141324614,0.39302309848702066,0.23295654802618038,0.2789880155927327,0.402982006517023,0.28376144580951546,0.39447046471857505,0.2964797285010883
fruit,0.3741729419755466,0.2148131122823409,0.3351302700537928,0.294815092192519,0.3024930435822101,0.2222322341237053,0.34079362201299457,0.3079129975617644,0.30810701582106303,1.0,0.28421344400805393,0.29403964243306524,0.2062092641087071,0.19197625470409851,0.24221316195935194,0.3307151955697124,0.2870764310469466,0.3186873844736431,0.07436734165631653,0.20148673116114113,0.22370489583881303,0.24028815445424734,0.18451397769259414,0.19541104009752142,0.22623619730885658,0.4773077613126461,0.37956682087442273,0.24553894672145227
grenade,0.3145271718250494,0.4791776733677784,0.37237986876647833,0.2764478664180625,0.27543700626249423,0.3913306858326451,0.4042555095616651,0.25079798637723427,0.24127536659303295,0.28421344400805393,1.0,0.23347253459285222,0.12564692292270507,0.24550405300920297,0.23720710093828135,0.2277217234021116,0.23361215721109974,0.35537290424442436,0.07086439713246429,0.2914463763312045,0.13934074377002992,0.1646572395500856,0.10038060696013484,0.2610099785694051,0.1775354591272884,0.237984079414165,0.2914970066740613,0.2109251183827694
heart,0.36165149468354296,0.3818849464216443,0.3874104431012464,0.2733788180865502,0.30173503030017934,0.33930169076192596,0.30122055207389264,0.20117439250015168,0.4223109791132301,0.29403964243306524,0.23347253459285222,0.9999999999999998,0.2623342758373991,0.2168413983800287,0.3679370939228941,0.2613989876309555,0.345251536181052,0.3464626013151695,0.21881833643116533,0.2774051032172721,0.27716266298070913,0.40536160944339317,0.22413362458329544,0.44332931004866327,0.308830747341056,0.2467005460657894,0.275920444245793,0.20522371161625907
knot,0.35073613601332476,0.30841278222314683,0.3216092143286251,0.32419778089723406,0.273227276632227,0.23672005527186601,0.2575044298670919,0.16633821834375462,0.32982700017424316,0.2062092641087071,0.12564692292270507,0.2623342758373991,0.9999999999999998,0.23469937569804478,0.24999561115805646,0.2073164741915633,0.22361718627266658,0.30190849827327626,0.3614890619539105,0.18570096236277478,0.2935029627079594,0.2924530390057598,0.1346346563265437,0.24932290512024968,0.24594195116440765,0.18603550066003705,0.33266637408813715,0.30566981830483675
license plate,0.17132241428427353,0.24846818213300392,0.2837693145155077,0.17552810940084806,0.18896318333170392,0.22739247271280505,0.2831159143855857,0.2438332457009248,0.3086613536176531,0.19197625470409851,0.24550405300920297,0.2168413983800287,0.23469937569804478,1.0,0.3145960159879403,0.24652469363383278,0.25927909595651655,0.26556738759519805,0.27956933891145064,0.18822063957208635,0.20699871507085765,0.3087734691448022,0.19761323533735586,0.2440422440220752,0.4222807807002791,0.23129571723822884,0.3061701035636527,0.24952243016028341
mask,0.20326163571645328,0.3109533961886366,0.36058376976733064,0.4128158260170811,0.2248287022812041,0.32797492205687373,0.31869942415404984,0.2212029074312073,0.27584829253167586,0.24221316195935194,0.23720710093828135,0.3679370939228941,0.24999561115805646,0.3145960159879403,1.0,0.17951988456964074,0.14369298896854388,0.30531954522334026,0.25461893361764054,0.17969425595920074,0.32521674032736725,0.2665077905365273,0.1953076809363764,0.3773691044044696,0.168959334501519,0.21819634329276671,0.22381510993503595,0.19645410264377816
menu,0.19714954571476673,0.22175746209742853,0.37775188298196083,0.23810553928949563,0.28809541362571045,0.1921060079591579,0.23852422444106336,0.24837530097936567,0.3253977150961367,0.3307151955697124,0.2277217234021116,0.2613989876309555,0.2073164741915633,0.24652469363383278,0.17951988456964074,1.0,0.2399590577783488,0.24296910913098801,0.28015759091438475,0.20043367663895584,0.27210996694202305,0.24056173112646428,0.2697543051470854,0.24813341309166848,0.38058201744938214,0.3823728237131976,0.3577860714387858,0.19667101131950449
money,0.3412510163331681,0.33830991012078226,0.3112651289806475,0.24002894041074185,0.24816109046118384,0.2488540281025835,0.2930072050060555,0.43362687656427723,0.2735558018284421,0.2870764310469466,0.23361215721109974,0.345251536181052,0.22361718627266658,0.25927909595651655,0.14369298896854388,0.2399590577783488,1.0,0.28732370227284987,0.27468374070631474,0.3602894779171758,0.1900822682469413,0.31061666624636297,0.21453144939492297,0.17868620025585735,0.45472388281147025,0.230537625874916,0.3919650295143209,0.26820630717335636
parachute,0.3051312541357365,0.4142261687425881,0.4642167416045935,0.35783118321134477,0.35037393179229803,0.31898393577174655,0.43031554200447886,0.2800896204476391,0.32235318484976316,0.3186873844736431,0.35537290424442436,0.3464626013151695,0.30190849827327626,0.26556738759519805,0.30531954522334026,0.24296910913098801,0.28732370227284987,0.9999999999999998,0.18769611123277485,0.24270763910917892,0.28009078232644236,0.32278480763926765,0.20502406367986337,0.2860168244857624,0.2987383866754967,0.3518074673817799,0.3463964258219958,0.2938384137051806
passports,0.18342138820905818,0.2536911469876221,0.2938963510212065,0.21834956006005835,0.2680766745629969,0.2522835065524215,0.22174085685918943,0.2727529688861263,0.3582967058530324,0.07436734165631653,0.07086439713246429,0.21881833643116533,0.3614890619539105,0.27956933891145064,0.25461893361764054,0.28015759091438475,0.27468374070631474,0.18769611123277485,1.0,0.16452750841626562,0.23354021066276842,0.3158969268459215,0.2896145103907466,0.22671564981462355,0.3836665939461694,0.2572471121461808,0.19563037740116995,0.0825466207711043
