,vehicles,ambulance,blimp,bus,canoe,car,helicopter,hot air balloon,jeep,motorcycle,parachute,rocket,roller coaster,skateboard,sled,stroller,submarine,tank,tractor,train,truck,unicycle,van,wheelchair,golf cart
vehicles,0.9999999999999998,0.30469343788919523,0.30422589277504564,0.336316393088392,0.2290326322628845,0.5936130055426065,0.33728392978167565,0.24081683088022365,0.38209051159093654,0.477468508798208,0.34230188334809697,0.3470833036822627,0.195601216106424,0.3656747465628656,0.3054341479075594,0.3123273589187723,0.2190978506042225,0.4371392241289649,0.42260877914510697,0.2832245235267494,0.5942969542714531,0.3444826606014847,0.33940414040901445,0.40929986991379386,0.3589582709855035
ambulance,0.30469343788919523,1.0,0.3250909931286261,0.24210970391213493,0.242866573655669,0.24860226635841953,0.3402710000664677,0.2755317069540788,0.28504999364460937,0.33227054310789317,0.327030738478733,0.22875650558038552,0.2706882053859575,0.24864345540161392,0.25659263881315475,0.1826537869211955,0.29960447576562,0.2487228203539531,0.3052354417015444,0.18895622472894025,0.31294318495439266,0.2774037839538933,0.3006019128298205,0.3317234648125076,0.22789336900173462
blimp,0.30422589277504564,0.3250909931286261,1.0,0.1289860820780544,0.29773180320133985,0.25233825516625574,0.4353579350665071,0.6040555747962219,0.2868503420532258,0.2898758127079204,0.4844911166488195,0.39129068275845846,0.36357401365180075,0.2800973440302488,0.3825269160946656,0.23104561308816252,0.404146303515599,0.30423766821759113,0.2574213487780932,0.2812351875509371,0.35883117872364545,0.3427331846878543,0.27610513249232316,0.2446729233107936,0.261364932567544
bus,0.336316393088392,0.24210970391213493,0.1289860820780544,0.9999999999999998,0.3860368396352529,0.5388189405544868,0.3379119362779013,0.2874923278088921,0.2812897265926696,0.38129213698056463,0.34128097463665963,0.291358182878636,0.2739559708409456,0.3339126735136807,0.3651973681636833,0.33927951283516067,0.22501679760468674,0.3876303066975004,0.36771361501893196,0.5321893956302441,0.4658009975930921,0.36055669209478847,0.50813581470564,0.399977670598074,0.3099748113605827
canoe,0.2290326322628845,0.242866573655669,0.29773180320133985,0.3860368396352529,1.0,0.31998185057038,0.3281288408837748,0.361380086217415,0.3478358155959229,0.3295485686690145,0.35074797726723106,0.336627273906726,0.28713362378505114,0.3306345248240332,0.5203619305107856,0.3273471945985017,0.4453064653318759,0.34819106801674415,0.3848767063623193,0.3233088746937247,0.30349888763709054,0.463951589270879,0.34263692391094547,0.4115817860660762,0.36807722385215413
car,0.5936130055426065,0.24860226635841953,0.25233825516625574,0.5388189405544868,0.31998185057038,1.0,0.3686350563604326,0.281968757651468,0.4211492528365516,0.5511957767502359,0.3164178770430246,0.31818280812376876,0.31553028670093486,0.4222103133850912,0.35605079671182827,0.36359657135066115,0.3362967026186994,0.4233703503767088,0.40218965379223204,0.4546461013659876,0.565866106542259,0.34332852442131245,0.4543137037446593,0.38484203011439333,0.44845188293101657
helicopter,0.33728392978167565,0.3402710000664677,0.4353579350665071,0.3379119362779013,0.3281288408837748,0.3686350563604326,1.0,0.41265204705198044,0.2997179161820138,0.4086824695128479,0.46563514204697065,0.41945575928703627,0.2960131872043419,0.38710829290174065,0.30200999068867995,0.3081894005222626,0.3801286193973217,0.31409508634791883,0.33690161008916353,0.38835890591464706,0.4012812581950713,0.4711987038796659,0.32875766044576527,0.29510494895706807,0.41212337880171157
hot air balloon,0.24081683088022365,0.2755317069540788,0.6040555747962219,0.2874923278088921,0.361380086217415,0.281968757651468,0.41265204705198044,1.0,0.20763882921485421,0.3561736892214913,0.5391986918009024,0.4412662809369766,0.40821362332959754,0.24148258581214577,0.37284569211362006,0.19976423611615346,0.39452627587294065,0.3701517989861729,0.27413618234407755,0.361914672319692,0.2890347345542087,0.3834841894831529,0.34166955855260017,0.25699719917615593,0.3489826302882779
jeep,0.38209051159093654,0.28504999364460937,0.2868503420532258,0.2812897265926696,0.3478358155959229,0.4211492528365516,0.2997179161820138,0.20763882921485421,1.0,0.438089341550167,0.30460892225621405,0.2351165525344303,0.2875407419011218,0.35546550024510637,0.3192350161574127,0.32920911873468073,0.3375341347025511,0.2754166041667796,0.36141822162546555,0.2445464890000848,0.4253307320844314,0.22652776451608947,0.3306780005447889,0.19099538221783885,0.30989655443751885
motorcycle,0.477468508798208,0.33227054310789317,0.2898758127079204,0.38129213698056463,0.3295485686690145,0.5511957767502359,0.4086824695128479,0.3561736892214913,0.438089341550167,1.0,0.3610071380311779,0.39071729362328633,0.35305364247395454,0.41407334121985095,0.3434599764402849,0.3447770353243742,0.24616396868340595,0.4545402520224503,0.44617824257766925,0.3021146993968502,0.5076490816388955,0.4240809666269588,0.36775530866877193,0.30127067994114065,0.46434679675694746
parachute,0.34230188334809697,0.327030738478733,0.4844911166488195,0.34128097463665963,0.35074797726723106,0.3164178770430246,0.46563514204697065,0.5391986918009024,0.30460892225621405,0.3610071380311779,1.0,0.4468636329682152,0.40857221652415576,0.3512922560810907,0.35375978057480184,0.22967232004668103,0.41250349835176425,0.3958997784158831,0.35058239973489647,0.3454662958269772,0.3776569070771081,0.34559120064393456,0.37360458516505535,0.28255670782789577,0.3356403815629715
