,airplane,ambulance,anchor,blimp,bus,canoe,car,golf cart,helicopter,hot-air balloon,motorcycle,rocket,sails,ship,stroller,submarine,tank,tire,tractor,train,truck,unicycle,van,wheelchair
airplane,1.0,0.21515325628180737,0.29836283367829974,0.40771408099507545,0.4613444815920352,0.36693720709622224,0.43322620022280767,0.361375268339304,0.41971921274006463,0.40272816124771116,0.40596765505683474,0.35467047960965936,0.2951436379762372,0.46431976516738294,0.2650914893196573,0.40650806583860666,0.3595777899423891,0.36417881849788314,0.3412045632824139,0.39147706094639645,0.39370941155244354,0.3027762067255658,0.386963256025714,0.30144386540005574
ambulance,0.21515325628180737,0.9999999999999998,0.28850091054516724,0.3250910040747247,0.24210973616497777,0.24286654705325939,0.24860226125994456,0.227893399486937,0.3402710065645771,0.30654032764022787,0.33227060117746365,0.22875647110338393,0.1983802702192904,0.24493888328686653,0.18265380258203512,0.29960449922787236,0.24872287558406025,0.2121091614250621,0.30523544958903637,0.18895627858813158,0.3129431776539411,0.27740377982529596,0.300601896925067,0.33172348964973075
anchor,0.29836283367829974,0.28850091054516724,1.0,0.24833593056839232,0.28914290423637967,0.40659630477268605,0.27105912227157725,0.2270856343484704,0.2902855422747821,0.289786409643064,0.3293595732261695,0.28798620568210853,0.378711453122754,0.42841418109249063,0.30962018410718284,0.3736545437697707,0.3888545815710778,0.4039666176823201,0.36802440298484496,0.299645706931127,0.3242331655497215,0.26057478913068277,0.33733812164723365,0.22020262489858333
blimp,0.40771408099507545,0.3250910040747247,0.24833593056839232,1.0,0.12898605942884167,0.2977318018216346,0.25233828811475845,0.26136492582485427,0.4353579118922286,0.6158551783425132,0.28987583585985555,0.39129069690842644,0.3962336928890281,0.379174372837918,0.23104563072894146,0.40414636738228094,0.3042376746020117,0.32474155955871353,0.2574213501214021,0.2812352769062587,0.35883118241838186,0.34273319711164574,0.27610512921627595,0.24467294180194465
bus,0.4613444815920352,0.24210973616497777,0.28914290423637967,0.12898605942884167,1.0,0.3860368354351462,0.5388190041072897,0.30997481355959755,0.3379119116934268,0.20350511561663798,0.38129215389776605,0.29135817944455544,0.2962205073006169,0.4367439246995941,0.3392795622949949,0.2250168563146372,0.3876302870026822,0.34412963278509157,0.3677135923112609,0.5321894002037076,0.4658009772517485,0.36055672490319646,0.5081358306959531,0.39997763249962603
canoe,0.36693720709622224,0.24286654705325939,0.40659630477268605,0.2977318018216346,0.3860368354351462,1.0,0.31998186307541865,0.3680772051964507,0.3281288027868865,0.3334596692333509,0.3295485435211579,0.3366272729450155,0.5131227149749811,0.5059989170393706,0.32734714753462235,0.44530641190553144,0.3481910963789432,0.3442280006615063,0.384876664863547,0.3233088790592,0.3034988506599835,0.46395159206034065,0.34263688523243596,0.4115817635043262
car,0.43322620022280767,0.24860226125994456,0.27105912227157725,0.25233828811475845,0.5388190041072897,0.31998186307541865,1.0,0.44845184851538034,0.3686350791064208,0.22120065360347474,0.5511957640905701,0.31818284736996993,0.2408068463087768,0.4932979422229884,0.36359662554692185,0.33629669029073583,0.42337035581661686,0.4643125781494062,0.4021896563427242,0.45464617920120953,0.5658661348334884,0.3433286546161538,0.45431375352623404,0.3848421067147354
golf cart,0.361375268339304,0.227893399486937,0.2270856343484704,0.26136492582485427,0.30997481355959755,0.3680772051964507,0.44845184851538034,0.9999999999999998,0.41212334747770885,0.3355175624375124,0.4643468045598793,0.3937744309010103,0.1530161739617838,0.23551961922583609,0.38911412625900166,0.26617424556247427,0.3968143839264565,0.3707932435661836,0.4258334622607467,0.28170358112965643,0.4120417938751686,0.4826574382645128,0.20820984417234223,0.4004998535290555
helicopter,0.41971921274006463,0.3402710065645771,0.2902855422747821,0.4353579118922286,0.3379119116934268,0.3281288027868865,0.3686350791064208,0.41212334747770885,1.0,0.34412604064352104,0.40868249135354917,0.41945579239259145,0.28220109003340554,0.349314722526586,0.3081894817602333,0.3801286296050428,0.3140950969841152,0.23844536326151533,0.3369016409068597,0.3883589480921027,0.4012812748256036,0.47119875665245714,0.32875765702444126,0.29510490824214086
hot-air balloon,0.40272816124771116,0.30654032764022787,0.289786409643064,0.6158551783425132,0.20350511561663798,0.3334596692333509,0.22120065360347474,0.3355175624375124,0.34412604064352104,1.0,0.3110610305385936,0.5199978596723646,0.25484781946125357,0.3114925531528485,0.20347504809046513,0.3930465525386455,0.4113582481700436,0.35873925016551944,0.29735877984915593,0.27672679281738977,0.3134418015964173,0.37620236775178084,0.32218257779930537,0.22835968996661216
motorcycle,0.40596765505683474,0.33227060117746365,0.3293595732261695,0.28987583585985555,0.38129215389776605,0.3295485435211579,0.5511957640905701,0.4643468045598793,0.40868249135354917,0.3110610305385936,1.0,0.39071723609067877,0.2708388942240363,0.3778865579758537,0.34477702534006116,0.24616398774038872,0.4545403143198855,0.46190465287208127,0.4461781903867462,0.3021147502448034,0.5076490418399692,0.42408102028756467,0.36775529790230965,0.3012707150377306
rocket,0.35467047960965936,0.22875647110338393,0.28798620568210853,0.39129069690842644,0.29135817944455544,0.3366272729450155,0.31818284736996993,0.3937744309010103,0.41945579239259145,0.5199978596723646,0.39071723609067877,1.0,0.2541653858278081,0.3393282721482356,0.2782729652730527,0.32451984988126004,0.43624194948959305,0.40883672037462393,0.3619703825736992,0.335341547989211,0.4229025129070395,0.38142355962968033,0.3310249196627856,0.24915972737917003
sails,0.2951436379762372,0.1983802702192904,0.378711453122754,0.3962336928890281,0.2962205073006169,0.5131227149749811,0.2408068463087768,0.1530161739617838,0.28220109003340554,0.25484781946125357,0.2708388942240363,0.2541653858278081,1.0,0.5282391624467506,0.16917723697273446,0.3216366389585844,0.23495434295959639,0.34699181753696884,0.2652050319093192,0.26785788137547717,0.240024362216138,0.23254134624619716,0.24271528927646746,0.21274089930141538
ship,0.46431976516738294,0.24493888328686653,0.42841418109249063,0.379174372837918,0.4367439246995941,0.5059989170393706,0.4932979422229884,0.23551961922583609,0.349314722526586,0.3114925531528485,0.3778865579758537,0.3393282721482356,0.5282391624467506,1.0,0.3083015581449755,0.5074210690703121,0.4452575325084869,0.4211349666850941,0.3598874427623042,0.4883264914978469,0.45281236760725974,0.23897705696440075,0.3763289753141472,0.29196895941475276
stroller,0.2650914893196573,0.18265380258203512,0.30962018410718284,0.23104563072894146,0.3392795622949949,0.32734714753462235,0.36359662554692185,0.38911412625900166,0.3081894817602333,0.20347504809046513,0.34477702534006116,0.2782729652730527,0.16917723697273446,0.3083015581449755,1.0,0.197237530766864,0.24818727199154145,0.26913881805789697,0.35091761617521056,0.23467466443502827,0.3517324200113605,0.3483234482973139,0.2869707780809556,0.42292459349344225
submarine,0.40650806583860666,0.29960449922787236,0.3736545437697707,0.40414636738228094,0.2250168563146372,0.44530641190553144,0.33629669029073583,0.26617424556247427,0.3801286296050428,0.3930465525386455,0.24616398774038872,0.32451984988126004,0.3216366389585844,0.5074210690703121,0.197237530766864,0.9999999999999998,0.4009088114142687,0.2554381359051652,0.19084710298423402,0.37320218006664674,0.23523081867134166,0.2872457420242578,0.25057685577810473,0.24294694019344032
tank,0.3595777899423891,0.24872287558406025,0.3888545815710778,0.3042376746020117,0.3876302870026822,0.3481910963789432,0.42337035581661686,0.3968143839264565,0.3140950969841152,0.4113582481700436,0.4545403143198855,0.43624194948959305,0.23495434295959639,0.4452575325084869,0.24818727199154145,0.4009088114142687,1.0,0.4269044883825319,0.374719833851181,0.3420201025670363,0.47597654381551124,0.3329558975638047,0.4193678846270412,0.2731727854545738
tire,0.36417881849788314,0.2121091614250621,0.4039666176823201,0.32474155955871353,0.34412963278509157,0.3442280006615063,0.4643125781494062,0.3707932435661836,0.23844536326151533,0.35873925016551944,0.46190465287208127,0.40883672037462393,0.34699181753696884,0.4211349666850941,0.26913881805789697,0.2554381359051652,0.4269044883825319,1.0,0.4484663676752876,0.3273771617382131,0.44938945341313397,0.36282304159568124,0.3200972464787941,0.34995885862813636
tractor,0.3412045632824139,0.30523544958903637,0.36802440298484496,0.2574213501214021,0.3677135923112609,0.384876664863547,0.4021896563427242,0.4258334622607467,0.3369016409068597,0.29735877984915593,0.4461781903867462,0.3619703825736992,0.2652050319093192,0.3598874427623042,0.35091761617521056,0.19084710298423402,0.374719833851181,0.4484663676752876,1.0,0.36892000300811634,0.571879567904878,0.3352537971278473,0.36038587376992304,0.34173868713723443
train,0.39147706094639645,0.18895627858813158,0.299645706931127,0.2812352769062587,0.5321894002037076,0.3233088790592,0.45464617920120953,0.28170358112965643,0.3883589480921027,0.27672679281738977,0.3021147502448034,0.335341547989211,0.26785788137547717,0.4883264914978469,0.23467466443502827,0.37320218006664674,0.3420201025670363,0.3273771617382131,0.36892000300811634,0.9999999999999999,0.4074071033870157,0.3170166052391359,0.3334905627874718,0.3304177987106258
truck,0.39370941155244354,0.3129431776539411,0.3242331655497215,0.35883118241838186,0.4658009772517485,0.3034988506599835,0.5658661348334884,0.4120417938751686,0.4012812748256036,0.3134418015964173,0.5076490418399692,0.4229025129070395,0.240024362216138,0.45281236760725974,0.3517324200113605,0.23523081867134166,0.47597654381551124,0.44938945341313397,0.571879567904878,0.4074071033870157,1.0,0.3192601013072778,0.512161564745987,0.32333669474912996
unicycle,0.3027762067255658,0.27740377982529596,0.26057478913068277,0.34273319711164574,0.36055672490319646,0.46395159206034065,0.3433286546161538,0.4826574382645128,0.47119875665245714,0.37620236775178084,0.42408102028756467,0.38142355962968033,0.23254134624619716,0.23897705696440075,0.3483234482973139,0.2872457420242578,0.3329558975638047,0.36282304159568124,0.3352537971278473,0.3170166052391359,0.3192601013072778,1.0,0.33681767689466335,0.47810448079937573
van,0.386963256025714,0.300601896925067,0.33733812164723365,0.27610512921627595,0.5081358306959531,0.34263688523243596,0.45431375352623404,0.20820984417234223,0.32875765702444126,0.32218257779930537,0.36775529790230965,0.3310249196627856,0.24271528927646746,0.3763289753141472,0.2869707780809556,0.25057685577810473,0.4193678846270412,0.3200972464787941,0.36038587376992304,0.3334905627874718,0.512161564745987,0.33681767689466335,1.0,0.35097249204797387
wheelchair,0.30144386540005574,0.33172348964973075,0.22020262489858333,0.24467294180194465,0.39997763249962603,0.4115817635043262,0.3848421067147354,0.4004998535290555,0.29510490824214086,0.22835968996661216,0.3012707150377306,0.24915972737917003,0.21274089930141538,0.29196895941475276,0.42292459349344225,0.24294694019344032,0.2731727854545738,0.34995885862813636,0.34173868713723443,0.3304177987106258,0.32333669474912996,0.47810448079937573,0.35097249204797387,1.0
