CategoryName,Average_Similarity,Matrix_Type
Accessories,0.3560162424687443,Interitem
Bathroom Items and Toiletries,0.3648633091530145,Interitem
Birds,0.4036927239391052,Interitem
Body Parts,0.3721247175115607,Interitem
Clothing,0.4108514157117461,Interitem
Food,0.3523955465851907,Interitem
Fruits & Vegetables,0.35760381960202225,Interitem
Furnishings & Decor,0.31389004096441525,Interitem
Kitchen Items,0.3394392286103757,Interitem
Mammals,0.3688617033308474,Interitem
Musical Instruments,0.42996145712518424,Interitem
Mythical & Mystical,0.28651112019433017,Interitem
Nature,0.3163132850239765,Interitem
Non Mammal,0.35998226552107804,Interitem
Places and Buildings,0.2805854070450004,Interitem
School & Office Supplies,0.33604114022022086,Interitem
Structure,0.29735458422622146,Interitem
Tools & Hardware,0.31024638230856144,Interitem
Toys Games & Hobbies,0.2872352808877476,Interitem
Types of People,0.29436737873924707,Interitem
Uncategorized,0.2812114324741432,Interitem
Vehicles,0.3447458662922224,Interitem
Accessories,0.2825973313788458,Label
Bathroom Items and Toiletries,0.16649864703018896,Label
Birds,0.46762898189606594,Label
Body Parts,0.37579082852113643,Label
Clothing,0.45342297803646003,Label
Food,0.38515786820693654,Label
Fruits & Vegetables,0.36349378742775773,Label
Furnishings & Decor,0.25258883915310587,Label
Kitchen Items,0.3024045032916186,Label
Mammals,0.34248711232804074,Label
Musical Instruments,0.4890340943758045,Label
Mythical & Mystical,0.21902731104498285,Label
Nature,0.2420381278997218,Label
Non Mammal,0.29123312118532285,Label
Places and Buildings,0.2270526206552501,Label
School & Office Supplies,0.22580876000328784,Label
Structure,0.2779873601481072,Label
Tools & Hardware,0.24617250518021572,Label
Toys Games & Hobbies,0.143173214023472,Label
Types of People,0.18091429104485213,Label
Uncategorized,0.23217278594842702,Label
Vehicles,0.3511893276573211,Label
