CategoryName,Average_Similarity
Accessories,0.3560162424687443
Bathroom Items and Toiletries,0.3648633091530145
Birds,0.4036927239391052
Body Parts,0.3721247175115607
Clothing,0.4108514157117461
Food,0.3523955465851907
Fruits & Vegetables,0.35760381960202225
Furnishings & Decor,0.31389004096441525
Kitchen Items,0.3394392286103757
Mammals,0.3688617033308474
Musical Instruments,0.42996145712518424
Mythical & Mystical,0.28651112019433017
Nature,0.3163132850239765
Non Mammal,0.35998226552107804
Places and Buildings,0.2805854070450004
School & Office Supplies,0.33604114022022086
Structure,0.29735458422622146
Tools & Hardware,0.31024638230856144
Toys Games & Hobbies,0.2872352808877476
Types of People,0.29436737873924707
Uncategorized,0.2812114324741432
Vehicles,0.3447458662922224
