CategoryName,Average_Similarity
Accessories,0.2825973253359322
Bathroom Items and Toiletries,0.14903730214091562
Birds,0.46762897874534404
Body Parts,0.3744143068500675
Clothing,0.4534229759432531
Food,0.39021885821554714
Fruits & Vegetables,0.3634937920219894
Furnishings & Decor,0.2403890094625852
Kitchen Items,0.2916151980620386
Mammals,0.3426565054486293
Musical Instruments,0.48903409024308986
Mythical & Mystical,0.2157678339053422
Nature,0.23974944853865016
Non Mammal,0.291233118510302
Places and Buildings,0.2225865209146929
School & Office Supplies,0.21490057635631932
Structure,0.28065710719670334
Tools & Hardware,0.24643058917987154
Toys Games & Hobbies,0.13361365829900512
Types of People,0.18091428426840347
Uncategorized,0.23893603337146466
Vehicles,0.3464572206508576
