ItemNumber,Image,Audio,NormName,NameAgr,FrqPerMil.Log10,LOG10(SUBTLWF +1),SUBTLWF +1,SUBTLWF,VisComp,Length,IPA,AltPro,Morphemes,Syllables,Target,First Phoneme,CategoryName,Category-Level Cohesion,Item-Level Cohesion
12,apron_12_mono.jpg,apron_12_mono.wav,apron,1,0.564666064,0.56427143,3.666666667,2.666666667,3,5,epr?n,ep?rn,1,2,apron,e,Accessories,0.199736666,0.333217903
22,backpack_22_cmpd.jpg,backpack_22_cmpd.wav,backpack,1,0.667452953,0.66717817,4.647058824,3.647058824,3.333333333,6,bækpæk,,2,2,backpack,b,Accessories,0.283939965,0.355084718
805,bandana_805_mono.jpg,bandana_805_mono.wav,bandana,0.8,0.091770373,0.091770373,1.235294118,0.235294118,3,7,bændæn?,,1,3,bandana,b,Accessories,0.335529662,0.416345425
47,belt_47_mono.jpg,belt_47_mono.wav,belt,1,1.403977964,1.404028349,25.35294118,24.35294118,2.272727273,4,b?lt,,1,1,belt,b,Accessories,0.342733785,0.371042877
49,bib_49_mono.jpg,bib_49_mono.wav,bib,0.8,0.173186268,0.173243416,1.490196078,0.490196078,2.4,3,b?b,,1,1,bib,b,Accessories,0.244414954,0.383288375
811,bracelet_811_mono.jpg,bracelet_811_mono.wav,bracelet,0.95,0.944676165,0.944676165,8.803921569,7.803921569,2.4,7,bresl?t,,1,2,bracelet,b,Accessories,0.409139891,0.404897596
96,cane_96_mono.jpg,cane_96_mono.wav,cane,0.95,0.969881644,0.970036777,9.333333333,8.333333333,2,3,ken,,1,1,cane,k,Accessories,0.243258037,0.327935363
103,cast_103_mono.jpg,cast_103_mono.wav,cast,0.95,1.382737266,1.382687877,24.1372549,23.1372549,2.2,4,kæst,,1,1,cast,k,Accessories,0.307898395,0.310370905
818,collar_818_mono.jpg,collar_818_mono.wav,collar,0.9,1.061067925,1.061067925,11.50980392,10.50980392,2.111111111,5,k?l?r,,1,2,collar,k,Accessories,0.37980795,0.419545363
153,crutches_153_mono.jpg,crutches_153_mono.wav,crutches,1,0.419955748,0.419534622,2.62745098,1.62745098,1,4,kr?t?,,1,1,crutches,k,Accessories,0.165926659,0.288701155
820,diaper_820_mono.jpg,diaper_820_mono.wav,diaper,1,0.722182104,0.722182104,5.274509804,4.274509804,1.666666667,5,da?p?r,,1,2,diaper,d,Accessories,0.078939115,0.314813643
629,earmuffs_629_cmpd.jpg,earmuffs_629_cmpd.wav,earmuffs,0.95,0.35320432,0.124938737,1.333333333,0.333333333,2.4,6,irm?fs,,2,2,earmuffs,ir,Accessories,0.325909296,0.389531607
821,earrings_821_mono.jpg,earrings_821_mono.wav,earrings,1,0.853531208,0.853531208,7.137254902,6.137254902,2.777777778,4,ir??,,2,2,earrings,ir,Accessories,0.343639266,0.37142772
232,glasses_232_mono.jpg,glasses_232_mono.wav,glasses,0.8,1.533009022,1.532979072,34.11764706,33.11764706,1.25,6,?læs?z,,1,2,glasses,?,Accessories,0.303662262,0.358855733
234,glove_234_mono.jpg,glove_234_mono.wav,glove,1,1.045322979,1.045246255,11.09803922,10.09803922,1.923076923,4,?l?v,,1,1,glove,?,Accessories,0.235256828,0.340153019
248,handcuffs_248_cmpd.jpg,handcuffs_248_cmpd.wav,handcuffs,0.9,0.789580712,0.789359472,6.156862745,5.156862745,1.266666667,6,hænk?f,hændk?f,2,2,handcuffs,h,Accessories,0.288857709,0.362505246
251,hat_251_mono.jpg,hat_251_mono.wav,hat,0.8,1.814114356,1.814090839,65.17647059,64.17647059,2.777777778,3,hæt,,1,1,hat,h,Accessories,0.323188865,0.380109109
256,helmet_256_mono.jpg,helmet_256_mono.wav,helmet,1,1.019946682,1.019971081,10.47058824,9.470588235,2.384615385,6,h?lm?t,,1,2,helmet,h,Accessories,0.165776603,0.352000502
353,necklace_353_cmpd.jpg,necklace_353_cmpd.wav,necklace,1,1.031408464,1.031210382,10.74509804,9.745098039,2.818181818,6,n?kl?s,,2,2,necklace,n,Accessories,0.35988983,0.412098273
392,pipe_392_mono.jpg,pipe_392_mono.wav,pipe,0.85,1.309417226,1.309463163,20.39215686,19.39215686,3,3,pa?p,,1,1,pipe,p,Accessories,0.348962846,0.335403711
408,purse_408_mono.jpg,purse_408_mono.wav,purse,1,1.317227349,1.317325784,20.76470588,19.76470588,2.272727273,4,p?rs,,1,1,purse,p,Accessories,0.415908158,0.409216094
426,ring_426_mono.jpg,ring_426_mono.wav,ring,0.95,1.971971276,1.971948568,93.74509804,92.74509804,3.461538462,3,r??,,1,1,ring,r,Accessories,0.308833129,0.378270161
451,scarf_451_mono.jpg,scarf_451_mono.wav,scarf,0.95,0.755112266,0.754827822,5.68627451,4.68627451,3.666666667,5,sk?rf,,1,1,scarf,s,Accessories,0.284892417,0.411237498
515,sunglasses_515_cmpd.jpg,sunglasses_515_cmpd.wav,sunglasses,0.95,0.693726949,0.693830365,4.941176471,3.941176471,1.6,9,s?n?læs?z,,2,3,sunglasses,s,Accessories,0.247087218,0.362846276
517,suspenders_517_mono.jpg,suspenders_517_mono.wav,suspenders,0.95,0.264817823,0.265557678,1.843137255,0.843137255,1.888888889,10,s?sp?nd?rz,,1,3,suspenders,s,Accessories,0.393151422,0.374586705
860,tiara_860_mono.jpg,tiara_860_mono.wav,tiara,0.8,0.444718168,0.444718168,2.784313725,1.784313725,3.222222222,5,tiær?,"tier?, ti?r?",1,3,tiara,t,Accessories,0.289126383,0.325202019
541,tie_541_mono.jpg,tie_541_mono.wav,tie,0.75,1.657342737,1.657355858,45.43137255,44.43137255,2.230769231,2,ta?,,1,1,tie,t,Accessories,0.356374894,0.370563799
573,umbrella_573_mono.jpg,umbrella_573_mono.wav,umbrella,1,0.92890769,0.92891772,8.490196078,7.490196078,2.333333333,7,?mbr?l?,?mbr?l?,1,3,umbrella,?,Accessories,0.226859702,0.3308598
586,walker_586_mono.jpg,walker_586_mono.wav,walker,0.95,1.226342087,1.226422988,16.84313725,15.84313725,3.181818182,5,w?k?r,,1,2,walker,w,Accessories,0.066832346,0.192675044
658,wallet_658_mono.jpg,wallet_658_mono.wav,wallet,1,0.609167374,1.376648511,23.80392157,22.80392157,2.142857143,5,w?l?t,,1,2,wallet,w,Accessories,0.319707082,0.354897754
589,watch_589_mono.jpg,watch_589_mono.wav,watch,0.8,2.519854234,2.51985372,331.0196078,330.0196078,3,3,w?t?,,1,1,watch,w,Accessories,0.300788375,0.290698349
601,wig_601_mono.jpg,wig_601_mono.wav,wig,1,0.970811611,0.970948203,9.352941176,8.352941176,3.181818182,3,w??,,1,1,wig,w,Accessories,0.147084699,0.3641381
39,bathroom_39_cmpd.jpg,bathroom_39_cmpd.wav,bathroom,1,1.797059695,1.797036595,62.66666667,61.66666667,3.615384615,6,bæ?rum,bæ?r?m,2,2,bathroom,b,Bathroom Items and Toiletries,0.433087761,0.337969236
76,brush_76_mono.jpg,brush_76_mono.wav,brush,0.95,1.180699201,1.180609318,15.15686275,14.15686275,2.166666667,4,br??,,1,1,brush,b,Bathroom Items and Toiletries,0.08536767,0.399370561
135,comb_135_mono.jpg,comb_135_mono.wav,comb,1,0.848804701,0.848732325,7.058823529,6.058823529,1.181818182,3,kom,,1,1,comb,k,Bathroom Items and Toiletries,0.057925056,0.401934859
196,faucet_196_mono.jpg,faucet_196_mono.wav,faucet,1,0.385606274,0.385851509,2.431372549,1.431372549,2.333333333,5,f?s?t,f?s?t,1,2,faucet,f,Bathroom Items and Toiletries,0.155977474,0.369938462
310,lipstick_310_cmpd.jpg,lipstick_310_cmpd.wav,lipstick,1,0.991226076,0.991399828,9.803921569,8.803921569,3.2,7,l?pst?k,,2,2,lipstick,l,Bathroom Items and Toiletries,0.141377919,0.298277841
324,mascara_324_mono.jpg,mascara_324_mono.wav,mascara,0.9,0.352182518,0.353127664,2.254901961,1.254901961,3.222222222,7,mæskær?,"mæsker?, m?skær?",1,3,mascara,m,Bathroom Items and Toiletries,0.137535667,0.322972976
350,nailclipper_350_cmpd.jpg,nailclipper_350_cmpd.wav,nailclipper,0.9,0,#VALUE!,#VALUE!,-,1.444444444,9,nelkl?p?r,,2,3,nail clipper,n,Bathroom Items and Toiletries,0,0.331755183
351,nailpolish_351_cmpd.jpg,nailpolish_351_cmpd.wav,nailpolish,1,0,#VALUE!,#VALUE!,-,2.6,8,nelp?l??,,2,3,nail polish,n,Bathroom Items and Toiletries,0.133235609,0.32124862
399,plunger_399_mono.jpg,plunger_399_mono.wav,plunger,0.9,0.28780173,0.288065018,1.941176471,0.941176471,2.5,7,pl?nd??r,,1,2,plunger,p,Bathroom Items and Toiletries,0.197905753,0.369131473
420,razor_420_mono.jpg,razor_420_mono.wav,razor,0.8,0.896526217,0.896655877,7.882352941,6.882352941,3.181818182,5,rez?r,,1,2,razor,r,Bathroom Items and Toiletries,0.056472133,0.296959195
650,shavingcream_650_cmpd.jpg,shavingcream_650_cmpd.wav,shavingcream,0.95,0,#VALUE!,#VALUE!,-,2,9,?ev??krim,,2,2,shaving cream,?,Bathroom Items and Toiletries,0,0.279472731
466,shower_466_mono.jpg,shower_466_mono.wav,shower,0.9,1.624488363,1.624464101,42.11764706,41.11764706,3.461538462,4,?a??r,,1,2,shower,?,Bathroom Items and Toiletries,0.151117326,0.330623779
467,sink_467_mono.jpg,sink_467_mono.wav,sink,0.9,1.253338005,1.25337602,17.92156863,16.92156863,2.090909091,4,s??k,,1,1,sink,s,Bathroom Items and Toiletries,0.182132616,0.399470481
543,tile_543_mono.jpg,tile_543_mono.wav,tile,0.85,0.494154594,0.493826948,3.117647059,2.117647059,1.769230769,4,ta??l,ta?l,1,2,tile,t,Bathroom Items and Toiletries,0.122065601,0.322891763
547,toilet_547_mono.jpg,toilet_547_mono.wav,toilet,0.9,1.475671188,1.475699668,29.90196078,28.90196078,2.5,5,t??l?t,,1,2,toilet,t,Bathroom Items and Toiletries,0.370694434,0.338399506
548,toiletpaper_548_cmpd.jpg,toiletpaper_548_cmpd.wav,toiletpaper,0.95,0,#VALUE!,#VALUE!,-,1.727272727,10,t??l?tpep?r,,2,4,toilet paper,t,Bathroom Items and Toiletries,0.278986403,0.420276095
552,toothbrush_552_cmpd.jpg,toothbrush_552_cmpd.wav,toothbrush,1,0.77815125,0.77815125,6,5,2.333333333,7,tu?br??,,2,2,toothbrush,t,Bathroom Items and Toiletries,0.214743761,0.427778288
553,toothpaste_553_cmpd.jpg,toothpaste_553_cmpd.wav,toothpaste,1,0.617000341,0.616712279,4.137254902,3.137254902,2.142857143,7,tu?pest,,2,2,toothpaste,t,Bathroom Items and Toiletries,0.088015504,0.345795221
557,towel_557_mono.jpg,towel_557_mono.wav,towel,0.9,1.180699201,1.180609318,15.15686275,14.15686275,3,4,ta??l,"ta?l, tæl",1,2,towel,t,Bathroom Items and Toiletries,0.166670249,0.309656906
570,tweezers_570_mono.jpg,tweezers_570_mono.wav,tweezers,0.9,0.305351369,0.305267049,2.019607843,1.019607843,2.111111111,7,twiz?rz,,1,2,tweezers,t,Bathroom Items and Toiletries,0.007435107,0.338531429
120,chick_120_mono.jpg,chick_120_mono.wav,chick,0.85,1.433929766,1.433879597,27.15686275,26.15686275,3.571428571,3,t??k,,1,1,chick,t?,Birds,0.465099888,0.38353079
627,dove_627_mono.jpg,dove_627_mono.wav,dove,0.8,0.538422911,0.817474631,6.568627451,5.568627451,2.818181818,3,d?v,,1,1,dove,d,Birds,0.340921303,0.336658049
179,duck_179_mono.jpg,duck_179_mono.wav,duck,0.9,1.410945859,1.411025189,25.76470588,24.76470588,3,3,d?k,,1,1,duck,d,Birds,0.388757585,0.346496992
632,flamingo_632_mono.jpg,flamingo_632_mono.wav,flamingo,0.85,0.444871979,0.337752803,2.176470588,1.176470588,3.909090909,8,fl?m???o,,1,3,flamingo,f,Birds,0.414114319,0.414845713
637,hummingbird_637_cmpd.jpg,hummingbird_637_cmpd.wav,hummingbird,1,0.398825067,0.206243676,1.607843137,0.607843137,3.666666667,9,h?m??b?rd,,2,3,hummingbird,h,Birds,0.524407518,0.448875308
365,ostrich_365_mono.jpg,ostrich_365_mono.wav,ostrich,0.9,0.28780173,0.288065018,1.941176471,0.941176471,3.888888889,6,?str?t?,"?str?d?, ?str?t?, ?str?d?",1,2,ostrich,?,Birds,0.446195745,0.418856638
366,owl_366_mono.jpg,owl_366_mono.wav,owl,1,0.820201459,0.820059725,6.607843137,5.607843137,4.272727273,4,a??l,a?l,1,2,owl,a?,Birds,0.48601569,0.39441848
840,parrot_840_mono.jpg,parrot_840_mono.wav,parrot,0.85,0.630886318,0.630886318,4.274509804,3.274509804,4.111111111,5,pær?t,per?t,1,2,parrot,p,Birds,0.54426293,0.420759925
376,peacock_376_cmpd.jpg,peacock_376_cmpd.wav,peacock,1,0.786751422,0.786584418,6.117647059,5.117647059,4.166666667,5,pik?k,,2,2,peacock,p,Birds,0.455361087,0.448205497
843,pelican_843_mono.jpg,pelican_843_mono.wav,pelican,0.85,0.43855786,0.43855786,2.745098039,1.745098039,3.25,7,p?l?k?n,p?l?k?n,1,3,pelican,p,Birds,0.491554952,0.421499899
